areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02003184,30.7,69.3
E02003185,47.3,52.7
E02003186,33.5,66.5
E02003187,36,64
E02003188,21.9,78.1
E02003189,40,60
E02003190,25.8,74.2
E02003191,51.2,48.8
E02003192,23.6,76.4
E02003202,44,56
E02003203,44.3,55.7
E02003204,44.1,55.9
E02003205,52.5,47.5
E02003206,48.5,51.5
E02003207,44.2,55.8
E02003208,35.8,64.2
E02003209,44.3,55.7
E02003210,49.1,50.9
E02003211,53.5,46.5
E02003584,31,69
E02003585,54.8,45.2
E02003586,45.9,54.1
E02003587,40.1,59.9
E02003588,39.1,60.9
E02003589,34.9,65.1
E02003590,56.3,43.7
E02003591,46.8,53.2
E02003592,49.9,50.1
E02003593,57.5,42.5
E02003594,43.5,56.5
E02003595,54.5,45.5
E02003596,43.9,56.1
E02003597,55.6,44.4
E02003598,45.8,54.2
E02004242,58.1,41.9
E02004265,50.4,49.6
E02004266,52.3,47.7
E02004267,57.5,42.5
E02004268,50.6,49.4
E02004275,56.6,43.4
E02004276,47.4,52.6
E02004278,51.1,48.9
E02004279,56.9,43.1
E02004280,52.1,47.9
E02004281,40.8,59.2
E02004282,57.2,42.8
E02004283,49.2,50.8
E02004284,33.9,66.1
E02004285,40.9,59.1
E02004286,48.6,51.4
E02004287,46.1,53.9
E02004288,35.1,64.9
E02004289,49.5,50.5
E02004801,59,41
E02006574,50.3,49.7
E02006883,30.2,69.8
E02006885,34.5,65.5
E02007006,39.4,60.6
E02007007,48.2,51.8
