areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02003184,71.8,28.2
E02003185,89.3,10.7
E02003186,70.8,29.2
E02003187,77.6,22.4
E02003188,62,38
E02003189,86.2,13.8
E02003190,62.5,37.5
E02003191,90.2,9.8
E02003192,62.9,37.1
E02003202,81.8,18.2
E02003203,86.4,13.6
E02003204,88.8,11.2
E02003205,90.4,9.6
E02003206,86.7,13.3
E02003207,91.8,8.2
E02003208,80.6,19.4
E02003209,90.8,9.2
E02003210,89,11
E02003211,86.1,13.9
E02003584,90.9,9.1
E02003585,94.2,5.8
E02003586,94.6,5.4
E02003587,94.2,5.8
E02003588,93.7,6.3
E02003589,92.4,7.6
E02003590,93.6,6.4
E02003591,94.1,5.9
E02003592,94.7,5.3
E02003593,95.6,4.4
E02003594,94.2,5.8
E02003595,95.4,4.6
E02003596,93.3,6.7
E02003597,95.4,4.6
E02003598,93.8,6.2
E02004242,93.5,6.5
E02004265,94.7,5.3
E02004266,91.7,8.3
E02004267,94.1,5.9
E02004268,92.7,7.3
E02004275,93.9,6.1
E02004276,93.8,6.2
E02004278,93.1,6.9
E02004279,94.7,5.3
E02004280,95.2,4.8
E02004281,94.6,5.4
E02004282,94.5,5.5
E02004283,95.2,4.8
E02004284,89.5,10.5
E02004285,93.3,6.7
E02004286,95,5
E02004287,95.2,4.8
E02004288,93.1,6.9
E02004289,96.3,3.7
E02004801,92.1,7.9
E02006574,92.1,7.9
E02006883,71.2,28.8
E02006885,69.7,30.3
E02007006,88.2,11.8
E02007007,89.7,10.3
