areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02000024,24.3,48.4,21,6.3
E02000025,25.9,49,19.1,6
E02000026,14.9,49,25.8,10.3
E02000027,26.4,47,20.8,5.8
E02000028,22.7,47.3,22.4,7.6
E02000029,25.5,47.1,21.6,5.7
E02000030,13,38.2,33.1,15.7
E02000031,21.4,48.1,23.2,7.3
E02000032,13.7,44.3,31.6,10.4
E02000033,25.3,47.1,21.9,5.8
E02000034,26.7,45.8,21.6,5.9
E02000035,31.1,46.3,18.4,4.2
E02000036,20.6,45.7,25.9,7.8
E02000037,16.9,42.2,31.7,9.2
E02000277,27.7,42.5,21.3,8.5
E02000278,33,44.5,16.9,5.6
E02000279,31.6,47.2,16.7,4.5
E02000280,24.9,46.4,21.5,7.2
E02000281,27.1,44.7,20,8.2
E02000282,38.4,42.2,14.4,5.1
E02000283,25,43.6,22.4,9.1
E02000284,27.8,49.9,18,4.4
E02000285,15.7,44.8,29.5,10
E02000286,24.3,50.4,20,5.2
E02000287,17.8,38.7,29,14.5
E02000288,35.3,42.3,16.8,5.7
E02000289,12,42.3,33.2,12.5
E02000290,41.2,43.8,11.4,3.5
E02000291,36.6,46.3,13.5,3.7
E02000292,25.6,47.6,20.8,6
E02000293,15.8,43.1,29.3,11.8
E02000294,31.2,42.2,19.3,7.3
E02000295,22.5,48.4,21.5,7.6
E02000296,32.5,47.3,16,4.2
E02000297,18,44.7,26.5,10.7
E02000298,16,46.6,25.7,11.7
E02000299,42.4,40.4,13.5,3.7
E02000300,38.2,41.7,15.2,4.8
E02000301,44.1,41.2,11.7,3
E02000302,22.8,45.8,23.5,8
E02000303,42.8,39.3,13.4,4.5
E02000304,15.5,46.3,28.9,9.2
E02000305,28.7,50.2,17.1,4
E02000306,52.7,36.1,9.1,2.2
E02000307,29,43.1,20.3,7.5
E02000433,24,43.4,24.6,8.1
E02000895,24.6,42.8,23.8,8.8
E02000898,25.6,45.6,21.4,7.5
E02000899,26.3,42.8,22.7,8.3
E02003258,11,41.6,34.9,12.5
E02003259,16.9,44,28,11.1
E02003260,30,43.8,19.9,6.3
