areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02000024,10.7,27.9,3.3,55.8,2.3
E02000025,14,32.1,3.1,48.3,2.5
E02000026,14.5,32.8,3.4,46.7,2.6
E02000027,18.3,35,3.6,40.4,2.8
E02000028,12.5,31.7,3.4,49.6,2.8
E02000029,15.1,33.8,4.7,43.2,3.3
E02000030,15.5,30.7,3.2,48.1,2.5
E02000031,12.5,26.1,2.4,56.5,2.5
E02000032,14.5,32.2,3.5,47,2.8
E02000033,15.6,34.7,4.1,42.7,2.9
E02000034,14.2,30,3.8,48.9,3.1
E02000035,14.1,24.8,2.7,55.5,2.9
E02000036,16.6,32.1,3.4,44.6,3.4
E02000037,14.2,30.4,2.9,49.2,3.2
E02000277,25.3,37.9,4.7,28.5,3.6
E02000278,29.8,36.1,3.9,26.6,3.6
E02000279,24.9,35.8,3.8,32.3,3.2
E02000280,18.4,36.5,4.9,37.6,2.5
E02000281,20.7,39.4,4.6,32.9,2.4
E02000282,29.3,36.6,4.2,25.9,4
E02000283,28.2,36.4,4.5,27.8,3.1
E02000284,16.2,33.6,4.1,43.7,2.4
E02000285,14.7,39,5.2,38.6,2.6
E02000286,14.6,32.7,3.9,45.9,2.9
E02000287,16.3,30.5,2.9,47.3,3
E02000288,29.1,35.6,3.3,28.9,3.2
E02000289,14.2,35.5,3.4,44.5,2.5
E02000290,28.3,34.4,4,30.1,3.1
E02000291,19.3,33,3.9,40.8,3
E02000292,20.5,35.5,4.1,36.9,3
E02000293,13.8,33.2,3.7,46.7,2.6
E02000294,28.8,35.8,4.5,27,3.8
E02000295,15.9,31.8,3.5,46,2.8
E02000296,20.4,29.6,3.6,42.9,3.6
E02000297,17.5,35.7,4.2,39.7,2.9
E02000298,13.4,29.3,3.4,51.5,2.4
E02000299,29.9,34.4,4,28.1,3.6
E02000300,26.6,36.9,4.6,28,3.8
E02000301,29.1,36.9,3.5,27.2,3.3
E02000302,21.3,33.2,4,38.2,3.3
E02000303,29.8,34.3,4,28.5,3.5
E02000304,12.9,27.9,3.5,52.9,2.7
E02000305,16.1,28.4,3.1,49.1,3.2
E02000306,30.4,35.6,3.3,27.2,3.5
E02000307,25.2,36.3,3.7,31.1,3.6
E02000433,16.8,28.5,3.2,48.1,3.3
E02000895,22.9,37.1,5.4,30.9,3.7
E02000898,21.6,36.1,4.9,34.1,3.1
E02000899,21.3,37.8,4.8,32.6,3.4
E02003258,16.5,39.3,6.2,34.5,3.4
E02003259,20,42.6,6.1,27.7,3.6
E02003260,24.5,42.3,4.5,24.8,3.9
E02003261,21.6,38.1,6.3,29.9,4.2
E02003262,23.2,40.8,5,27.8,3.3
E02003263,23.1,38.9,5.2,28.9,3.9
E02003264,15.3,37.1,4.2,40.7,2.6
E02003265,19,44.6,7.2,26.5,2.7
E02003266,24.4,40.9,5,26.1,3.6
E02003267,26.8,38.1,2.9,27.4,4.8
E02003268,24.4,37.6,3.7,29.9,4.4
E02003269,18.3,39.5,5.7,32.9,3.7
E02003270,21.6,35.5,4.7,34.7,3.5
E02003271,16.2,43.8,6.2,30.9,3
E02003272,31.1,38.1,2.5,24,4.3
E02003273,20.7,39.6,5.3,31.1,3.4
E02003274,30.3,35.9,3.1,25.4,5.2
E02003276,27.8,36,4.1,26.9,5.3
E02003277,26.4,39.9,4.8,24.6,4.4
E02003278,22.6,33.1,5.1,34.3,4.9
E02003459,12.6,36.6,5,43.6,2.3
E02003460,11.9,41.4,5.2,39.2,2.4
E02003461,16,45.3,6.9,28.9,2.9
E02003462,12.5,44.5,5.4,34.8,2.8
E02003463,16.7,41.2,5.2,33.4,3.4
