areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02000024,71.8,28.2
E02000025,71.1,28.9
E02000026,71.9,28.1
E02000027,66.2,33.8
E02000028,66.5,33.5
E02000029,66.3,33.7
E02000030,70.3,29.7
E02000031,63.9,36.1
E02000032,64.6,35.4
E02000033,65.2,34.8
E02000034,61.3,38.7
E02000035,53.3,46.7
E02000036,59.3,40.7
E02000037,63,37
E02000277,64.8,35.2
E02000278,61.7,38.3
E02000279,58.9,41.1
E02000280,79.3,20.7
E02000281,69.9,30.1
E02000282,60.1,39.9
E02000283,61,39
E02000284,74.3,25.7
E02000285,78,22
E02000286,73.2,26.8
E02000287,67.4,32.6
E02000288,53.1,46.9
E02000289,74,26
E02000290,55.7,44.3
E02000291,63.2,36.8
E02000292,65,35
E02000293,75.1,24.9
E02000294,53.2,46.8
E02000295,63.4,36.6
E02000296,53.7,46.3
E02000297,68.7,31.3
E02000298,74,26
E02000299,48.4,51.6
E02000300,48.8,51.2
E02000301,51,49
E02000302,58.9,41.1
E02000303,52.5,47.5
E02000304,66.1,33.9
E02000305,59.2,40.8
E02000306,50.5,49.5
E02000307,50.2,49.8
E02000433,57.6,42.4
E02000895,76.4,23.6
E02000898,76.2,23.8
E02000899,67.7,32.3
E02003258,76,24
E02003259,70.9,29.1
E02003260,67.8,32.2
E02003261,74,26
E02003262,66.7,33.3
E02003263,65.3,34.7
E02003264,71.8,28.2
E02003265,80.9,19.1
E02003266,67.5,32.5
E02003267,57,43
E02003268,57.1,42.9
E02003269,70.1,29.9
E02003270,58.5,41.5
E02003271,75.4,24.6
E02003272,54.5,45.5
E02003273,67.9,32.1
E02003274,46.8,53.2
E02003276,45.8,54.2
E02003277,61,39
E02003278,47.5,52.5
E02003459,91.9,8.1
E02003460,89.5,10.5
E02003461,91,9
E02003462,89,11
E02003463,77.7,22.3
E02003464,75.7,24.3
E02003465,76.3,23.7
E02003466,78.1,21.9
E02003467,66.6,33.4
E02003468,83.4,16.6
E02003469,79.2,20.8
E02003470,74.7,25.3
E02003471,66.8,33.2
E02003472,49.2,50.8
E02003473,71.5,28.5
E02003474,70.4,29.6
E02003476,59.4,40.6
E02003478,71.7,28.3
E02003479,58.1,41.9
E02003480,77.7,22.3
E02003481,70.4,29.6
E02003482,84,16
E02003483,72.4,27.6
E02003484,73.7,26.3
E02003485,80.5,19.5
E02003486,72.8,27.2
E02003487,82.8,17.2
E02003488,72.6,27.4
E02003489,82.2,17.8
E02003490,74.4,25.6
E02003599,91.6,8.4
E02003600,93,7
E02003601,93.7,6.3
E02003602,93.7,6.3
E02003603,90.7,9.3
E02003604,90.6,9.4
E02003605,80.2,19.8
E02003606,93,7
E02003607,90.5,9.5
E02003608,92.7,7.3
E02003609,93.3,6.7
E02003610,93.7,6.3
E02003611,92.6,7.4
E02003612,92.1,7.9
E02003613,92.6,7.4
E02003614,91.5,8.5
E02003615,93.1,6.9
E02003616,93.3,6.7
E02003617,92.7,7.3
E02003618,90.3,9.7
E02003619,89.4,10.6
E02003620,83.1,16.9
E02003621,84.2,15.8
E02003622,79.3,20.7
E02003623,84.9,15.1
E02003624,76.2,23.8
E02003625,68.4,31.6
E02003626,80.4,19.6
E02003627,67.4,32.6
E02003628,57.1,42.9
E02003629,68.1,31.9
E02003630,56.8,43.2
E02003631,77.6,22.4
E02003632,74.5,25.5
E02003633,78.1,21.9
E02003635,90,10
E02003636,90.2,9.8
E02003637,92,8
E02003638,92.2,7.8
E02003639,89,11
E02003640,89.3,10.7
E02003641,92.5,7.5
E02003642,75.1,24.9
E02003643,89.4,10.6
E02003644,80.2,19.8
E02003645,79,21
E02003646,82.6,17.4
E02003647,76.6,23.4
E02003648,81.7,18.3
E02003649,86.7,13.3
E02003650,93,7
E02003651,89.7,10.3
E02003652,86.2,13.8
E02003653,86.1,13.9
E02003654,92.4,7.6
E02003655,93.2,6.8
E02003656,92.4,7.6
E02003657,91.3,8.7
E02003658,89,11
E02003659,88,12
E02003660,92.9,7.1
E02003661,92.4,7.6
E02003662,78.1,21.9
E02003663,75.7,24.3
E02003664,73.1,26.9
E02003665,83,17
E02003666,67.1,32.9
E02003667,80.2,19.8
E02003668,86.5,13.5
E02003669,73.7,26.3
E02003670,79.7,20.3
E02003671,78.7,21.3
E02003672,90.2,9.8
E02003673,91,9
E02003674,92.2,7.8
E02003675,89.5,10.5
E02003676,91,9
E02003677,82.2,17.8
E02003678,83.7,16.3
E02003679,82.8,17.2
E02003680,91.2,8.8
E02003681,82.5,17.5
E02003682,81.7,18.3
E02003683,78.7,21.3
E02003685,88.3,11.7
E02003696,90.6,9.4
E02003697,91.7,8.3
E02003698,90.6,9.4
E02003699,91.9,8.1
E02003701,79.4,20.6
E02003702,89.1,10.9
E02003703,74.4,25.6
E02003704,89.5,10.5
E02003705,66.8,33.2
E02003706,75.6,24.4
E02003707,71.4,28.6
E02003708,59.1,40.9
E02003709,76.6,23.4
E02003710,62.9,37.1
E02003711,78.7,21.3
E02003755,92,8
E02003756,92.2,7.8
E02003757,93.1,6.9
E02003758,91.9,8.1
E02003760,70.5,29.5
E02003761,81.5,18.5
E02003762,84.7,15.3
E02003763,86.4,13.6
E02003764,73.7,26.3
E02003765,83.9,16.1
E02003766,86.5,13.5
E02003767,92,8
E02003768,90.6,9.4
E02003769,91.9,8.1
E02003770,89.1,10.9
E02003771,88.1,11.9
E02003772,90.5,9.5
E02003773,89.6,10.4
E02003774,91.4,8.6
E02003787,93.5,6.5
E02003793,92.4,7.6
E02004843,90.6,9.4
E02004844,85.8,14.2
E02004845,83.3,16.7
E02004846,89.6,10.4
E02004847,84.8,15.2
E02004848,86.8,13.2
E02004849,88.7,11.3
E02004850,81,19
E02004851,85.8,14.2
E02004852,77.3,22.7
E02004853,85.3,14.7
E02004854,70.5,29.5
E02004855,63.9,36.1
E02004856,90.8,9.2
E02004857,91.9,8.1
E02004858,91.8,8.2
E02004859,91.9,8.1
E02004860,77.6,22.4
E02004861,90.9,9.1
E02004862,78.7,21.3
E02004863,79.8,20.2
E02004864,89.4,10.6
E02004865,85.9,14.1
E02004866,87.1,12.9
E02004867,90,10
E02004868,82.2,17.8
E02004869,88.8,11.2
E02004870,77.6,22.4
E02004871,88.7,11.3
E02004872,85.9,14.1
E02004873,85.5,14.5
E02004874,83.4,16.6
E02004875,82.8,17.2
E02004876,89.6,10.4
E02004877,89.6,10.4
E02004878,94.5,5.5
E02004887,93.1,6.9
E02004889,91.2,8.8
E02004890,91,9
E02004891,91.7,8.3
E02004892,89.6,10.4
E02004893,90.3,9.7
E02004894,87.2,12.8
E02004895,92.2,7.8
E02004896,77.9,22.1
E02004897,82.3,17.7
E02004898,78.2,21.8
E02004899,85.3,14.7
E02004900,81.8,18.2
E02004901,73.4,26.6
E02004902,72.4,27.6
E02004903,76.1,23.9
E02004904,73.6,26.4
E02004905,75.8,24.2
E02004906,71.1,28.9
E02004907,79.7,20.3
E02004908,79.3,20.7
E02004909,87.8,12.2
E02004910,90.6,9.4
E02004911,89,11
E02004912,91.4,8.6
E02004914,87.3,12.7
E02004915,85.2,14.8
E02004916,86,14
E02004917,86.8,13.2
E02004918,82.2,17.8
E02004919,84.7,15.3
E02004920,87.9,12.1
E02004921,86.3,13.7
E02004922,93.1,6.9
E02004923,91.1,8.9
E02004924,85.7,14.3
E02004925,85.7,14.3
E02004926,84.8,15.2
E02004927,89.8,10.2
E02004928,88.4,11.6
E02004929,91.1,8.9
E02004930,84.5,15.5
E02004931,82.1,17.9
E02004932,81.8,18.2
E02004933,85.3,14.7
E02004934,74.5,25.5
E02004935,73.4,26.6
E02004936,81,19
E02004937,84.3,15.7
E02004939,78.2,21.8
E02004940,77.5,22.5
E02004941,79.8,20.2
E02004942,86.3,13.7
E02004943,85.7,14.3
E02004944,79.1,20.9
E02004945,81.8,18.2
E02004946,85.3,14.7
E02004948,84.9,15.1
E02004949,83.4,16.6
E02004950,84.8,15.2
E02004951,75.3,24.7
E02004952,86.8,13.2
E02004953,84.3,15.7
E02004954,85.9,14.1
E02004955,88.3,11.7
E02004956,89.1,10.9
E02004957,83,17
E02004958,89.6,10.4
E02004959,75.5,24.5
E02004960,86,14
E02004961,85.4,14.6
E02004962,82.9,17.1
E02004963,77.9,22.1
E02004964,85.4,14.6
E02004965,73.1,26.9
E02004966,66.5,33.5
E02004967,73.7,26.3
E02004968,77.5,22.5
E02004969,77,23
E02004970,74.9,25.1
E02004971,70.9,29.1
E02004972,73.8,26.2
E02004973,60.2,39.8
E02004974,67,33
E02004975,69.8,30.2
E02004976,50.9,49.1
E02004977,48.4,51.6
E02004978,59.5,40.5
E02004979,77.4,22.6
E02004980,88.6,11.4
E02004981,83.9,16.1
E02004982,86.5,13.5
E02004983,85.5,14.5
E02004984,84.9,15.1
E02004985,85.9,14.1
E02004986,82.8,17.2
E02004987,84.1,15.9
E02004988,82.9,17.1
E02004989,65.2,34.8
E02004990,70.5,29.5
E02004991,60.8,39.2
E02004992,59.8,40.2
E02004994,86.1,13.9
E02004995,85.8,14.2
E02005373,93.3,6.7
E02005374,90.9,9.1
E02005375,92.3,7.7
E02005376,92.4,7.6
E02005617,72.4,27.6
E02005619,95.5,4.5
E02005620,93.9,6.1
E02005621,93.5,6.5
E02005622,93.9,6.1
E02005623,91.1,8.9
E02005624,85.4,14.6
E02005625,84.4,15.6
E02005626,79.8,20.2
E02005627,93.7,6.3
E02005628,93.5,6.5
E02005631,92.3,7.7
E02005632,94.5,5.5
E02005633,93.4,6.6
E02005634,91.7,8.3
E02005635,93.8,6.2
E02005636,90.4,9.6
