areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02000024,48.5,51.5
E02000025,42,58
E02000026,51.8,48.2
E02000027,44.2,55.8
E02000028,48.5,51.5
E02000029,47.6,52.4
E02000030,55.4,44.6
E02000031,51.8,48.2
E02000032,56.1,43.9
E02000033,44.5,55.5
E02000034,48.2,51.8
E02000035,47.1,52.9
E02000036,51.6,48.4
E02000037,57,43
E02000277,40,60
E02000278,37.6,62.4
E02000279,34.7,65.3
E02000280,44.1,55.9
E02000281,39.8,60.2
E02000282,36.3,63.7
E02000283,40.7,59.3
E02000284,43.6,56.4
E02000285,54,46
E02000286,45.7,54.3
E02000287,54.5,45.5
E02000288,41.5,58.5
E02000289,56.3,43.7
E02000290,35.2,64.8
E02000291,39,61
E02000292,43.1,56.9
E02000293,56.3,43.7
E02000294,41.6,58.4
E02000295,48.7,51.3
E02000296,44.4,55.6
E02000297,52.6,47.4
E02000298,54.3,45.7
E02000299,38.3,61.7
E02000300,40.8,59.2
E02000301,35.9,64.1
E02000302,45.8,54.2
E02000303,37.1,62.9
E02000304,55,45
E02000305,44.9,55.1
E02000306,33.9,66.1
E02000307,45.4,54.6
E02000433,54.4,45.6
E02000895,44.3,55.7
E02000898,43,57
E02000899,47.3,52.7
E02003258,52.6,47.4
E02003259,46.1,53.9
E02003260,38.2,61.8
E02003261,48.4,51.6
E02003262,43.2,56.8
E02003263,49.6,50.4
E02003264,56,44
E02003265,48.4,51.6
E02003266,41.9,58.1
E02003267,56.7,43.3
E02003268,50,50
E02003269,45.2,54.8
E02003270,50.2,49.8
E02003271,47.5,52.5
E02003272,54.5,45.5
E02003273,43.2,56.8
E02003274,50.5,49.5
E02003276,46.7,53.3
E02003277,41.5,58.5
E02003278,35.4,64.6
E02003459,53.6,46.4
E02003460,53.6,46.4
E02003461,52.1,47.9
E02003462,47.2,52.8
E02003463,47.5,52.5
E02003464,39.8,60.2
E02003465,51.5,48.5
E02003466,41.2,58.8
E02003467,39.9,60.1
E02003468,44.4,55.6
E02003469,50.3,49.7
E02003470,36.5,63.5
E02003471,43,57
E02003472,33.8,66.2
E02003473,53.1,46.9
E02003474,47.2,52.8
E02003476,35.1,64.9
E02003478,51.5,48.5
E02003479,40.7,59.3
E02003480,44.2,55.8
E02003481,34.2,65.8
E02003482,50.7,49.3
E02003483,52.7,47.3
E02003484,48.6,51.4
E02003485,46.6,53.4
E02003486,52.4,47.6
E02003487,49,51
E02003488,43.5,56.5
E02003489,48.4,51.6
E02003490,39.2,60.8
E02003599,48,52
E02003600,47.6,52.4
E02003601,52.3,47.7
E02003602,55,45
E02003603,43.8,56.2
E02003604,49.5,50.5
E02003605,47.2,52.8
E02003606,53.9,46.1
E02003607,52.2,47.8
E02003608,49.1,50.9
E02003609,48.3,51.7
E02003610,52.3,47.7
E02003611,53.5,46.5
E02003612,54,46
E02003613,46.9,53.1
E02003614,51.3,48.7
E02003615,57,43
E02003616,58.4,41.6
E02003617,54.4,45.6
E02003618,51.2,48.8
E02003619,54.2,45.8
E02003620,51.6,48.4
E02003621,55.6,44.4
E02003622,40,60
E02003623,54.4,45.6
E02003624,36.3,63.7
E02003625,30.8,69.2
E02003626,46.4,53.6
E02003627,35.2,64.8
E02003628,48.4,51.6
E02003629,39,61
E02003630,39.5,60.5
E02003631,43.4,56.6
E02003632,44.4,55.6
E02003633,46.3,53.7
E02003635,49.1,50.9
E02003636,50.7,49.3
E02003637,53.6,46.4
E02003638,55.5,44.5
E02003639,39.4,60.6
E02003640,49.5,50.5
E02003641,55.9,44.1
E02003642,41.9,58.1
E02003643,47.3,52.7
E02003644,44.9,55.1
E02003645,50.8,49.2
E02003646,46.7,53.3
E02003647,41,59
E02003648,40.9,59.1
E02003649,52.5,47.5
E02003650,55,45
E02003651,50.4,49.6
E02003652,51.7,48.3
E02003653,45,55
E02003654,59.4,40.6
E02003655,55.2,44.8
E02003656,51.3,48.7
E02003657,57.7,42.3
E02003658,53.1,46.9
E02003659,53.1,46.9
E02003660,57,43
E02003661,52.6,47.4
E02003662,44.6,55.4
E02003663,48.8,51.2
E02003664,42.6,57.4
E02003665,44,56
E02003666,39.3,60.7
E02003667,46.2,53.8
E02003668,57.2,42.8
E02003669,43.4,56.6
E02003670,48.6,51.4
E02003671,43.4,56.6
E02003672,56.3,43.7
E02003673,58.4,41.6
E02003674,60.9,39.1
E02003675,49.2,50.8
E02003676,60.8,39.2
E02003677,49.8,50.2
E02003678,54.3,45.7
E02003679,41.4,58.6
E02003680,56.8,43.2
E02003681,57.9,42.1
E02003682,57.4,42.6
E02003683,60.2,39.8
E02003685,59.9,40.1
E02003696,51.7,48.3
E02003697,59.9,40.1
E02003698,61.9,38.1
E02003699,51,49
E02003701,49.3,50.7
E02003702,55.5,44.5
E02003703,47.6,52.4
E02003704,59,41
E02003705,45.8,54.2
E02003706,45.5,54.5
E02003707,46.6,53.4
E02003708,45.4,54.6
E02003709,42.1,57.9
E02003710,46.5,53.5
E02003711,39.6,60.4
E02003755,48.1,51.9
E02003756,52.3,47.7
E02003757,53.7,46.3
E02003758,53.6,46.4
E02003760,38,62
E02003761,53.6,46.4
E02003762,51.5,48.5
E02003763,48.4,51.6
E02003764,43.9,56.1
E02003765,45.3,54.7
E02003766,47.1,52.9
E02003767,59.7,40.3
E02003768,56.1,43.9
E02003769,48.8,51.2
E02003770,53.3,46.7
E02003771,42.9,57.1
E02003772,55.6,44.4
E02003773,43.4,56.6
E02003774,44.1,55.9
E02003787,55.9,44.1
E02003793,54.7,45.3
E02004843,52.6,47.4
E02004844,42.7,57.3
E02004845,41.1,58.9
E02004846,57.4,42.6
E02004847,41.9,58.1
E02004848,48.4,51.6
E02004849,56,44
E02004850,45.4,54.6
E02004851,43.3,56.7
E02004852,43,57
E02004853,43.6,56.4
E02004854,43.6,56.4
E02004855,36.1,63.9
E02004856,50,50
E02004857,50.8,49.2
E02004858,48.7,51.3
E02004859,57,43
E02004860,44.6,55.4
E02004861,57.7,42.3
E02004862,43.8,56.2
E02004863,39.2,60.8
E02004864,54.6,45.4
E02004865,41.8,58.2
E02004866,44.2,55.8
E02004867,56.4,43.6
E02004868,43.7,56.3
E02004869,53.1,46.9
E02004870,40.2,59.8
E02004871,45.4,54.6
E02004872,53.8,46.2
E02004873,46.3,53.7
E02004874,47.3,52.7
E02004875,44.3,55.7
E02004876,49.8,50.2
E02004877,52.4,47.6
E02004878,53.4,46.6
E02004887,56.1,43.9
E02004889,45.3,54.7
E02004890,45.5,54.5
E02004891,50.7,49.3
E02004892,42,58
E02004893,48,52
E02004894,41.5,58.5
E02004895,49.2,50.8
E02004896,50.5,49.5
E02004897,51.1,48.9
E02004898,43,57
E02004899,52.2,47.8
E02004900,59.6,40.4
E02004901,41.6,58.4
E02004902,46.3,53.7
E02004903,48.8,51.2
E02004904,42,58
E02004905,56.6,43.4
E02004906,47.9,52.1
E02004907,49.9,50.1
E02004908,58.4,41.6
E02004909,45.9,54.1
E02004910,54.5,45.5
E02004911,44.3,55.7
E02004912,44.2,55.8
E02004914,43.1,56.9
E02004915,41.7,58.3
E02004916,53,47
E02004917,47.5,52.5
E02004918,42.6,57.4
E02004919,48.1,51.9
E02004920,45.5,54.5
E02004921,52.8,47.2
E02004922,52.9,47.1
E02004923,53.5,46.5
E02004924,61.4,38.6
E02004925,56.9,43.1
E02004926,60.2,39.8
E02004927,57,43
E02004928,63.6,36.4
E02004929,55.2,44.8
E02004930,51.9,48.1
E02004931,56.2,43.8
E02004932,49.2,50.8
E02004933,64.2,35.8
E02004934,46.7,53.3
E02004935,38,62
E02004936,55.9,44.1
E02004937,57.6,42.4
E02004939,49.5,50.5
E02004940,46.3,53.7
E02004941,45.7,54.3
E02004942,50.4,49.6
E02004943,57,43
E02004944,42,58
E02004945,46.8,53.2
E02004946,41.4,58.6
E02004948,43.2,56.8
E02004949,39.2,60.8
E02004950,44.9,55.1
E02004951,38,62
E02004952,45,55
E02004953,44.1,55.9
E02004954,42.9,57.1
E02004955,48.2,51.8
E02004956,47.5,52.5
E02004957,47.9,52.1
E02004958,56.4,43.6
E02004959,57.4,42.6
E02004960,60.1,39.9
E02004961,55.1,44.9
E02004962,49.8,50.2
E02004963,49.7,50.3
E02004964,44.9,55.1
E02004965,53.3,46.7
E02004966,62.1,37.9
E02004967,43,57
E02004968,44.9,55.1
E02004969,50.9,49.1
E02004970,44.7,55.3
E02004971,47.2,52.8
E02004972,55.6,44.4
E02004973,42.8,57.2
