areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02000024,20.9,17.4,51.2,10.5
E02000025,23.9,17.5,45.5,13.1
E02000026,24.4,17.2,45.1,13.3
E02000027,28.2,17.4,38.4,16
E02000028,23.8,17.4,45,13.8
E02000029,26.1,16.2,39.3,18.3
E02000030,21.3,17.6,49.1,12
E02000031,20.8,14.6,54.3,10.2
E02000032,27.6,14.9,44.2,13.3
E02000033,27.6,15.3,39.3,17.8
E02000034,26.7,15.1,42.4,15.7
E02000035,23.4,16,48.4,12.3
E02000036,26.4,18.2,37.6,17.8
E02000037,24.2,17.6,45.5,12.7
E02000277,35.3,23.6,23.1,18
E02000278,36.5,24.7,19.6,19.2
E02000279,31,25.9,25.1,18.1
E02000280,31.3,17,36.3,15.3
E02000281,34.9,19.2,27.3,18.6
E02000282,40.1,23.8,18.1,18
E02000283,36.7,23.9,19.9,19.4
E02000284,26.6,16.5,42,14.9
E02000285,31.9,16,37.4,14.7
E02000286,27.4,15.6,44.7,12.3
E02000287,22.5,18.1,48.4,11.1
E02000288,38.5,20.8,21.4,19.4
E02000289,27.7,15.8,44.3,12.2
E02000290,39.5,21.9,19.7,18.9
E02000291,30,17.6,35.4,17
E02000292,32.5,17.6,32.9,16.9
E02000293,24.9,14.6,47.7,12.7
E02000294,40,21.6,19.9,18.6
E02000295,26.4,14.9,42.9,15.8
E02000296,26.7,17.1,37.3,19
E02000297,30.2,16.6,38.2,14.9
E02000298,22.7,13,52.5,11.9
E02000299,39.7,20,18.9,21.4
E02000300,35.8,20.2,21.8,22.2
E02000301,40.4,22.2,17.7,19.8
E02000302,31.5,14.9,33.8,19.9
E02000303,39.4,19.5,19,22.1
E02000304,24.8,13.5,49.3,12.3
E02000305,23.6,16.4,42.7,17.2
E02000306,41.1,20.7,18.5,19.7
E02000307,37.8,16.6,23.6,22
E02000433,22.1,18.3,46.9,12.8
E02000895,28.9,17,33.6,20.4
E02000898,29.9,16.6,34.6,18.8
E02000899,30.2,18.5,28.8,22.5
E02003258,33.7,19.5,30.6,16.2
E02003259,39.7,19.6,21.5,19.2
E02003260,43.9,20.1,16.6,19.3
E02003261,34.3,19.2,28.7,17.9
E02003262,39,21.2,20.5,19.2
E02003263,39.7,19.2,22.1,19
E02003264,33.3,17.2,36.1,13.4
E02003265,38.1,18.5,26.4,17
E02003266,44,21.3,16.1,18.6
E02003267,39,21.5,19.8,19.8
E02003268,38.2,21.6,19.8,20.4
E02003269,33.3,21.1,27.4,18.2
E02003270,45.9,19.2,19.3,15.6
E02003271,35.5,19.1,28.1,17.3
E02003272,43.7,21.5,14.9,19.9
E02003273,34.6,21.6,25,18.8
E02003274,43.5,22.6,15.4,18.5
E02003276,42.1,22.9,14,20.9
E02003277,38.9,23.5,14.9,22.7
E02003278,38.1,25.7,17.6,18.6
E02003459,13.8,29.3,46.2,10.6
E02003460,22.5,18.4,46.7,12.4
E02003461,35.7,12.7,38.3,13.3
E02003462,35.3,11.8,40.5,12.3
E02003463,41.4,9.9,36.1,12.6
E02003464,47.1,12.5,25.4,15
E02003465,35.9,12.6,40.3,11.1
E02003466,38.9,12,36.2,12.9
E02003467,49.4,12.1,25.6,13
E02003468,32.2,15.9,39.9,12
E02003469,39.1,10.3,38.7,11.9
E02003470,50.3,13.4,18,18.3
E02003471,47,10.7,29.4,13
E02003472,45.2,10.7,31.8,12.3
E02003473,38.1,9.6,41.6,10.8
E02003474,43.9,10.9,35,10.2
E02003476,59.4,10.4,15.8,14.4
E02003478,36.1,10.3,44,9.5
E02003479,53.2,10.8,23.7,12.3
E02003480,42.2,12,35.7,10
E02003481,51.6,10.8,23.1,14.4
E02003482,28.7,16,45.5,9.8
E02003483,33.6,10.9,46.3,9.1
E02003484,42.7,10.4,35.9,11
E02003485,49.4,10.8,26.2,13.6
E02003486,34.9,11,44.3,9.8
