areacd,sex-001,sex-002
E02004876,45.6,54.4
E02004877,51.9,48.1
E02004878,50.7,49.3
E02004887,50.5,49.5
E02004889,52.2,47.8
E02004890,51.4,48.6
E02004891,51.6,48.4
E02004892,51.3,48.7
E02004893,50.4,49.6
E02004894,51.2,48.8
E02004895,51.3,48.7
E02004896,52.5,47.5
E02004897,52.1,47.9
E02004898,53.1,46.9
E02004899,52.8,47.2
E02004900,50.7,49.3
E02004901,51.8,48.2
E02004902,51.5,48.5
E02004903,52.2,47.8
E02004904,51.3,48.7
E02004905,51.3,48.7
E02004906,51,49
E02004907,52.7,47.3
E02004908,52.5,47.5
E02004909,49.7,50.3
E02004910,50.9,49.1
E02004911,52.1,47.9
E02004912,51.4,48.6
E02004914,51.8,48.2
E02004915,51.5,48.5
E02004916,52.3,47.7
E02004917,51.6,48.4
E02004918,50.5,49.5
E02004919,51.6,48.4
E02004920,52,48
E02004921,51.6,48.4
E02004922,51.2,48.8
E02004923,51.7,48.3
E02004924,51.1,48.9
E02004925,50.4,49.6
E02004926,51.7,48.3
E02004927,52.4,47.6
E02004928,50.7,49.3
E02004929,52.1,47.9
E02004930,51.6,48.4
E02004931,50.8,49.2
E02004932,53,47
E02004933,51.5,48.5
E02004934,50.2,49.8
E02004935,49.8,50.2
E02004936,51.1,48.9
E02004937,51.2,48.8
E02004939,51.2,48.8
E02004940,51.6,48.4
E02004941,51.6,48.4
E02004942,50.9,49.1
E02004943,51.3,48.7
E02004944,50.3,49.7
E02004945,50.7,49.3
E02004946,50.4,49.6
E02004948,51.4,48.6
E02004949,50.3,49.7
E02004950,52.2,47.8
E02004951,50.7,49.3
E02004952,51,49
E02004953,50.4,49.6
E02004954,50.2,49.8
E02004955,50.3,49.7
E02004956,51.1,48.9
E02004957,51.3,48.7
E02004958,51.5,48.5
E02004959,52.4,47.6
E02004960,51.8,48.2
E02004961,51,49
E02004962,51,49
E02004963,51,49
E02004964,51.7,48.3
E02004965,51.7,48.3
E02004966,49.9,50.1
E02004967,51.8,48.2
E02004968,52.1,47.9
E02004969,50.8,49.2
E02004970,52.4,47.6
E02004971,50.9,49.1
E02004972,50.6,49.4
E02004973,49,51
E02004974,51.2,48.8
E02004975,50.6,49.4
E02004976,49.5,50.5
E02004977,49.5,50.5
E02004978,51.9,48.1
E02004979,51.3,48.7
E02004980,50.7,49.3
E02004981,51.5,48.5
E02004982,51.9,48.1
E02004983,51.5,48.5
E02004984,50.4,49.6
E02004985,52.7,47.3
E02004986,51.5,48.5
E02004987,50.9,49.1
E02004988,51.2,48.8
E02004989,50.1,49.9
E02004990,49.1,50.9
E02004991,48.6,51.4
E02004992,50.2,49.8
E02004994,51.7,48.3
E02004995,51,49
E02005373,48.6,51.4
E02005374,51.5,48.5
E02005375,51.2,48.8
E02005376,50.2,49.8
E02005617,49.7,50.3
E02005619,50.7,49.3
E02005620,51.1,48.9
E02005621,44.2,55.8
E02005622,51.4,48.6
E02005623,51.9,48.1
E02005624,50.5,49.5
E02005625,50.2,49.8
E02005626,50,50
E02005627,50.8,49.2
E02005628,49.5,50.5
E02005631,50.3,49.7
E02005632,50.6,49.4
E02005633,50.6,49.4
E02005634,51,49
E02005635,51.8,48.2
E02005636,51.4,48.6
E02005637,50.5,49.5
E02005638,50.1,49.9
E02005639,50.7,49.3
E02005640,50.7,49.3
E02005641,51.6,48.4
E02005642,50.8,49.2
E02005643,50.3,49.7
E02005644,48.4,51.6
E02005645,50.9,49.1
E02005646,51.6,48.4
E02005647,51.3,48.7
E02005648,51,49
E02005650,51.6,48.4
E02005651,52.4,47.6
E02005652,51.2,48.8
E02005653,50.6,49.4
E02005654,51.8,48.2
E02005655,51.7,48.3
E02005656,51.3,48.7
E02005657,50.2,49.8
E02005658,49.7,50.3
E02005659,51.8,48.2
E02005660,51.2,48.8
E02005661,51,49
E02005662,50.6,49.4
E02005663,50.3,49.7
E02005664,49.1,50.9
E02005665,51.1,48.9
E02005666,51,49
E02005667,51.3,48.7
E02005668,52.3,47.7
E02005669,50.6,49.4
E02005670,46.7,53.3
E02005671,48.3,51.7
E02005672,47.9,52.1
E02005673,48.7,51.3
E02005674,50.2,49.8
E02005675,51,49
E02005676,51,49
E02005677,52.2,47.8
E02005679,50.9,49.1
E02005680,51.2,48.8
E02005681,50.4,49.6
E02005682,51.3,48.7
E02005683,50.5,49.5
E02005684,50.5,49.5
E02005685,50.9,49.1
E02005686,51.2,48.8
E02005687,50.3,49.7
E02005688,50.8,49.2
E02005689,51.1,48.9
E02005690,50.4,49.6
E02005691,49.8,50.2
E02005692,49.7,50.3
E02005693,51,49
E02005694,50.2,49.8
E02005695,49.4,50.6
E02005696,52.3,47.7
E02005697,50.4,49.6
E02005698,52.2,47.8
E02005699,51.3,48.7
E02005700,51.3,48.7
E02005701,50.6,49.4
E02005921,50.7,49.3
E02005922,50,50
E02005923,49.8,50.2
E02005924,48.5,51.5
E02005925,51.2,48.8
E02005926,52.1,47.9
E02005927,49.8,50.2
E02005928,51.2,48.8
E02005930,50.6,49.4
E02005931,50.9,49.1
E02005932,49.6,50.4
E02005933,50.6,49.4
E02005934,51,49
E02005935,50.6,49.4
E02005936,48.1,51.9
E02005937,51.2,48.8
E02005938,50.2,49.8
E02005939,50.9,49.1
E02005940,51.4,48.6
E02005941,51.6,48.4
E02005942,52.9,47.1
E02005943,52.3,47.7
E02005944,50.1,49.9
E02005945,53.2,46.8
E02005946,51.2,48.8
E02005947,49.5,50.5
E02005948,50.1,49.9
E02005949,53.2,46.8
E02005950,50.3,49.7
E02005951,50.7,49.3
E02005953,51.2,48.8
E02005954,49.7,50.3
E02005955,50.8,49.2
E02005956,50.8,49.2
E02005957,51.4,48.6
E02005958,51.3,48.7
E02005959,50.4,49.6
E02005960,51.1,48.9
E02005961,51.5,48.5
E02005962,50.6,49.4
E02005963,50.4,49.6
E02005964,51.1,48.9
E02005965,51.6,48.4
E02005978,50.9,49.1
E02005979,49.8,50.2
E02005980,45.6,54.4
E02005981,50.5,49.5
E02005982,50.9,49.1
E02005983,50.4,49.6
E02005985,50.7,49.3
E02005987,50.9,49.1
E02005996,51.7,48.3
E02005998,51.8,48.2
E02006003,50.9,49.1
E02006493,50.2,49.8
E02006494,49.5,50.5
E02006496,47.9,52.1
E02006497,49,51
E02006498,50.6,49.4
E02006499,50,50
E02006500,49.4,50.6
E02006501,50.8,49.2
E02006502,51.7,48.3
E02006503,51.7,48.3
E02006507,51.2,48.8
E02006823,51.9,48.1
E02006824,51.7,48.3
E02006862,50.5,49.5
E02006863,50.7,49.3
E02006873,51.2,48.8
E02006874,50.8,49.2
E02006937,46.8,53.2
E02006938,46,54
E02007010,51.3,48.7
E02007011,51.7,48.3
E02007012,49.8,50.2
E02007013,49.9,50.1
E02007014,51.6,48.4
E02007015,51.4,48.6
E02007016,48.6,51.4
E02007021,50.1,49.9
E02007048,48.9,51.1
E02007049,49.8,50.2
E02007070,51,49
E02007071,51.3,48.7
E02007072,51.8,48.2
E02007073,50.6,49.4
E02007088,51.5,48.5
E02007089,50.6,49.4
E02007090,50.2,49.8
E02007091,50.1,49.9
E02007092,52.1,47.9
E02007093,50.4,49.6
E02007116,48.3,51.7
