areacd,heating_type_3a-001,heating_type_3a-002
E02000024,1.5,98.5
E02000025,2,98
E02000026,1.7,98.3
E02000027,1.6,98.4
E02000028,2,98
E02000029,2,98
E02000030,0.9,99.1
E02000031,1.3,98.7
E02000032,1.1,98.9
E02000033,1.9,98.1
E02000034,1.5,98.5
E02000035,2.4,97.6
E02000036,1.4,98.6
E02000037,0.9,99.1
E02000277,2.4,97.6
E02000278,2.5,97.5
E02000279,2.7,97.3
E02000280,2,98
E02000281,3.2,96.8
E02000282,3.1,96.9
E02000283,2.5,97.5
E02000284,1.4,98.6
E02000285,1.1,98.9
E02000286,1.2,98.8
E02000287,0.9,99.1
E02000288,2.8,97.2
E02000289,0.8,99.2
E02000290,2.8,97.2
E02000291,2.2,97.8
E02000292,1.9,98.1
E02000293,1,99
E02000294,2.2,97.8
E02000295,1.5,98.5
E02000296,1.9,98.1
E02000297,1.2,98.8
E02000298,0.9,99.1
E02000299,2.9,97.1
E02000300,3.3,96.7
E02000301,2.7,97.3
E02000302,1.3,98.7
E02000303,2.9,97.1
E02000304,1.3,98.7
E02000305,1.9,98.1
E02000306,2.6,97.4
E02000307,1.4,98.6
E02000433,1.1,98.9
E02000895,1.6,98.4
E02000898,1.6,98.4
E02000899,2.1,97.9
E02003258,1.1,98.9
E02003259,1.2,98.8
E02003260,1.7,98.3
E02003261,0.6,99.4
E02003262,2,98
E02003263,1.5,98.5
E02003264,0.8,99.2
E02003265,2.3,97.7
E02003266,1.7,98.3
E02003267,2.1,97.9
E02003268,1.8,98.2
E02003269,1.5,98.5
E02003270,1.3,98.7
E02003271,0.9,99.1
E02003272,2.1,97.9
E02003273,1.4,98.6
E02003274,2.8,97.2
E02003276,2.8,97.2
E02003277,1.5,98.5
E02003278,3.1,96.9
E02003459,0.6,99.4
E02003460,0.7,99.3
E02003461,0.8,99.2
E02003462,0.9,99.1
E02003463,0.5,99.5
E02003464,1,99
E02003465,0.5,99.5
E02003466,1.6,98.4
E02003467,1.6,98.4
E02003468,1,99
E02003469,1.4,98.6
E02003470,1.5,98.5
E02003471,1.4,98.6
E02003472,2.2,97.8
E02003473,2,98
E02003474,0.9,99.1
E02003476,2,98
E02003478,0.8,99.2
E02003479,1.4,98.6
E02003480,1.3,98.7
E02003481,1.6,98.4
E02003482,1.1,98.9
E02003483,0.6,99.4
E02003484,1.4,98.6
E02003485,0.8,99.2
E02003486,0.9,99.1
E02003487,1.1,98.9
E02003488,1.4,98.6
E02003489,1,99
E02003490,1.1,98.9
E02003599,0.6,99.4
E02003600,1.4,98.6
E02003601,0.9,99.1
E02003602,1.2,98.8
E02003603,1.4,98.6
E02003604,0.7,99.3
E02003605,0.7,99.3
E02003606,0.9,99.1
E02003607,1,99
E02003608,1,99
E02003609,0.9,99.1
E02003610,0.6,99.4
E02003611,0.7,99.3
E02003612,0.7,99.3
E02003613,1.1,98.9
E02003614,0.9,99.1
E02003615,0.8,99.2
E02003616,0.9,99.1
E02003617,1,99
E02003618,0.7,99.3
E02003619,1.3,98.7
E02003620,1.1,98.9
E02003621,0.7,99.3
E02003622,1.3,98.7
E02003623,0.5,99.5
E02003624,1.6,98.4
E02003625,1.8,98.2
E02003626,0.8,99.2
E02003627,1.7,98.3
E02003628,1.9,98.1
E02003629,2,98
E02003630,2.2,97.8
E02003631,1.3,98.7
E02003632,1.5,98.5
E02003633,0.9,99.1
E02003635,0.9,99.1
E02003636,0.9,99.1
E02003637,1.1,98.9
E02003638,0.7,99.3
E02003639,1.3,98.7
E02003640,1.1,98.9
E02003641,0.9,99.1
E02003642,1.5,98.5
E02003643,0.8,99.2
E02003644,1,99
E02003645,1.5,98.5
E02003646,0.9,99.1
E02003647,1.5,98.5
E02003648,1,99
E02003649,1.5,98.5
E02003650,0.6,99.4
E02003651,0.6,99.4
E02003652,0.8,99.2
E02003653,1.1,98.9
E02003654,1.1,98.9
E02003655,1,99
E02003656,0.9,99.1
E02003657,0.7,99.3
E02003658,0.5,99.5
E02003659,1,99
E02003660,0.8,99.2
E02003661,0.8,99.2
E02003662,1.4,98.6
E02003663,0.7,99.3
E02003664,1.3,98.7
E02003665,1.4,98.6
E02003666,2.2,97.8
E02003667,1.1,98.9
E02003668,0.8,99.2
E02003669,1,99
E02003670,0.9,99.1
E02003671,0.8,99.2
E02003672,0.4,99.6
E02003673,0.7,99.3
E02003674,0.7,99.3
E02003675,0.6,99.4
E02003676,1,99
E02003677,1,99
E02003678,1,99
E02003679,1.4,98.6
E02003680,0.7,99.3
E02003681,0.6,99.4
E02003682,0.9,99.1
E02003683,0.5,99.5
E02003685,0.5,99.5
E02003696,0.7,99.3
E02003697,0.7,99.3
E02003698,0.6,99.4
E02003699,0.8,99.2
E02003701,0.8,99.2
E02003702,0.9,99.1
E02003703,1.1,98.9
E02003704,0.8,99.2
E02003705,1.4,98.6
E02003706,0.9,99.1
E02003707,1.3,98.7
E02003708,2.1,97.9
E02003709,1.6,98.4
E02003710,1.6,98.4
E02003711,1.4,98.6
E02003755,1.4,98.6
E02003756,0.7,99.3
E02003757,1,99
E02003758,0.9,99.1
E02003760,1.4,98.6
E02003761,0.9,99.1
E02003762,0.7,99.3
E02003763,1.5,98.5
E02003764,1.6,98.4
E02003765,1,99
E02003766,1.5,98.5
E02003767,1,99
E02003768,0.8,99.2
E02003769,0.9,99.1
E02003770,0.8,99.2
E02003771,1.4,98.6
E02003772,1.1,98.9
E02003773,0.8,99.2
E02003774,1.1,98.9
E02003787,0.9,99.1
E02003793,0.9,99.1
E02004843,0.9,99.1
E02004844,1,99
E02004845,2,98
E02004846,1.1,98.9
E02004847,1.9,98.1
E02004848,1.1,98.9
E02004849,0.9,99.1
E02004850,1.2,98.8
E02004851,1.7,98.3
E02004852,1.3,98.7
E02004853,1.2,98.8
E02004854,1.8,98.2
E02004855,2.3,97.7
E02004856,1.2,98.8
E02004857,0.9,99.1
E02004858,0.3,99.7
E02004859,0.7,99.3
E02004860,3.1,96.9
E02004861,0.7,99.3
E02004862,1,99
E02004863,1.3,98.7
E02004864,0.7,99.3
E02004865,1.3,98.7
E02004866,1.2,98.8
E02004867,0.5,99.5
E02004868,1,99
E02004869,0.5,99.5
E02004870,1.6,98.4
E02004871,0.8,99.2
E02004872,0.7,99.3
E02004873,0.9,99.1
E02004874,1.3,98.7
E02004875,0.9,99.1
E02004876,0.7,99.3
E02004877,0.6,99.4
E02004878,0.7,99.3
E02004887,1.1,98.9
E02004889,1.7,98.3
E02004890,1.4,98.6
E02004891,1.2,98.8
E02004892,1.3,98.7
E02004893,0.5,99.5
E02004894,1.5,98.5
E02004895,1,99
E02004896,1.2,98.8
