areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02000024,13.3,65.6,21.1
E02000025,15.4,57.3,27.2
E02000026,13.8,61.2,25
E02000027,13.1,54.1,32.8
E02000028,14.1,59,26.9
E02000029,14,54.7,31.3
E02000030,12.3,59,28.7
E02000031,12.8,59.4,27.8
E02000032,12.1,59,28.9
E02000033,13.6,54,32.4
E02000034,14.3,57.1,28.6
E02000035,15.4,53.8,30.8
E02000036,13.1,51.8,35.1
E02000037,14.8,53,32.2
E02000277,14.6,46.9,38.5
E02000278,13.1,43.1,43.8
E02000279,14.2,41.2,44.6
E02000280,12.4,59,28.6
E02000281,14.1,48.9,37.1
E02000282,13.9,37.9,48.2
E02000283,14.3,44.5,41.2
E02000284,13.6,57.5,28.9
E02000285,12.9,63.7,23.4
E02000286,12.2,65.4,22.5
E02000287,10.9,62.9,26.2
E02000288,12.6,37,50.4
E02000289,13.3,62.5,24.3
E02000290,13.8,39.3,46.9
E02000291,16.2,50.5,33.3
E02000292,14.8,49.7,35.5
E02000293,11.5,64.3,24.2
E02000294,13.8,42.3,44
E02000295,14.5,54.8,30.8
E02000296,14.3,49.9,35.8
E02000297,12.9,60.7,26.4
E02000298,12.4,62.4,25.1
E02000299,14.4,40.2,45.4
E02000300,14.5,42.3,43.2
E02000301,12.9,39.5,47.7
E02000302,13.7,52,34.3
E02000303,13.5,39.7,46.8
E02000304,12.4,62.8,24.8
E02000305,16.5,55.3,28.1
E02000306,13.7,35.6,50.7
E02000307,13.7,44.2,42.1
E02000433,10.4,60.5,29.1
E02000895,12.1,56.8,31.1
E02000898,11.9,58.4,29.7
E02000899,14.6,55,30.5
E02003258,12.1,65.8,22.2
E02003259,14.7,56.7,28.5
E02003260,12.7,47.5,39.8
E02003261,11.5,61.2,27.3
E02003262,14.2,49.7,36.1
E02003263,12.6,49.6,37.8
E02003264,14.3,52.3,33.4
E02003265,12.3,67.1,20.6
E02003266,14.2,48.2,37.6
E02003267,13.6,31.5,54.9
E02003268,15,35.2,49.9
E02003269,14.7,57,28.3
E02003270,14.8,50.2,35
E02003271,15,58.9,26.2
E02003272,12.1,28,59.8
E02003273,16.1,48.4,35.5
E02003274,13.5,28,58.4
E02003276,16,30.9,53.1
E02003277,15.4,43.6,41
