areacd,disability_3a-001,disability_3a-002
E02000024,14.1,85.9
E02000025,15.6,84.4
E02000026,13.6,86.4
E02000027,16,84
E02000028,12.4,87.6
E02000029,13.3,86.7
E02000030,13,87
E02000031,13.3,86.7
E02000032,13.1,86.9
E02000033,14,86
E02000034,12.7,87.3
E02000035,13.6,86.4
E02000036,12.5,87.5
E02000037,11.9,88.1
E02000277,15.2,84.8
E02000278,17.1,82.9
E02000279,13.7,86.3
E02000280,15.6,84.4
E02000281,14.3,85.7
E02000282,15.2,84.8
E02000283,13.9,86.1
E02000284,14.4,85.6
E02000285,12.4,87.6
E02000286,13.4,86.6
E02000287,12.8,87.2
E02000288,13.1,86.9
E02000289,12.1,87.9
E02000290,13.9,86.1
E02000291,14.5,85.5
E02000292,12.6,87.4
E02000293,12.6,87.4
E02000294,13.9,86.1
E02000295,12.6,87.4
E02000296,14.4,85.6
E02000297,13.3,86.7
E02000298,11.5,88.5
E02000299,13,87
E02000300,13.4,86.6
E02000301,14,86
E02000302,12.9,87.1
E02000303,15.6,84.4
E02000304,12.1,87.9
E02000305,12,88
E02000306,15.7,84.3
E02000307,12.2,87.8
E02000433,14.3,85.7
E02000895,16.2,83.8
E02000898,16.7,83.3
E02000899,13.6,86.4
E02003258,13.2,86.8
E02003259,13.8,86.2
E02003260,16.7,83.3
E02003261,18.1,81.9
E02003262,16.8,83.2
E02003263,14.6,85.4
E02003264,12.3,87.7
E02003265,14.8,85.2
E02003266,17.3,82.7
E02003267,11.2,88.8
E02003268,12.2,87.8
E02003269,13.9,86.1
E02003270,13.5,86.5
E02003271,12.9,87.1
E02003272,11.3,88.7
E02003273,14.7,85.3
E02003274,12.6,87.4
E02003276,11.2,88.8
E02003277,15.6,84.4
E02003278,12.5,87.5
E02003459,14.4,85.6
E02003460,13.8,86.2
E02003461,17.4,82.6
E02003462,13.5,86.5
E02003463,17.3,82.7
E02003464,18.8,81.2
E02003465,18.1,81.9
E02003466,14.2,85.8
E02003467,18.8,81.2
E02003468,16.4,83.6
E02003469,16.1,83.9
E02003470,19.6,80.4
E02003471,18,82
E02003472,12,88
E02003473,14.7,85.3
E02003474,13,87
E02003476,18.9,81.1
E02003478,14.4,85.6
E02003479,15.5,84.5
E02003480,14.9,85.1
E02003481,19.9,80.1
E02003482,12.6,87.4
E02003483,11.2,88.8
E02003484,15.3,84.7
E02003485,17.4,82.6
E02003486,10.9,89.1
E02003487,18,82
E02003488,16.7,83.3
E02003489,17.9,82.1
E02003490,15.4,84.6
E02003599,17.1,82.9
E02003600,18.3,81.7
E02003601,15.5,84.5
E02003602,16.1,83.9
E02003603,16.3,83.7
