areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02000024,36.6,31.7,7.5,24.1
E02000025,28.3,29.7,14.6,27.4
E02000026,38.3,34.1,5.8,21.9
E02000027,24.6,30.8,29,15.6
E02000028,32.3,32,5.4,30.3
E02000029,25.1,31.9,9.2,33.8
E02000030,40.3,34.9,11.2,13.6
E02000031,32.4,37,6,24.6
E02000032,42.1,40.3,3.5,14.2
E02000033,31.1,33.5,13.4,22.1
E02000034,29.1,32.1,9.4,29.3
E02000035,27.5,23.5,10.1,38.9
E02000036,28.6,32.6,12.6,26.1
E02000037,30.5,35.3,13.7,20.4
E02000277,27.7,27.4,14.1,30.9
E02000278,19,20.2,33.7,27.1
E02000279,13.9,28.4,25.3,32.4
E02000280,30.4,33.2,19.9,16.5
E02000281,21.3,30.6,21.8,26.3
E02000282,13.7,18.5,35.2,32.6
E02000283,25,29.4,17,28.6
E02000284,29.4,33.1,11.5,26
E02000285,44.1,39.6,3.4,12.9
E02000286,35.2,30.9,6.6,27.4
E02000287,37.5,35,8.6,18.9
E02000288,18.2,24.4,23.5,33.9
E02000289,43.9,38.2,6.6,11.3
E02000290,13.3,21.7,32.1,33
E02000291,22.9,25.3,14.3,37.5
E02000292,28.9,36.2,8.1,26.8
E02000293,45,34.4,3.5,17.1
E02000294,26.2,25.3,18.5,30
E02000295,33.3,31.6,9.3,25.9
E02000296,25.8,22.6,9.6,42
E02000297,44.2,36.4,2.4,17.1
E02000298,37.9,38.5,3.5,20.1
E02000299,21.2,20.4,16,42.4
E02000300,24.3,22.8,12.3,40.6
E02000301,16.4,16.7,33,33.9
E02000302,34.2,32,11.4,22.4
E02000303,16.9,18.4,31.8,33
E02000304,41.3,36.1,2.5,20.2
E02000305,27.5,31.8,3.9,36.8
E02000306,8.3,14,50.5,27.2
E02000307,31.2,28.7,8.3,31.8
E02000433,35.3,27.5,11.6,25.6
E02000895,33.4,31.9,22.3,12.4
E02000898,29.9,33.4,23.4,13.4
E02000899,33.2,34.8,12.3,19.8
E02003258,42.9,36.8,3.8,16.5
E02003259,33.6,34.1,15.2,17
E02003260,17.4,25.4,39.6,17.6
E02003261,42.3,30.8,12.8,14.1
E02003262,24.4,29,31.4,15.2
E02003263,31.4,32,8.8,27.8
E02003264,39,43.6,1.2,16.2
E02003265,38.8,33.8,10.9,16.5
E02003266,19.7,30.8,34.5,15
E02003267,24.8,36.5,6.9,31.9
E02003268,25.1,34.4,12.2,28.3
E02003269,32.5,31.9,8,27.6
E02003270,36.2,31.9,9,22.9
E02003271,32.4,35.6,8.1,23.9
E02003272,27.6,32.5,10.9,29
E02003273,24.6,34.6,20.1,20.7
E02003274,17.5,19.1,17.1,46.3
E02003276,18,21.4,10.1,50.5
E02003277,19.6,25.5,31.1,23.8
E02003278,13.2,16.2,19.2,51.4
E02003459,41.4,31.7,7.2,19.8
E02003460,34.6,41,12.6,11.8
E02003461,41.7,35.2,8.5,14.6
E02003462,34.3,38.3,6.4,21
E02003463,33.4,35.3,15.5,15.8
E02003464,21.7,30.7,29.1,18.6
E02003465,33.9,40.3,10,15.8
E02003466,23.1,35.8,12.4,28.7
E02003467,21.7,23.3,30.4,24.7
E02003468,33.6,35.9,10.1,20.4
E02003469,37.3,36.8,7.4,18.4
E02003470,13.1,20.7,49.3,17
E02003471,22.7,29.7,25.8,21.9
E02003472,8.9,17.7,25.6,47.9
E02003473,27.2,41.1,4.3,27.5
E02003474,26.1,33.3,18.1,22.6
E02003476,11.8,18.2,38.7,31.4
E02003478,23.4,40.6,13.6,22.5
E02003479,13.4,23.8,31.7,31.1
E02003480,19.5,38.9,21.1,20.5
E02003481,14.3,20.2,46.3,19.3
E02003482,31.6,44.6,8.9,14.9
E02003483,16.8,46.3,16.4,20.5
E02003484,22.1,37.8,19.1,20.9
E02003485,31.5,32.3,22.1,14.1
E02003486,19.2,49.8,11.3,19.7
E02003487,35.5,32.8,18.5,13.3
E02003488,30.9,32.2,13.8,23.1
E02003489,34.4,36.5,12,17
E02003490,13.4,38.7,32,15.9
E02003599,29.1,38.1,20.6,12.1
E02003600,34.4,34.2,16.7,14.7
E02003601,37.1,37.2,12.1,13.5
E02003602,39.4,31.5,15.3,13.8
E02003603,29.5,36.6,15.3,18.6
E02003604,28.4,46.7,13.9,11
E02003605,32.6,42,11.2,14.2
E02003606,38.3,39.9,13.3,8.4
E02003607,28.5,43.7,12.7,15.2
E02003608,32.8,40.3,15.9,11
E02003609,31.8,37.7,15.7,14.8
E02003610,36.2,42.7,9.6,11.6
E02003611,38.5,39.9,10.6,11
E02003612,32.6,45.2,11,11.2
E02003613,32.6,33,19.6,14.8
E02003614,36,43.5,4.5,16.1
E02003615,40.7,41.1,9.4,8.9
E02003616,46.8,33,7.3,12.9
E02003617,44.8,33.1,9,13.1
E02003618,42,35.6,9.7,12.7
E02003619,38.9,38.3,11.3,11.5
E02003620,44.7,30.6,14.9,9.8
E02003621,50.5,31.7,8.8,9
E02003622,29,26.1,31.5,13.3
E02003623,34.9,46.4,7.7,11
E02003624,28.8,23.7,10.4,37.1
E02003625,19.3,19.7,22.2,38.8
E02003626,38.6,30.9,10.7,19.8
E02003627,19.2,22,17.3,41.5
E02003628,24.1,28,17.3,30.6
E02003629,20.8,26,30.4,22.8
E02003630,17.6,24.3,25.3,32.9
E02003631,32.2,27.1,25.3,15.5
E02003632,32.5,32.4,12.2,22.9
E02003633,28.3,39.2,17.9,14.5
E02003635,26.2,52,15.5,6.3
E02003636,40.5,37.6,7.1,14.7
E02003637,38.5,41,8.8,11.6
E02003638,44,38.2,8.3,9.4
E02003639,25.9,31.2,21.8,21.1
E02003640,36.9,35.2,8.6,19.3
E02003641,42.7,39.6,3.9,13.9
E02003642,19.7,35.9,28.5,16
E02003643,24.1,49.7,11.9,14.3
E02003644,26.5,40.7,19.1,13.7
E02003645,42.2,39.4,3.7,14.7
E02003646,28.8,40.7,18.8,11.7
E02003647,25.3,36.7,14.6,23.4
E02003648,28.3,30.9,29.5,11.3
E02003649,43.5,35.7,4.1,16.7
E02003650,46.6,32.6,11.3,9.6
E02003651,43.9,36.3,9.7,10
E02003652,36.7,38.6,9.9,14.8
E02003653,34,27.8,16.1,22.1
E02003654,43.2,39.2,9,8.7
E02003655,37.1,39,11.3,12.6
