areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02000024,80.8,4.3,14.9
E02000025,80.1,3.7,16.2
E02000026,83.8,4.2,12
E02000027,81,4,15
E02000028,78.7,3.9,17.4
E02000029,78.2,4.2,17.6
E02000030,83.6,4.3,12
E02000031,78.4,4.2,17.3
E02000032,81.6,4.5,13.9
E02000033,79.4,4.5,16.1
E02000034,76,4.6,19.4
E02000035,68.6,5.2,26.2
E02000036,77.9,3.9,18.2
E02000037,82.8,4,13.2
E02000277,79.8,2.8,17.4
E02000278,78.2,3,18.9
E02000279,76.5,3.2,20.4
E02000280,86.8,2.8,10.4
E02000281,81.9,2.4,15.8
E02000282,77.2,3,19.8
E02000283,78,3.3,18.7
E02000284,82.3,3.7,14
E02000285,86.1,3,10.9
E02000286,83.3,3.5,13.2
E02000287,82.5,3.5,14
E02000288,72.9,3.5,23.7
E02000289,86.9,3.4,9.8
E02000290,75.5,3.3,21.2
E02000291,75,4.2,20.8
E02000292,77.9,3.4,18.7
E02000293,84.6,3.6,11.8
E02000294,73.4,3.6,23
E02000295,78,4.6,17.5
E02000296,69.7,4.7,25.6
E02000297,81.7,3.7,14.6
E02000298,84,3.4,12.6
E02000299,69.4,3.1,27.4
E02000300,68.2,3.5,28.3
E02000301,71.6,3.2,25.1
E02000302,77.3,4.4,18.3
E02000303,73.3,3.3,23.4
E02000304,78.9,4.6,16.5
E02000305,70,4.7,25.4
E02000306,72.5,3.6,23.9
E02000307,70.4,3.9,25.7
E02000433,79,4.3,16.7
E02000895,87.6,2.1,10.3
E02000898,86.2,3,10.8
E02000899,80.5,2.9,16.6
E02003258,86.9,2.5,10.6
E02003259,81.6,2.4,16
E02003260,80.5,2.9,16.6
E02003261,86.1,2.1,11.9
E02003262,80.8,2.9,16.3
E02003263,78.4,2.9,18.7
E02003264,87.6,2.4,10
E02003265,87.3,1.5,11.2
E02003266,80.2,3.2,16.5
E02003267,76.7,3.4,19.8
E02003268,74.3,3.6,22.1
E02003269,79,2.7,18.3
E02003270,74.8,3.1,22.1
E02003271,82.4,2.3,15.3
E02003272,75.9,3.1,21
E02003273,78.6,2.5,18.9
E02003274,65.8,3.4,30.8
E02003276,61.2,3,35.8
E02003277,73,2.8,24.3
E02003278,56,3.5,40.4
E02003459,94.3,1.6,4.1
E02003460,92.9,1.9,5.2
E02003461,94.9,0.8,4.3
E02003462,91.9,1.6,6.5
E02003463,85.3,2.5,12.1
E02003464,83.4,2.7,13.8
E02003465,85.4,3,11.6
E02003466,84.6,2.6,12.9
E02003467,76.3,2.5,21.1
E02003468,88.7,1.9,9.4
E02003469,86.6,2.3,11.1
E02003470,83.4,1.7,14.9
E02003471,77.1,3.4,19.5
E02003472,60.4,3.6,36
E02003473,81.8,3.5,14.7
E02003474,79.9,3.3,16.8
E02003476,69.7,2.6,27.8
E02003478,81.9,4,14.1
E02003479,70,3.4,26.7
E02003480,85.7,2.6,11.7
E02003481,80.6,2.2,17.2
E02003482,90,1.9,8.1
E02003483,84.6,3.7,11.7
E02003484,83.8,2.7,13.5
E02003485,88,1.9,10.1
E02003486,84.1,3.7,12.2
E02003487,88.8,1.5,9.6
E02003488,81.4,2.4,16.3
E02003489,88.5,1.9,9.7
E02003490,82.9,2.1,15
E02003599,94.3,1.4,4.3
E02003600,94.8,1,4.2
E02003601,96,1,3
E02003602,96.2,1.2,2.7
E02003603,93.5,1.3,5.2
E02003604,93.7,1.7,4.7
E02003605,83.2,2.1,14.7
E02003606,94.9,0.9,4.2
E02003607,93.7,1.6,4.7
E02003608,95.6,0.9,3.4
E02003609,96.1,1,2.9
E02003610,95.2,1.5,3.4
E02003611,95.2,1.4,3.3
E02003612,95,1.5,3.6
E02003613,94.7,1.3,4
E02003614,93.5,2,4.5
E02003615,95.1,1.3,3.5
E02003616,95.4,1.4,3.2
E02003617,94.8,1.6,3.6
E02003618,93.5,1.7,4.8
E02003619,92.9,1.6,5.4
E02003620,89.3,2,8.7
E02003621,90.4,2.4,7.3
E02003622,85.4,2.4,12.3
E02003623,90,2.4,7.6
E02003624,81.2,3.4,15.4
E02003625,76.4,3.1,20.5
E02003626,85.6,3,11.5
E02003627,73.2,2.9,23.9
E02003628,71.8,3.9,24.3
E02003629,77.1,2.9,20.1
E02003630,66.6,3.4,30
E02003631,85.3,2.3,12.4
E02003632,81.5,2.4,16.1
E02003633,84.8,2,13.2
E02003635,93.4,1.4,5.2
E02003636,92.9,1.1,6
E02003637,94.5,1.2,4.3
E02003638,94.2,1.2,4.7
E02003639,91.7,1.7,6.6
E02003640,92.1,1.4,6.5
E02003641,93.7,2,4.2
E02003642,82.4,2,15.6
E02003643,92.3,1.7,6
E02003644,86.1,2,11.8
E02003645,85.4,1.9,12.7
E02003646,87.2,1.9,10.9
E02003647,81.2,2.5,16.2
E02003648,85.4,2.1,12.5
E02003649,90.3,1.7,8
E02003650,95.5,1.1,3.3
E02003651,93.4,1.2,5.4
E02003652,90.4,2.5,7.1
E02003653,89.8,2.1,8.1
E02003654,95.6,1.3,3.2
E02003655,95.5,1.3,3.2
E02003656,95.2,1.3,3.5
E02003657,94.7,1.8,3.5
E02003658,92.9,1.8,5.3
E02003659,92.3,1.8,5.9
E02003660,94.7,2,3.3
E02003661,94.8,1.6,3.6
E02003662,87.4,1.7,10.9
E02003663,84.4,3.6,11.9
E02003664,81.7,2.7,15.6
E02003665,88.2,2.4,9.3
E02003666,77.1,3.1,19.8
E02003667,86.5,2.4,11.2
E02003668,91.7,2.5,5.8
E02003669,84,2.1,13.9
E02003670,87.4,2.4,10.2
E02003671,86.9,2.4,10.6
E02003672,94.1,1.5,4.4
E02003673,94,1.7,4.3
E02003674,94.6,1.9,3.5
E02003675,93.1,2.2,4.7
E02003676,93.9,1.7,4.4
E02003677,88.6,2.8,8.6
E02003678,89.9,2.5,7.6
E02003679,87,2.7,10.3
E02003680,94.6,1.7,3.8
E02003681,89,3.5,7.5
E02003682,88.5,3.7,7.8
E02003683,88.4,4,7.6
E02003685,93,2.3,4.7
E02003696,94.1,1.2,4.7
E02003697,95,1.5,3.5
E02003698,94.1,1.8,4.1
E02003699,95,1.4,3.6
E02003701,87.3,2.7,10
E02003702,92.7,1.9,5.4
E02003703,82,3.9,14.2
E02003704,92.8,2,5.1
E02003705,81.3,3.9,14.8
E02003706,85.1,2.6,12.3
E02003707,82.8,3,14.2
E02003708,75.8,3.6,20.5
E02003709,85.1,2.9,12
E02003710,76.5,4.4,19.1
E02003711,85.8,2.7,11.5
E02003755,94.5,0.9,4.6
E02003756,94.5,1.1,4.4
E02003757,95.8,0.9,3.3
E02003758,94.5,1.2,4.3
E02003760,76.4,2.4,21.2
E02003761,85.7,2.2,12
E02003762,88.3,1.5,10.2
E02003763,91,1.5,7.4
E02003764,78.7,2.8,18.5
E02003765,88.5,2.7,8.8
E02003766,90.3,1.9,7.8
E02003767,94.3,1.2,4.5
E02003768,93.6,1.5,4.9
E02003769,94.1,1.6,4.3
E02003770,91.2,2.1,6.7
E02003771,91.4,1.5,7.1
E02003772,93.4,1.3,5.3
E02003773,92,1.4,6.5
E02003774,93,1.2,5.8
E02003787,94.7,1.8,3.5
E02003793,93.8,1.8,4.4
E02004843,93.7,1,5.3
E02004844,88.3,1.4,10.3
E02004845,87,2,11.1
E02004846,93,1.8,5.2
E02004847,90.5,1.8,7.6
E02004848,92.3,2,5.8
E02004849,94.1,1.5,4.4
E02004850,88.9,1.6,9.5
E02004851,92.2,1.5,6.3
E02004852,83.4,2.8,13.8
E02004853,91.2,1.9,6.9
E02004854,80.3,2.4,17.3
E02004855,75,3.5,21.5
E02004856,93.7,1.7,4.6
E02004857,93.8,1.7,4.5
E02004858,94,1.7,4.3
E02004859,94.4,1.9,3.7
E02004860,84,2.3,13.7
E02004861,93.5,2,4.5
E02004862,85.5,2.1,12.4
E02004863,86.6,2.5,10.9
E02004864,91.6,2.6,5.7
E02004865,90.2,1.6,8.2
E02004866,91.5,1.4,7.1
E02004867,92.7,2.5,4.8
E02004868,87.7,1.9,10.3
E02004869,91.4,2.4,6.2
E02004870,84,2.5,13.5
E02004871,91.9,2.1,6
E02004872,91.4,2,6.6
