geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02003965,45.6,25.5,15.8,13.1
E02003966,56.1,25,5.3,13.6
E02003967,46.6,25.3,14.1,14
E02003968,43.7,28.8,15.1,12.4
E02003969,29.1,20.4,39.6,10.9
E02003970,44,29,13.2,13.8
E02003971,51.7,25.5,11.2,11.6
E02003972,39.1,29.8,17.1,14
E02003973,26.4,22.6,36.5,14.5
E02003974,37.9,25.6,30.3,6.2
E02003975,46.5,35.4,10.1,8
E02003976,48.5,19.6,19.2,12.7
E02003977,45.8,38,2.4,13.9
E02003987,45.5,26.4,8.2,19.9
E02003989,48.9,31.1,6.8,13.2
E02003990,44.8,38,5.8,11.4
E02003991,53.8,34.5,4.3,7.4
E02003992,27.8,23.1,12.1,37
E02003993,54.2,30.1,4,11.7
E02003994,30.2,24.6,20.4,24.9
E02003995,28.9,27.5,30.9,12.7
E02003996,27.2,28.8,9.6,34.3
E02003997,23.7,26.2,35.3,14.9
E02003998,31.9,28.2,28.8,11.1
E02003999,45.5,38.4,4.6,11.5
E02004000,40.9,27.6,22.4,9.2
E02004001,33.1,26.4,23.6,16.8
E02004002,46.1,35.9,11.2,6.8
E02004003,40.7,27.7,19.3,12.3
E02004004,32.3,30.5,28.2,9
E02004005,41.1,28,20.2,10.8
E02004006,53.5,29.7,6.1,10.7
E02004007,47.2,25.3,13.3,14.2
E02004012,50.8,20.7,9.1,19.4
E02004015,40.7,13,21.5,24.7
E02004016,43.2,21.5,13.9,21.4
E02004021,48.7,22.2,7.2,21.9
E02004022,51.7,24.1,8,16.2
E02004026,36.4,29.8,14.7,19.1
E02004027,55.8,22.3,7,14.9
E02004028,53.8,31.7,4.8,9.7
