geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02003965,45.7,38.8,14.4,0.9,0.1
E02003966,61,28.7,9.6,0.7,0
E02003967,49.2,36.8,12.9,1,0.1
E02003968,45.1,38.2,15.9,0.8,0.1
E02003969,33.7,41.9,22.5,1.7,0.2
E02003970,48,37.1,14,0.9,0.1
E02003971,55.1,32.8,11.6,0.4,0.1
E02003972,40.2,40.7,18,1.1,0.1
E02003973,27.8,47.1,23.7,1.4,0.1
E02003974,41.9,37.2,19.5,1.2,0.2
E02003975,54,34.7,10.8,0.4,0.1
E02003976,45.1,35.8,17.9,1,0.2
E02003977,42.2,41.4,15.4,0.8,0.2
E02003987,47.2,34.8,16.6,1.2,0.1
E02003989,46.7,38.3,13.9,0.9,0.2
E02003990,54,34.3,11.2,0.5,0
E02003991,52,36,11.1,0.7,0.1
E02003992,28.9,40.4,28.6,1.8,0.2
E02003993,58.9,30.9,9.6,0.5,0.1
E02003994,24.3,49.7,24.2,1.6,0.2
E02003995,27.1,40.5,30.4,1.8,0.3
E02003996,24.6,48.7,25,1.7,0.1
E02003997,23.9,42.3,31.1,2.3,0.3
E02003998,35.5,38.9,23.4,1.9,0.3
E02003999,54.5,34,11,0.5,0.1
E02004000,45.6,39.9,13.4,1.1,0
E02004001,35.8,38.5,24.6,1,0.1
E02004002,50.1,36.8,12.2,0.7,0.1
E02004003,45.2,40.6,13.1,1,0.1
E02004004,41.6,38.7,18.2,1.4,0.1
E02004005,45.4,38.2,15.1,1.2,0
E02004006,58.7,32.1,8.6,0.6,0
E02004007,44.8,40,13.7,1.4,0
E02004012,57.3,31.1,10.7,0.7,0.2
E02004015,42.6,31.5,24.2,1.6,0.1
E02004016,43.2,33.2,21.6,1.8,0.1
E02004021,56,32.3,11.2,0.5,0
E02004022,56,31.5,11.5,1,0
E02004026,40.1,37.1,21.5,1.2,0
E02004027,45.2,38.5,15.5,0.7,0.1
E02004028,55.8,32.8,10.7,0.6,0
