geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02003965,25.9,38.5,20.6,15
E02003966,16.7,34.9,35.2,13.2
E02003967,17.7,40,25,17.2
E02003968,30.3,34.9,19.5,15.3
E02003969,41,28.5,12,18.4
E02003970,24.5,29.9,35.1,10.5
E02003971,18.9,34.1,35.2,11.7
E02003972,36.9,30.3,20.2,12.6
E02003973,44,28.6,14.4,13
E02003974,40,29.5,17.4,13.1
E02003975,32.3,30.5,26,11.2
E02003976,29.8,23.5,31.8,14.8
E02003977,58,9.4,20.5,12.1
E02003987,22.5,32,28,17.6
E02003989,52.5,12.1,20.7,14.8
E02003990,49.3,14.3,23.3,13.1
E02003991,50.6,13.8,20.3,15.2
E02003992,57.2,12.7,18.3,11.8
E02003993,31.5,21.7,32.6,14.1
E02003994,61.7,11.6,12.8,13.9
E02003995,62.6,10.9,10.7,15.9
E02003996,59.1,13,14.4,13.5
E02003997,62.1,13.6,8.8,15.5
E02003998,59.7,11.4,11,17.9
E02003999,48.4,15.2,22.8,13.6
E02004000,37.3,27.3,23.2,12.3
E02004001,33.7,30.6,27.2,8.5
E02004002,31.6,34.1,26.4,7.9
E02004003,29.9,35.2,24.6,10.3
E02004004,34.4,36.1,18.9,10.5
E02004005,47.1,20.2,22.5,10.1
E02004006,32.2,20.2,37.5,10.1
E02004007,26.9,36.5,23.8,12.7
E02004012,21.2,23.8,39.6,15.3
E02004015,35.3,17.5,33.1,14.1
E02004016,37.3,20.3,26.4,16
E02004021,18.6,29,35.7,16.7
E02004022,19.2,32.2,33.7,15
E02004026,28.2,34.5,24.4,12.9
E02004027,23.6,30.1,28.3,17.9
E02004028,31.2,27.9,28.7,12.2
