geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02003965,33.2,38.4,13.6,14.9
E02003966,26.7,42.8,13.6,17
E02003967,30.5,39.1,13.7,16.7
E02003968,33.1,36.6,14.5,15.8
E02003969,33.4,33.6,16.9,16.1
E02003970,34.2,38.3,12.8,14.7
E02003971,31.2,40.9,14,13.8
E02003972,35.8,35.9,13.8,14.6
E02003973,41.9,30.9,13.9,13.2
E02003974,33.4,36.7,15.2,14.7
E02003975,29.2,39.2,15.8,15.9
E02003976,35.1,40.2,11.7,13.1
E02003977,32.4,36.3,14.9,16.3
E02003987,32.2,38.9,13.3,15.6
E02003989,34,37,14.2,14.7
E02003990,27.2,40,15.5,17.2
E02003991,24.8,42.7,15.2,17.3
E02003992,50.4,27.9,11.3,10.4
E02003993,28.4,41.9,14,15.7
E02003994,42.3,33.2,13.7,10.9
E02003995,38.9,31.6,14.8,14.6
E02003996,44.6,31.7,12.6,11.1
E02003997,35.5,30.4,17.2,16.9
E02003998,33.3,33.9,16.2,16.6
E02003999,27.5,40.2,14.7,17.5
E02004000,30.2,37.4,16.7,15.7
E02004001,47.8,30.5,10.2,11.5
E02004002,30.6,38.8,14.5,16.1
E02004003,35,36,15.2,13.8
E02004004,32.9,33.7,16.5,16.9
E02004005,35.1,34.5,14.6,15.7
E02004006,31.7,42.1,12.6,13.6
E02004007,34,37.7,13.1,15.2
E02004012,28.5,44.3,12.9,14.3
E02004015,37.1,40.5,12,10.4
E02004016,32.8,38.6,13.3,15.3
E02004021,28.6,46.3,12.3,12.8
E02004022,28.2,43.7,13.1,14.9
E02004026,37.7,34.7,13.9,13.7
E02004027,34.9,44.3,10.4,10.4
E02004028,29.3,42.2,13.7,14.8
