geography_code,in_full_time_education-001,in_full_time_education-002
E02003965,14.9,85.1
E02003966,14.4,85.6
E02003967,16,84
E02003968,15.4,84.6
E02003969,18,82
E02003970,15.5,84.5
E02003971,14.7,85.3
E02003972,15.6,84.4
E02003973,17.3,82.7
E02003974,17,83
E02003975,16.2,83.8
E02003976,13.5,86.5
E02003977,15.1,84.9
E02003987,14.9,85.1
E02003989,15.7,84.3
E02003990,17.7,82.3
E02003991,15,85
E02003992,18.1,81.9
E02003993,14.7,85.3
E02003994,16,84
E02003995,18.8,81.2
E02003996,17.7,82.3
E02003997,21.2,78.8
E02003998,20.3,79.7
E02003999,17.1,82.9
E02004000,15.7,84.3
E02004001,13.6,86.4
E02004002,16.2,83.8
E02004003,15.4,84.6
E02004004,18.4,81.6
E02004005,17,83
E02004006,14.1,85.9
E02004007,14.3,85.7
E02004012,13.8,86.2
E02004015,14.9,85.1
E02004016,14.6,85.4
E02004021,11.8,88.2
E02004022,13.3,86.7
E02004026,14.9,85.1
E02004027,10.6,89.4
E02004028,13.1,86.9
