geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E02003965,97.8,2.2
E02003966,97.3,2.7
E02003967,97.9,2.1
E02003968,97.5,2.5
E02003969,96.9,3.1
E02003970,95.3,4.7
E02003971,95.6,4.4
E02003972,97.2,2.8
E02003973,96.7,3.3
E02003974,97.6,2.4
E02003975,98,2
E02003976,92,8
E02003977,97.7,2.3
E02003987,96.5,3.5
E02003989,94.2,5.8
E02003990,93.8,6.2
E02003991,97.4,2.6
E02003992,86.5,13.5
E02003993,96.4,3.6
E02003994,90.5,9.5
E02003995,94.1,5.9
E02003996,89,11
E02003997,89.9,10.1
E02003998,93.5,6.5
E02003999,95.7,4.3
E02004000,98,2
E02004001,95,5
E02004002,96.5,3.5
E02004003,97.5,2.5
E02004004,97,3
E02004005,98,2
E02004006,96.9,3.1
E02004007,97.3,2.7
E02004012,94.5,5.5
E02004015,88.4,11.6
E02004016,87.3,12.7
E02004021,95.4,4.6
E02004022,96.4,3.6
E02004026,94.4,5.6
E02004027,94.8,5.2
E02004028,96.6,3.4
