areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00025639,65.2,8.7,13.8,12.3
E00025641,48.5,10.5,25.1,15.8
E00025643,68.1,11.4,11.8,8.7
E00025645,53.7,21.1,14.6,10.6
E00025649,48.7,13.7,20.5,17.1
E00025650,47.9,11.6,19,21.5
E00025652,53.8,12.4,12.4,21.4
E00025653,48.1,25.6,10.9,15.5
E00025655,47.4,18.5,13.9,20.2
E00025656,35.1,19.3,36,9.6
E00025657,57.6,9.1,22.7,10.6
E00025658,48.6,8.7,26.6,16.2
E00025659,63.3,4.4,11.7,20.6
E00025662,47.3,6.2,17.1,29.5
E00025664,43.6,12.2,29.1,15.1
E00025666,54.9,18.8,17.3,9
E00025668,66.9,5.5,15.7,11.8
E00025671,61.6,8.9,10.7,18.8
E00025677,57.5,10,20.6,11.9
E00025862,34.8,12.9,46.2,6.1
E00025863,35.9,14.8,37.5,11.7
E00025864,37.6,8.8,38.4,15.2
E00025865,46,9.7,31.8,12.5
E00025866,46,10.5,24.2,19.4
E00025867,45.9,11.1,28.1,14.8
E00025868,62,7.4,18.2,12.4
E00025870,58.6,9.3,15,17.1
E00025871,49.6,8.9,21.1,20.3
E00025872,48.6,21,14.3,16.2
E00025873,31.8,12.8,51.4,4.1
E00025875,36.4,10,50,3.6
E00025876,34.7,7.6,44.4,13.2
E00025877,50,7.4,25,17.6
E00025878,46.2,9,30.8,14.1
E00025879,27.3,15.1,44.6,12.9
E00025880,48.4,15.6,20.3,15.6
E00025882,50.5,19.3,17.4,12.8
E00025883,42.2,15.7,25.3,16.9
E00025884,60.6,10.9,14.5,14
E00025885,44.2,12.4,29.2,14.2
E00025886,58,14.5,16.8,10.7
E00025887,46,16.9,31.5,5.6
E00025888,54.3,8.6,20,17.1
E00025892,55.9,7.5,18.3,18.3
E00025893,65.3,5.1,19.4,10.2
E00025896,53.8,9.2,24.1,12.8
E00025897,61.2,4.3,20.1,14.4
E00025898,49.5,4.1,24.7,21.6
E00025899,33.3,9,46.8,10.9
E00025900,58.8,4.6,21.4,15.3
E00026656,39.7,9.8,41.6,8.9
E00026658,48.1,10.1,25.3,16.5
E00026659,43.9,9.3,35.5,11.2
E00026666,56.6,4.7,25.5,13.2
E00026669,54,3.8,29.1,13.1
E00026670,52.4,9.8,23.1,14.7
E00026697,61.7,7.5,17.3,13.5
E00028425,32.7,26,25.3,16
E00028426,41.4,20.7,20.7,17.1
E00028427,41.7,24.5,19.4,14.4
E00028429,40.1,19.8,21.5,18.6
E00028430,35.6,34.1,18.5,11.9
E00028439,42.4,17.4,28.3,12
E00028440,32.1,32.1,17,18.9
E00028441,35.5,24.1,27.7,12.8
E00028442,36.6,28.6,17.4,17.4
E00028443,40.1,24.3,22.5,13.1
E00028444,36.3,29.8,21,12.9
E00028445,40.2,21.3,26.8,11.8
E00028446,37.5,32.8,10.9,18.8
E00028447,37,27.5,21,14.5
E00028448,35,24.8,23.9,16.2
E00028449,36.8,29.5,22.1,11.6
E00028450,39.6,23.5,24.8,12.1
E00028451,44.5,29.1,9.1,17.3
E00028452,45.6,19,20.4,15
E00028453,35.1,22.4,26.1,16.4
E00028454,28.5,30.6,21.5,19.4
E00030771,16.7,27,47.7,8.6
E00030772,32.4,10.6,44.7,12.4
E00030773,19.5,19.5,58.5,2.5
E00030774,16.6,26.9,53.9,2.6
E00030775,20.7,15.3,55.9,8.1
E00030776,26.8,13.1,51,9.2
E00030777,33.7,19.6,37.4,9.2
E00030778,30.8,12.8,47,9.4
E00030779,32.2,14.7,42.7,10.5
E00030780,24.7,20.4,48.1,6.8
E00030782,21.3,16.9,53.1,8.7
E00030783,13.9,24.6,54.1,7.4
E00030784,27.3,13,53.2,6.5
E00030785,29.5,13.3,42.9,14.3
E00030786,31,21.5,39.2,8.2
E00030787,17.1,34.1,47.6,1.2
E00030788,20.7,17.1,54.3,7.9
E00030789,43.8,19.2,16.4,20.5
E00030790,15.5,22,56,6.5
E00030791,16.7,13.9,60.2,9.3
E00030792,16.2,19.8,55.7,8.4
E00030793,29.1,15.4,45.3,10.3
E00030796,23.5,13.9,57.2,5.3
E00030797,24.9,14.4,56.4,4.4
E00030798,24.7,20.5,48.8,6
E00030799,24.1,18.6,51,6.2
E00030800,26.8,14.1,55.7,3.4
E00030801,35.7,20,28.6,15.7
E00030802,27.4,21.1,44.6,6.9
E00030803,28.2,15.4,43,13.4
E00030804,14.5,28.3,54.5,2.8
E00030805,25.8,10.6,55.6,7.9
E00030806,35.7,20,40,4.3
E00030807,44.8,15.2,26.1,13.9
E00030808,21.1,17.8,57.8,3.3
E00030809,27.7,11.3,49.7,11.3
E00030810,12,27.3,53.3,7.3
E00030811,18.1,26.8,46.4,8.7
E00030812,17.3,19.4,54,9.4
E00030813,13.7,28.1,51.6,6.5
E00030814,26.1,26.9,39.6,7.5
E00030815,15.7,15.7,62.7,5.9
E00030816,18.1,22.3,55.4,4.2
E00030817,17.9,22.1,54.5,5.5
E00030818,42,15.9,29.7,12.3
E00030819,20.1,13.4,56.7,9.8
E00030820,21.5,18.5,54.6,5.4
E00030821,21.3,17.2,56.8,4.7
E00030822,13.5,29.1,52.7,4.7
E00030823,29.8,22.9,38.2,9.2
E00030824,20.8,16.2,57.2,5.8
E00030825,22.5,16.9,55.6,5
E00030826,22.5,17.2,54.3,6
E00030827,13.5,29.3,51.1,6
E00030828,23.7,16.7,55.4,4.3
E00030829,8.1,21.6,62.2,8.1
E00030830,17,26.7,46.7,9.6
E00030831,15.2,15.2,65.2,4.4
E00030832,17.7,19.9,58.1,4.3
E00030833,20.3,19.5,57,3.1
E00030834,19.4,17.3,59.7,3.6
E00030835,20.4,16.9,52.8,9.9
E00030836,27.8,10,55.6,6.7
E00030837,22.2,21.5,50.4,5.9
E00030838,17.2,15.3,59.2,8.3
E00030839,17.1,17.1,55.3,10.6
E00030840,14.7,17.6,61,6.6
E00030841,20.1,28.2,46.3,5.4
E00030842,20.9,14.9,60.1,4.1
E00030843,17.6,27.5,45.6,9.3
E00030844,17.7,21.5,58.2,2.5
E00030845,17.8,34.4,45.4,2.5
E00030846,21.7,17.4,45.2,15.7
E00030847,21.5,13.1,60.8,4.6
E00030848,13.6,25.3,50.6,10.4
E00030849,33.1,18.6,35.5,12.8
E00030850,42.9,15.5,25.5,16.1
E00030851,34.7,16.5,34.1,14.8
E00030853,30.9,16.5,40.9,11.7
E00030854,27.4,11.1,54.7,6.8
E00030855,29.5,8.7,48.3,13.4
E00030856,36.3,12.6,38.5,12.6
E00030857,35.5,20.7,32.2,11.6
E00030858,29.5,15.6,43.9,11
E00030859,30.4,11.3,47.6,10.7
E00030860,24.4,14.3,54.8,6.5
E00030861,31.8,13.5,43.5,11.2
E00030862,23.8,11.9,57.4,6.9
E00030863,31.6,18.1,34.8,15.5
E00030864,38,14.6,37.5,9.9
E00030865,38.8,14.9,31.3,14.9
E00030866,32.2,11.6,47.1,9.1
E00030867,36.3,20.2,41.1,2.4
E00030868,30.2,15.5,42.2,12.1
E00030869,23.2,21.1,48.4,7.3
E00030870,34.3,15.7,47.1,2.9
E00030871,21.8,17.9,45.8,14.5
E00030872,26.5,14.7,50,8.8
E00030873,31.9,15.5,46,6.6
E00030874,27.2,13.4,50.2,9.2
E00030875,17.4,15,51.5,16.2
E00030876,33.3,8.9,50.7,7
E00030877,35.6,16.4,37.9,10
E00030878,34.3,12.8,42.4,10.5
E00030879,34.7,11.6,46.7,7
E00030881,26.3,19.8,45.3,8.6
E00030882,30.2,14.5,47.8,7.5
E00030883,23.2,23.2,41.2,12.4
E00030884,52.9,8.5,26.1,12.4
E00030885,41.7,20.8,23.3,14.2
E00030886,29.4,9.4,52.4,8.8
E00030887,33.3,18.5,35.8,12.3
E00030888,34,11.9,44.7,9.4
E00030889,30.9,10.1,50,9
E00030890,34.8,13.5,45.8,5.8
E00030891,35.9,8.5,50,5.6
E00030892,30.6,8.7,51.4,9.2
E00030893,30.1,8,53.4,8.6
E00030894,27.8,14.8,51.9,5.6
E00030895,34.3,12,44.6,9
E00030896,32.2,7.5,49.3,11
E00030897,32.1,8,43.2,16.7
E00030898,33,7,47,13
E00030899,36.2,8.1,47,8.7
E00030900,23.8,8.1,61.9,6.3
E00030901,36.2,9,49.2,5.6
