areacd,heating_type_3a-001,heating_type_3a-002
E00024188,0,100
E00024190,0.8,99.2
E00024191,2.3,97.7
E00024192,1,99
E00024193,1.4,98.6
E00024194,1.5,98.5
E00024195,0.8,99.2
E00024196,3.2,96.8
E00024197,0,100
E00024198,0,100
E00024200,2,98
E00024201,0.8,99.2
E00024202,0,100
E00024203,2.2,97.8
E00024204,0.9,99.1
E00024205,2.2,97.8
E00024206,0.8,99.2
E00024207,1.4,98.6
E00024208,0.4,99.6
E00024210,0,100
E00024211,4.3,95.7
E00024212,0.8,99.2
E00024213,0.8,99.2
E00024215,0.6,99.4
E00024216,0.7,99.3
E00024217,1.5,98.5
E00024218,0,100
E00024219,1,99
E00024220,4.3,95.7
E00024221,0.9,99.1
E00024222,0,100
E00024223,1.5,98.5
E00024224,1.8,98.2
E00024225,0.5,99.5
E00024226,1.8,98.2
E00024227,2.2,97.8
E00024228,1.3,98.7
E00024229,0,100
E00024452,2.1,97.9
E00024465,0.8,99.2
E00024469,0,100
E00024475,2.1,97.9
E00024478,0,100
E00024479,0,100
E00024481,0,100
E00024482,0,100
E00024483,0,100
E00024484,0.7,99.3
E00024485,2.5,97.5
E00024488,1.8,98.2
E00024489,0.8,99.2
E00024490,0,100
E00024491,0,100
E00024492,0.9,99.1
E00024493,0,100
E00024494,0,100
E00024495,0.9,99.1
E00024496,0,100
E00024497,0,100
E00024498,0,100
E00024499,0.7,99.3
E00024500,0,100
E00024501,0,100
E00024502,1.4,98.6
E00024503,1.3,98.7
E00024505,0,100
E00024506,0.9,99.1
E00024507,0,100
E00024508,4.3,95.7
E00024509,0,100
E00024510,1.4,98.6
E00024511,2.2,97.8
E00024512,2.9,97.1
E00024513,2.2,97.8
E00024514,0,100
E00024515,1.4,98.6
E00024516,0.8,99.2
E00024517,0,100
E00024518,0,100
E00024519,2.5,97.5
E00024520,3.1,96.9
E00024521,0.8,99.2
E00024522,1.6,98.4
E00024523,0.8,99.2
E00024524,0,100
E00024525,0.9,99.1
E00024526,0,100
E00024527,0,100
E00024528,0,100
E00024529,0.9,99.1
E00024530,0.7,99.3
E00024531,1.5,98.5
E00024532,0.8,99.2
E00024533,0,100
E00024536,2.4,97.6
E00024705,0,100
E00024706,0.9,99.1
E00024708,0,100
E00024709,0.7,99.3
E00024710,0,100
E00024711,2.8,97.2
E00024712,0.9,99.1
E00024713,1,99
E00024714,0,100
E00024715,0.8,99.2
E00024716,0,100
E00024717,0,100
E00024718,0,100
E00024719,0.9,99.1
E00024720,1.7,98.3
E00024721,0,100
E00024722,0,100
E00024723,0.8,99.2
E00024724,0,100
E00024725,0,100
E00024726,1.6,98.4
E00024727,1.7,98.3
E00024728,1.2,98.8
E00024729,2.9,97.1
E00024730,0.8,99.2
E00024731,0,100
E00024732,0,100
E00024733,0,100
E00024734,1.6,98.4
E00024735,2.5,97.5
E00024736,0.9,99.1
E00024737,0,100
E00024738,0,100
E00024739,4,96
E00024740,1.5,98.5
E00024741,0.5,99.5
E00024742,3,97
E00024743,1.5,98.5
E00024744,1.8,98.2
E00024745,0.6,99.4
E00024746,0,100
E00024747,3.7,96.3
E00024748,1.7,98.3
E00024749,0,100
E00024750,1.8,98.2
E00024751,0,100
E00024752,3.3,96.7
E00024753,6.2,93.8
E00024754,0.9,99.1
