geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00015203,70,24.3,5.8
E00015207,85.3,12.4,2.3
E00015208,91.3,6.6,2.1
E00015209,90.6,7,2.4
E00015210,89,6.7,4.3
E00015211,87.5,9.1,3.4
E00015212,87.9,7.8,4.3
E00015213,87.2,10,2.8
E00015214,85.6,11.1,3.2
E00015215,90.7,6.2,3.1
E00015216,90.5,5.6,3.9
E00015217,89.5,8.9,1.6
E00015218,93.1,4.9,2
E00015219,93.8,5.3,0.9
E00015220,89.7,4.9,5.3
E00015221,86.1,9.4,4.6
E00015222,91.9,4.9,3.2
E00015223,92.4,6.4,1.2
E00015224,79.3,13.6,7
E00015225,84.6,10.1,5.3
E00015226,82.1,11.9,6
E00015227,80.6,12.7,6.7
E00015228,90.7,7.6,1.7
E00015283,94.6,3.8,1.6
E00015285,87.8,7.7,4.4
E00015288,87.9,10.1,2
E00015291,94.2,2,3.7
E00015341,86.2,8.2,5.6
E00015343,78,12.4,9.5
E00015344,79.2,11.9,8.9
E00015345,88.3,9.6,2
E00015346,82.3,11.4,6.4
E00015347,87.7,7.7,4.6
E00015348,87.9,8.6,3.5
E00015349,91.7,5.5,2.8
E00015350,79.7,13.4,6.8
E00015351,88.5,7.5,4
E00015352,95.5,3.9,0.6
E00015354,85.2,7.8,7
E00015355,81.9,14,4
E00015356,76.7,15.1,8.2
E00015357,83.8,10.2,5.9
E00015358,75.6,15.2,9.2
E00015359,84.2,11.6,4.1
E00015360,82.9,10.9,6.2
E00015361,85.9,9.7,4.4
E00015362,87.4,10.9,1.7
E00015363,82.4,12.1,5.5
E00015364,86.2,10.3,3.5
E00015366,82.5,12.7,4.8
E00015367,84.5,10,5.4
E00015368,81.8,13.8,4.4
E00015369,80.8,13.1,6.1
E00015370,95.9,3.6,0.5
E00015371,80.9,12.8,6.3
E00015372,81.6,12.3,6.1
E00015373,87.1,8.6,4.2
E00015374,82.6,10.5,6.9
E00015375,83,12.7,4.3
E00015376,84.1,11.3,4.6
E00015378,77,18.7,4.3
E00015379,83.2,11.9,4.9
E00015380,79.9,13.2,6.9
E00015381,84.1,10.8,5.1
E00015382,93.1,5,2
E00015383,83.2,12.5,4.4
E00015384,93.3,5.5,1.2
E00015385,75.9,14.1,10
E00015386,88.1,6.3,5.6
E00015387,88.2,7.7,4
E00015388,84.8,12.7,2.5
E00015389,84.2,10.3,5.5
E00015390,86.1,8.9,5
E00015391,82,12.1,5.9
E00015392,84.6,11.2,4.2
E00015393,80.8,13.9,5.3
E00015394,90.1,7.2,2.6
E00015395,82.8,12.1,5.1
E00015397,91.2,6.3,2.5
E00015398,87.3,9.6,3.1
E00015400,90.3,8.4,1.4
E00015401,80.4,12.3,7.2
E00015402,89.6,6.8,3.6
E00015403,85.4,11.6,3
E00015404,86.3,11.4,2.3
E00015405,82.5,12.7,4.8
E00015406,83.3,9.3,7.4
E00015407,84.9,9.7,5.4
E00015408,85.3,9.9,4.8
E00015409,78,14.1,7.9
E00015410,89.3,7.8,2.9
E00015411,87.9,9.1,3
E00015412,88.3,8,3.7
E00015413,86.3,10.3,3.3
E00015414,85.3,9.5,5.3
E00015416,89,8,3
E00015417,84.8,12.4,2.8
E00015419,92.7,3.5,3.8
E00015421,85,10.9,4.1
E00015422,77,14.1,8.9
E00015423,92.6,4.9,2.6
E00015424,86.7,9.5,3.8
E00015425,90.1,5.6,4.3
E00015426,86.3,9.1,4.6
E00015427,83.1,12.7,4.2
E00015428,96.1,2.7,1.2
E00015429,86.1,8.6,5.2
E00015430,87.2,8.5,4.3
E00015431,89.1,6.8,4.2
E00015432,85.1,11.1,3.8
E00015433,91.1,7.6,1.3
E00015434,86.8,10.8,2.4
E00015484,85.2,8.5,6.3
E00015485,87,8.8,4.3
E00015486,79.2,13.1,7.7
E00015487,90.3,8.1,1.7
E00015488,90.2,7.6,2.2
E00015489,90.7,7.4,1.9
E00015491,88.6,7.7,3.7
E00015492,79.4,11.1,9.5
E00015493,87,8.7,4.3
E00015494,88.9,8.4,2.7
E00015495,92.1,7.1,0.8
E00015496,77.1,12.8,10.1
E00015497,78.5,15.2,6.4
E00015498,83.1,12,4.9
E00015499,85.6,10.1,4.3
E00015501,93.8,5.8,0.3
E00015502,88.7,8.1,3.2
E00015503,87.5,6.4,6.1
E00015504,83.8,12.6,3.6
E00015505,92.5,5.3,2.2
E00015506,85.9,8.3,5.8
E00015507,90.6,7.9,1.5
E00015508,86.5,8,5.4
E00015509,90.6,7.9,1.5
E00015510,88.8,7.6,3.5
E00015511,92.4,5.9,1.8
E00015512,87.2,9.9,2.8
E00015513,84.5,10.3,5.2
E00015514,80.1,12.4,7.5
E00015515,84.9,9,6.1
E00015516,82.9,9.6,7.5
E00015517,87.8,7.6,4.5
E00015518,87.2,7.9,4.8
E00015519,87.3,8.6,4.1
E00015520,88.5,7.8,3.7
E00015522,90.7,6,3.2
E00015523,88.6,9,2.5
E00015524,88.4,10,1.6
E00015525,82.1,10,7.8
E00015574,89.9,6.5,3.6
E00015575,92,4.6,3.4
E00015576,91.9,5.9,2.2
E00015577,90.9,6.7,2.4
E00015578,81.9,10.6,7.6
E00015579,90.4,7.9,1.7
E00015580,83.5,14.6,1.8
E00015581,87.9,9.2,2.9
E00015582,88.5,5.8,5.8
E00015583,83.4,10.5,6.1
E00015592,90.3,5.6,4.1
E00015593,82.6,11.7,5.7
E00015596,75.8,17.5,6.6
E00015597,77.5,15.2,7.3
E00015598,80,14.4,5.6
E00015602,91.2,6.1,2.7
E00015605,85.7,10.7,3.7
E00015606,78.2,15.4,6.5
E00015607,91.1,7,1.9
E00015609,87.8,8,4.2
E00015611,90,8,2
E00015612,83.9,13,3.2
E00015613,91.9,6.4,1.7
E00015614,90.7,7.3,2
E00015615,84.1,11.7,4.1
E00015616,89.8,9.2,1
E00015617,82.4,10.2,7.4
E00015618,92.3,4.9,2.8
E00015619,87.8,10.3,1.9
E00015621,96.8,3.2,0
E00015631,85.8,11.4,2.8
E00015633,93.8,6.3,0
E00015639,63,23.3,13.8
E00015640,86.5,9.2,4.3
E00015641,85.3,11.3,3.4
E00015642,82.8,12.4,4.8
E00015643,88.9,8.5,2.5
E00015644,93.8,5.1,1.1
E00015645,95.8,3.5,0.7
E00015646,73,13.5,13.5
E00015647,92.9,5.8,1.2
E00015648,88.2,9.7,2.1
E00015649,81.4,10.7,7.9
E00015650,88.3,8.1,3.6
E00015651,86.1,6.9,6.9
E00015652,86.8,8.5,4.6
E00015653,93.7,5.4,0.9
E00015654,83,8.5,8.5
E00015655,87.9,7.9,4.1
E00015656,77.5,15.5,7
E00015657,91.5,5.4,3.1
E00015658,79,15.2,5.8
E00015659,83.6,12.9,3.5
E00015754,82.4,11.6,5.9
E00015755,80.2,11.5,8.3
E00015756,87.2,8.4,4.4
E00015757,77.4,15.1,7.5
E00015758,79.3,16.1,4.6
E00015759,80.9,13.2,6
E00015760,88.2,9.3,2.6
E00015761,83.6,13.2,3.3
E00015763,83.2,11.1,5.7
E00015764,84.2,11,4.8
E00015765,84.5,10.5,5
E00015766,85.2,11.9,2.9
