geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00132009,97.3,2.7,0
E00132010,91.9,2.7,5.4
E00132014,96,4,0
E00132015,93.5,3.3,3.3
E00132016,95.8,2.8,1.4
E00132017,98.5,1.3,0.2
E00132018,97.3,1.9,0.8
E00132019,96.4,3.2,0.5
E00132020,97.9,1.5,0.6
E00133256,95.4,3.7,0.9
E00133258,96.7,3.3,0
E00133259,97.2,2.5,0.3
E00133260,98.9,1.1,0
E00133261,96.9,2.6,0.5
E00133262,97.2,1.8,1.1
E00133264,95.5,3.2,1.3
E00133265,96.2,2.4,1.4
E00133266,99.4,0.3,0.3
E00133267,97.8,1.9,0.3
E00133268,99.3,0.7,0
E00133269,97,1.8,1.3
E00133270,100,0,0
E00133271,96.4,3.6,0
E00133272,92.9,5.7,1.5
E00133273,100,0,0
E00133288,97.9,1.8,0.3
E00133289,96.7,1.6,1.6
E00133290,99.4,0.6,0
E00133291,98.4,1.6,0
E00133292,90,7,3
E00133293,94,4.8,1.2
E00133294,94.4,5,0.6
E00133305,99.1,0.9,0
E00133307,99.2,0.8,0
E00133316,95.1,2.4,2.4
E00133326,94.3,4.7,1
E00133329,97.7,1.6,0.6
E00133358,93.5,5.5,1
E00133359,85.8,10.6,3.5
E00133360,97.4,0.4,2.2
E00133361,95.1,2.9,1.9
E00133362,96.2,3.1,0.7
E00133363,93.9,4.5,1.6
E00133364,95.5,3.6,0.9
E00133365,84.9,9.2,5.9
E00133366,96.1,3,0.9
E00133367,90.6,8.7,0.8
E00133368,98.2,1.1,0.7
E00133369,86.7,10.6,2.7
E00133370,92.7,4.6,2.7
E00133371,92.1,6.8,1.1
E00133372,91.1,8,1
E00133373,95.5,3.6,0.9
E00133374,92.4,4.1,3.5
E00133376,99.4,0.6,0
E00133377,46.5,34.3,19.2
E00133378,50.5,34.2,15.3
E00133379,93.1,5.9,1
E00133380,92.7,6.2,1.2
E00133381,89,8.6,2.3
E00133382,76.8,15.6,7.7
E00133383,80.7,16.4,2.9
E00133384,59.8,29.2,11.1
E00133385,88,9.6,2.4
E00133386,86.7,10.2,3.1
E00133388,78.7,15.1,6.2
E00133389,72.8,19.3,7.9
E00133390,63.8,23.5,12.6
E00133391,71.1,23.9,5
E00133392,88.9,8.8,2.3
E00133393,90.7,8,1.3
E00133394,72.8,19.7,7.5
E00133395,78.8,18.7,2.5
E00133396,79.7,16,4.3
E00133397,68.9,23.3,7.9
E00133398,69.9,23,7.1
E00133399,91.2,6,2.8
E00133400,87.4,10.5,2.1
E00133401,61.4,24.9,13.7
E00133402,63.6,28.4,8
E00133403,45.8,37.3,17
E00133404,66.2,21.9,11.9
E00133405,58.9,28.6,12.5
E00133406,73.5,20.1,6.3
E00133407,54.4,31.4,14.2
E00133409,79.8,15.6,4.5
E00133410,76,18.9,5.1
E00133411,80.1,16.1,3.8
E00133412,80.1,13.2,6.6
E00133413,94.1,4.1,1.8
E00133414,83.9,12.4,3.8
E00133415,83.6,10.5,5.9
E00133416,71.8,20.3,7.9
E00133417,88,8.5,3.5
E00133418,81.7,10.6,7.6
E00133419,91.9,6.7,1.3
E00133420,92.1,6.3,1.5
E00133421,62.2,22.4,15.4
E00133422,78.8,14.5,6.7
E00133423,94.9,3.7,1.4
E00133424,78.3,15.4,6.4
E00133425,75.1,20.4,4.5
E00133426,78.2,13.9,7.8
E00133427,89.9,9.4,0.7
E00133428,52.9,33.1,13.9
E00133429,79,16.2,4.9
E00133430,67.1,23.3,9.7
E00133431,70.7,22,7.3
E00133432,63.4,26.4,10.2
E00133433,70.3,16.5,13.1
E00133434,63.7,21.8,14.5
E00133435,69.7,22.6,7.8
E00133436,74.4,21.4,4.2
E00133437,62.7,27.5,9.8
E00133438,97.2,1.9,0.9
E00133439,81.6,13.7,4.8
E00133440,70,18.8,11.2
E00133441,66.5,25,8.5
E00133442,86.7,8.9,4.4
E00133443,87.1,9.3,3.6
E00133444,79.8,16.5,3.8
E00133446,78.7,16.8,4.4
E00133448,92.7,5,2.3
E00133449,85.7,9.7,4.6
E00133450,73.2,18.8,8.1
E00133451,73.2,20.9,5.9
E00133452,83.9,12.2,3.9
E00133454,64.7,24.4,10.9
E00133455,71.3,20.9,7.8
E00133456,90.6,7.2,2.2
E00133457,100,0,0
E00133458,100,0,0
E00133459,98.3,0.9,0.9
E00133460,96.2,2.8,0.9
E00133461,99,1,0
E00133462,97.4,1.3,1.3
E00133463,95.1,3.1,1.8
E00133487,99.7,0.3,0
E00133488,96.8,2.9,0.3
E00133489,97.3,2,0.7
E00133490,98.4,0.5,1.1
E00133491,100,0,0
E00133492,97.2,2,0.8
E00133493,95.7,2.8,1.4
E00133494,98.2,1.5,0.3
E00133495,96.4,2.5,1.1
E00133496,94.9,3.6,1.5
E00133497,96.8,2.3,0.9
E00133498,97.3,2.4,0.3
E00133499,97.9,1.8,0.4
E00133500,96,2.5,1.6
E00133501,94.5,3.9,1.6
E00133502,98,2,0
E00133503,94.8,4.4,0.8
E00133504,96.5,2.9,0.6
E00133505,96.6,2.9,0.5
E00133506,96.8,2.4,0.8
E00133507,96.5,2.2,1.3
E00133508,97,3,0
E00133509,98.6,1.4,0
E00133510,97,2.1,0.9
E00133511,95.8,3,1.1
E00133512,98.1,1.2,0.8
E00133513,98,2,0
E00133531,99,0.5,0.5
E00133534,99.6,0.4,0
E00133535,100,0,0
E00133907,99.6,0.4,0
E00133908,98,1.8,0.2
E00133909,97.2,2.2,0.6
E00133910,98.3,1,0.7
E00133913,99.6,0.4,0
E00133914,97.7,2.1,0.2
E00133915,99.7,0.3,0
E00133918,100,0,0
E00133921,98.7,1.3,0
E00133922,99,1,0
E00133923,99.6,0.4,0
E00169383,66.8,26.1,7.1
E00169384,86.2,10.7,3.1
E00169385,78.3,18,3.7
E00169386,82.1,14.3,3.6
E00169387,67.4,23.3,9.3
E00169388,42.3,45.6,12.1
E00169390,72.9,18.9,8.2
E00169391,70,24.1,5.9
E00169392,98.5,0.9,0.6
E00169393,97.1,2.5,0.3
E00169394,97.6,0.8,1.6
E00185277,50.2,41.5,8.4
E00185295,95.8,4.2,0
E00185297,60.1,32.9,7
E00185318,49.7,41.3,8.9
E00185320,93.9,6.1,0
E00185329,64.6,27.6,7.8
E00185345,74.3,20,5.7
E00185353,87.8,10,2.2
E00185392,89.5,7,3.6
E00185402,86.3,10,3.7
E00185438,63.1,25.7,11.2
E00185449,95.2,3.4,1.4
E00185456,84.6,15.4,0
