geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00127023,95.8,4.2
E00127411,94.3,5.7
E00129625,94.8,5.2
E00129626,99.2,0.8
E00129709,98.7,1.3
E00129712,97.3,2.7
E00129713,96,4
E00129717,97.3,2.7
E00129718,97.5,2.5
E00129719,95.3,4.7
E00129720,97.1,2.9
E00129721,95.8,4.2
E00129723,96.9,3.1
E00129724,99.1,0.9
E00129725,99.3,0.7
E00129726,95.9,4.1
E00129727,98.4,1.6
E00129728,97.6,2.4
E00129729,97.2,2.8
E00129730,97.5,2.5
E00129731,93.5,6.5
E00129732,99.6,0.4
E00129733,97.5,2.5
E00129734,97.3,2.7
E00129840,99.8,0.2
E00129841,96.7,3.3
E00129842,99.6,0.4
E00129843,97.3,2.7
E00129844,99.4,0.6
E00129845,97.5,2.5
E00129848,96.4,3.6
E00129849,97,3
E00129852,99.7,0.3
E00129853,98.4,1.6
E00129854,98.1,1.9
E00129855,97.7,2.3
E00129856,98.6,1.4
E00129857,96.5,3.5
E00129859,98.7,1.3
E00129860,98.6,1.4
E00129863,97.5,2.5
E00129864,96.3,3.7
E00129865,93.6,6.4
E00170174,96.6,3.4
E00170180,95.2,4.8
E00185571,97.2,2.8
E00185579,95.9,4.1
E00185588,96.3,3.7
E00185601,93.3,6.7
E00185616,96.4,3.6
