areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02003352,52.7,32.2,2.2,12.9
E02003353,28.6,50.1,7.8,13.5
E02003354,29.9,44.3,10.7,15.1
E02003355,19.5,31,32.8,16.7
E02003357,19.1,35.9,26.4,18.7
E02003358,17.5,31.5,27.3,23.7
E02003359,20.3,41.4,16.5,21.8
E02003360,25.1,44.5,18.9,11.5
E02003361,25.4,38.3,23.1,13.2
E02003362,29.9,35.6,21.3,13.3
E02003363,41.5,36.3,5,17.3
E02003364,31.4,47.5,10.4,10.6
E02003365,36.6,43.6,8.9,10.9
E02003366,37.3,38,7.1,17.6
E02003367,34,33.2,15.8,16.9
E02003369,42.8,33.2,7.2,16.8
E02003370,45.6,37.7,5.3,11.4
E02003371,51.1,40.9,1.1,6.9
E02003372,42.5,36,10.8,10.7
E02003373,36,36.6,8.9,18.5
E02003374,32.9,39.2,13.4,14.5
E02003375,26.5,35.5,20,18
E02003377,41.1,33.9,10,15
E02003378,33.8,26,20.2,20.1
E02003379,26.2,33.9,19.3,20.6
E02003380,35.3,42.7,9.9,12.2
E02003381,35.3,36.8,12.2,15.7
E02003382,27.3,30.5,26.4,15.8
E02003383,35.8,41.7,8.6,14
E02003385,19.9,32.7,17.3,30
E02003386,26.3,30.8,24.6,18.3
E02003387,41.6,36.4,8.8,13.3
E02003388,37,35,13.5,14.5
E02003389,43.7,39.4,4.4,12.5
E02003390,47,43.5,1.6,7.9
E02003391,38.6,38.6,8.3,14.4
E02003392,22.7,30.7,17.2,29.4
E02003393,42,39.2,3.1,15.7
E02003394,18.3,36.5,25.8,19.5
E02003395,15.1,25.8,8.7,50.4
E02003396,20.8,32.9,10.8,35.5
E02003397,29.6,30.3,25.5,14.6
E02003398,12.8,23.1,15.7,48.5
E02003400,20.9,22.2,3.5,53.4
E02003401,21.8,25.5,19,33.7
E02003402,15,22.4,10.9,51.7
E02003403,27.2,30.5,28.6,13.7
E02003404,24.5,22.7,31.9,20.9
E02003405,11.6,25.7,34.3,28.4
E02003406,24,34.3,27.8,13.9
E02003421,44.1,37.1,3.9,14.9
E02003422,42.1,34.2,8.3,15.3
E02003423,27.3,32.7,27.7,12.3
E02003424,36.2,37.3,2.6,23.9
E02003425,20.3,27.2,18.4,34.1
E02003426,37.8,39.4,5.2,17.5
E02003427,26.7,32.1,20.4,20.8
E02003428,37.3,36.3,17.2,9.2
E02003429,41.8,37.9,6.4,14
E02003439,42.8,33,11.1,13.1
E02003440,38.9,37.8,6.9,16.4
E02003441,46.7,37.2,4.6,11.5
E02003442,33.7,48.3,4.2,13.9
E02003443,32.1,31.8,23.6,12.5
E02003444,39.1,40.5,3.7,16.7
E02003445,42.7,44.3,2.5,10.4
E02003446,45.3,40,2.7,12
E02003447,29,47.9,11.3,11.8
E02003448,36.6,45,5.5,12.9
E02003449,32,41.6,2,24.4
E02003450,27.6,46.4,10.3,15.7
E02003451,31.1,27.8,19,22.1
E02003452,31.5,49.5,8.2,10.8
E02003453,44.3,46.3,1.6,7.8
E02003454,36.8,38.4,7.6,17.1
E02003455,27.1,53.4,8.4,11.1
E02003456,26.4,40.8,10.4,22.5
E02003457,45.7,43.2,3.7,7.4
E02003458,44.8,42,2.3,10.8
E02003712,33.2,35.1,20,11.6
E02003713,48.6,36.1,7.9,7.4
E02003715,48.1,33.7,4.3,13.9
E02003716,40.1,31.9,9.3,18.6
E02003717,40.1,32.5,11.8,15.6
E02003718,35.2,33.6,11.5,19.7
E02004675,39.3,36.1,15.5,9.2
E02004676,44.1,36.5,7.8,11.7
