areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02003352,28.5,38.2,14.9,18.4
E02003353,24,37.1,18.7,20.2
E02003354,23.9,34.4,18.8,22.9
E02003355,29.6,31.1,17.4,21.9
E02003357,32.1,30.3,16.8,20.7
E02003358,32.2,30.8,16.9,20.1
E02003359,30.2,35.6,17.3,16.9
E02003360,20.2,31.8,20.5,27.4
E02003361,28.4,32.8,17.7,21.1
E02003362,27.9,31.8,18.5,21.8
E02003363,30.1,37,14.8,18.2
E02003364,22.8,34.6,19.3,23.3
E02003365,23.4,34.9,16.8,24.8
E02003366,23.2,34.2,17.7,25
E02003367,20.5,38.6,16.7,24.1
E02003369,22.8,40.4,17.4,19.4
E02003370,23.1,38.6,16,22.3
E02003371,22.5,34.9,17.7,24.9
E02003372,22.5,34.3,19.4,23.8
E02003373,18.4,36.3,19,26.2
E02003374,27.2,35.5,17.8,19.6
E02003375,30.4,34.6,16.3,18.7
E02003377,26,37.1,16.4,20.5
E02003378,34.7,34.6,13.9,16.8
E02003379,26.5,34.9,17.3,21.3
E02003380,24.5,37,18.3,20.1
E02003381,21.8,36.3,16.3,25.5
E02003382,30.7,33.3,16.6,19.4
E02003383,23.5,35.4,17.4,23.7
E02003385,37.6,34.3,15.1,13
E02003386,32.6,33.1,16.8,17.6
E02003387,22.5,36,16.2,25.3
E02003388,26.6,36.2,16.3,20.9
E02003389,24.7,33.4,17.3,24.7
E02003390,17.3,35.9,17.6,29.1
E02003391,27.1,31.6,17.5,23.8
E02003392,29.8,35.1,17.9,17.3
E02003393,24.4,36,17.1,22.5
E02003394,23.5,29,20.6,26.8
E02003395,26.4,30.2,18.6,24.8
E02003396,31.5,30.5,16.6,21.4
E02003397,26.4,31.4,18,24.3
E02003398,28.2,28.2,16.8,26.8
E02003400,26.8,26.9,16.1,30.2
E02003401,33.2,31.7,17,18.2
E02003402,31.1,31.6,15.2,22.1
E02003403,30,30.7,16.2,23.1
E02003404,27.6,26.2,16.5,29.7
E02003405,26,28.2,18.8,27
E02003406,24.2,29.1,18.3,28.4
E02003421,22,36.5,17,24.5
E02003422,25.4,37.5,15.9,21.2
E02003423,21.7,28.6,20.5,29.1
E02003424,27.4,37.1,17.1,18.4
E02003425,35,30.2,15.7,19.1
E02003426,22.1,34.2,18.6,25.1
E02003427,24.1,29.3,18.7,27.9
E02003428,22.5,33.1,18.7,25.7
E02003429,24.2,35,16,24.7
E02003439,26.8,38.4,14.1,20.7
E02003440,25.7,34.6,16.5,23.3
E02003441,23.3,34.9,17.7,24
E02003442,21.4,34.5,20.2,23.9
E02003443,30.1,27.7,16.8,25.4
E02003444,19.4,29.1,18.7,32.8
E02003445,22.7,33.6,17.9,25.7
E02003446,21,32.9,17.7,28.5
E02003447,20.3,31.4,20,28.4
E02003448,20.9,35.7,17.5,25.9
E02003449,30.3,30.3,17.7,21.7
E02003450,20.9,33.2,19.8,26.1
E02003451,37.2,33.5,14.8,14.5
E02003452,21.6,34.1,18.8,25.5
E02003453,17.2,37.7,17.7,27.4
E02003454,27.1,34.6,16.5,21.8
E02003455,22.6,34.9,19.5,23
E02003456,21.5,35.1,17.9,25.5
E02003457,17.7,38.5,18.9,24.8
E02003458,20.8,37,17.7,24.4
E02003712,29.5,31,17.1,22.4
E02003713,23.6,36.3,16.5,23.6
E02003715,21,37.7,15.4,25.9
E02003716,31.5,35,15.5,18
E02003717,29.3,34.2,15.4,21.2
E02003718,29.2,34.6,15.6,20.5
E02004675,27.3,35.5,16.6,20.6
E02004676,26.4,39.5,15.1,18.9
E02004677,18.4,42.2,15.7,23.7
E02004678,26.2,39.7,15.3,18.8
E02004679,21.2,40.3,18.2,20.3
E02004680,25,36.9,19.2,18.9
E02004681,25.8,30.3,18.8,25
