areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02003352,86.7,9.3,2,1,1
E02003353,84.3,9.3,3,1.9,1.5
E02003354,83.7,10.7,2.6,1.7,1.2
E02003355,83.4,9.9,3.4,2,1.4
E02003357,77,12.5,4.6,3.4,2.5
E02003358,75.4,13,4.4,3.8,3.3
E02003359,83.5,9.9,3.5,2,1
E02003360,82.8,11.7,2.8,1.7,1
E02003361,83.7,10.9,2.5,1.7,1.2
E02003362,82.9,11.3,2.8,2.1,1
E02003363,87,8.3,2.1,1.5,1.2
E02003364,85.7,9.5,2.4,1.4,0.9
E02003365,89.5,7.5,1.5,0.9,0.6
E02003366,78.7,12.2,3.1,2.8,3.3
E02003367,92,5.5,1.1,0.7,0.7
E02003369,88.6,7.6,1.5,1.2,1.1
E02003370,88.2,9.1,1.2,0.9,0.5
E02003371,91.7,6.5,1,0.4,0.5
E02003372,86.5,10,1.9,0.9,0.6
E02003373,90.1,6.4,1.4,1.1,1.1
E02003374,83.3,11.9,2.2,1.4,1.1
E02003375,88.8,7.8,1.3,1.3,0.8
E02003377,89.9,6.6,1.6,1,0.9
E02003378,84.1,7.9,3.2,2.9,1.9
E02003379,81.2,9.1,4.6,3,2.1
E02003380,91.5,5.4,1.6,1.1,0.4
E02003381,90,7.4,1.4,0.8,0.4
E02003382,89.8,6.9,1.5,0.8,0.9
E02003383,90.7,6.2,1.6,0.9,0.6
E02003385,77.8,8.4,4.5,5,4.2
E02003386,85.1,7.8,3.1,2.3,1.6
E02003387,89.4,6.2,2.1,1.1,1.1
E02003388,89.6,6.6,1.5,0.7,1.5
E02003389,81.7,12.2,2.3,2.2,1.6
E02003390,84.1,10.7,1.8,1.8,1.6
E02003391,82.1,10.7,3,2,2.1
E02003392,74.6,12.3,5.3,4.2,3.6
E02003393,87.4,8.7,1.8,1.2,0.9
E02003394,73,16.2,5.3,3.6,1.9
E02003395,50.4,21.1,11.4,9.8,7.3
E02003396,64.1,18.2,7.7,6,4
E02003397,83.4,11,3.1,1.4,1.2
E02003398,51.5,20.3,9.7,9.2,9.3
E02003400,68.9,13.2,5.7,5.3,6.8
E02003401,61.6,19.6,8.4,6.1,4.3
E02003402,51.6,15.4,11.1,11.6,10.3
E02003403,74.6,17,4.2,2.3,1.9
E02003404,67.8,15.5,4.7,4.2,7.7
E02003405,64.6,17.5,7.1,5.5,5.3
E02003406,72.7,16.5,4.8,3.5,2.5
E02003421,78.6,15.2,3,1.7,1.5
E02003422,88.1,8.1,1.5,1.3,0.9
