areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02003352,6.3,32,22.4,39.3
E02003353,8.9,24.4,30.8,36
E02003354,8.3,21.2,30.8,39.8
E02003355,17.9,27.3,43.5,11.4
E02003357,21.2,27,37.4,14.3
E02003358,23.1,29.2,28,19.7
E02003359,16.8,31,38.8,13.4
E02003360,3.2,20.3,45,31.5
E02003361,12.8,21,51.2,15
E02003362,15,18.4,49.3,17.3
E02003363,12.4,25.6,25.1,37
E02003364,6.6,20.5,42.3,30.6
E02003365,6.4,17.9,36.4,39.2
E02003366,10.6,17.7,42.1,29.6
E02003367,4.3,19.4,36.1,40.2
E02003369,5.3,16.7,34.2,43.9
E02003370,5.8,17.5,31.5,45.2
E02003371,4.6,13.8,51.7,29.9
E02003372,5,17,48.3,29.7
E02003373,3.1,15.7,34.7,46.4
E02003374,12.6,20.4,40.1,27
E02003375,14,25,37.1,23.8
E02003377,7.2,24,29.3,39.6
E02003378,15.4,25.7,35.7,23.2
E02003379,11.6,24.2,47,17.1
E02003380,6.8,20.2,53.4,19.6
E02003381,5.6,17.2,33.6,43.6
E02003382,15,28.7,39.3,17
E02003383,5.7,20.3,41.8,32.1
E02003385,22.3,42.7,20.3,14.7
E02003386,17.6,23.3,40,19
E02003387,4.4,18.5,37.4,39.7
E02003388,9.1,19.7,36,35.2
E02003389,5.3,12.2,48.4,34.1
E02003390,1.3,9.5,29.3,59.9
E02003391,9.2,16.3,43.9,30.7
E02003392,11.9,38.7,38.3,11.1
E02003393,5.6,22.3,42.1,30
E02003394,9.2,23,60,7.8
E02003395,15.6,33,39.3,12
E02003396,18.9,28.8,39.4,12.9
E02003397,10,22.3,52.9,14.7
E02003398,20.6,36.7,26.3,16.4
E02003400,19.5,22.4,21.3,36.7
E02003401,18,40,30.5,11.5
E02003402,23.2,31.8,26.1,19
E02003403,14.3,28.4,41.7,15.5
E02003404,13.3,22.9,43,20.7
E02003405,18,35.3,37.2,9.5
E02003406,11.3,23.1,53.6,11.9
E02003421,3.3,20.9,39.3,36.5
E02003422,5,19.2,34.1,41.7
E02003423,7.3,19.9,50.1,22.6
E02003424,9.3,31,18.5,41.2
E02003425,25,35.3,22,17.7
E02003426,6.4,20.2,35.8,37.5
E02003427,9,22.2,50,18.9
E02003428,7.8,13.2,45.9,33.1
E02003429,4.9,14.6,30.2,50.3
E02003439,7.4,17.5,32.6,42.5
E02003440,7.6,21.6,30.2,40.7
E02003441,2.8,15,40.8,41.3
E02003442,5.2,22.4,31.8,40.5
E02003443,13.4,20.4,46,20.2
E02003444,2.6,14.5,44.3,38.6
E02003445,1.5,17.1,57.4,23.9
E02003446,5.8,10.3,35.2,48.7
E02003447,5.2,21.1,30.8,42.9
E02003448,5.2,15.1,33.8,46
E02003449,19.5,22,28.2,30.3
E02003450,6.7,22.5,35,35.7
E02003451,17.9,35.3,28.4,18.4
E02003452,3.5,22.9,33.7,39.9
E02003453,1.8,9.9,27,61.3
E02003454,9.7,19.3,32.5,38.6
E02003455,6.8,23.3,32.8,37.1
E02003456,5.9,27.5,33.7,32.9
E02003457,3,7.4,29.9,59.7
E02003458,3.5,12.5,32.9,51.2
E02003712,11.1,21.1,49.7,18.1
E02003713,3.3,16.7,42.9,37
E02003715,4,13.7,28,54.3
E02003716,12.6,24.2,33.4,29.9
E02003717,8.8,21.9,34.5,34.8
E02003718,8.2,21.7,44.9,25.2
E02004675,5.4,19.5,50,25
E02004676,6.8,16.7,40.4,36.1
E02004677,2.7,13.7,35.1,48.5
E02004678,7,16.6,41,35.3
E02004679,6.1,22.3,34.1,37.5
E02004680,8.3,29.8,28,33.9
E02004681,12,23.4,49.8,14.8
E02004682,10.3,23.6,34,32
E02004683,13.8,31,42.9,12.4
E02004684,9.1,25,45.3,20.6
E02004685,31,30.7,28.2,10.1
E02004686,16.8,32.9,39.1,11.1
E02004687,7.7,20.6,50.2,21.5
E02004688,11.6,30.7,48.8,9
E02004689,5.1,12.2,40.8,41.8
E02004690,10.3,18.1,49.7,21.9
E02004691,5.1,20.9,32.7,41.4
E02004692,3.1,13.4,41.7,41.8
E02004693,14.3,27.4,46,12.3
E02004694,8.3,25.1,37.4,29.3
E02004695,4.9,17.8,27,50.2
E02004696,5.9,24.3,38.5,31.3
E02004751,7.6,17.1,44.1,31.2
E02004752,4.9,12.6,39.8,42.7
E02004753,5.3,15.5,48.4,30.8
E02004754,7.5,21.5,33,37.9
E02004755,12.8,30.4,23.6,33.2
E02004756,7.1,21.4,27.4,44
E02004757,3.9,10.8,29.1,56.1
E02004758,8,17.7,29.5,44.9
E02004759,6.4,17.6,40.3,35.6
E02004760,7,20.6,30.3,42.1
E02004761,5.9,25.2,36.5,32.4
E02004802,8.3,31.1,45.6,15
E02004803,10.6,29,49.6,10.8
E02004804,6,15,61.5,17.5
E02004805,9.6,20.6,37.7,32.1
E02004806,4.9,20.4,41.8,32.9
E02004807,11.8,30.6,42.9,14.6
E02004808,20.1,31,33.2,15.8
E02004809,25,34.7,30.1,10.2
E02004810,11.2,34.3,44.6,9.9
E02004811,23.6,26.2,34.7,15.4
E02004812,8.3,18.7,48.9,24.1
E02004813,14.2,29.4,47.5,9
E02005966,5.9,38.1,33.5,22.5
E02005967,7.7,28.1,45,19.2
E02005968,5.8,20.8,39.4,34
E02005969,11.7,25.1,37.1,26
E02005970,19.1,33,34,13.9
E02005971,6.4,24.7,50.3,18.6
E02005972,4.8,24.4,36.2,34.6
E02005973,11.4,31.5,32.6,24.5
E02005974,11.4,27.6,28,32.9
E02005975,4.2,15,33.7,47
E02005976,3.2,12.8,26.8,57.2
E02005977,2.8,18,41.5,37.8
E02005992,7.3,23.3,34.8,34.6
E02006347,9.3,30.9,36.7,23.1
E02006353,13.2,26.2,46,14.6
E02006357,8.7,25.8,39.4,26.1
E02006419,12.2,19.9,45.8,22.1
E02006420,8,19.5,11.1,61.4
E02006422,5.6,11.6,37.6,45.1
E02006423,14.7,30.3,30.4,24.6
E02006424,4.1,9.4,32.2,54.3
E02006425,9,17,44.1,30
E02006426,4.8,19,40.2,36
E02006427,9,22.6,39.3,29
E02006439,12.4,23.5,41.1,23
E02006440,4.4,17.5,44,34.1
E02006441,17.3,32.7,28.7,21.3
E02006442,6.3,15,20.6,58
E02006444,7.3,23.2,33,36.4
E02006447,6.4,16.7,37.4,39.5
E02006939,43.2,41.3,9.6,5.9
E02006940,39,44.3,9.7,7
