areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02003352,4.7,0.9,2.8,90.7,0.9
E02003353,6,2.2,3,87.5,1.3
E02003354,6.4,1.5,3.2,87.9,1
E02003355,4.9,2.8,3.4,87.9,1
E02003357,11,3.2,3.7,80.8,1.2
E02003358,10.6,4.1,4.2,79,2.1
E02003359,4.1,1.4,2.9,90.5,1
E02003360,6.9,4.1,3.1,84.5,1.4
E02003361,5.7,2.6,3,87.7,1
E02003362,4.7,3,3,88.6,0.7
E02003363,4.2,1.2,3,90.8,0.8
E02003364,7,1.9,2.5,87.5,1.2
E02003365,4.7,1.5,2.1,90.9,0.7
E02003366,14.4,2,1.9,78.5,3.1
E02003367,1.4,0.6,1.6,96,0.3
E02003369,1.7,0.7,2.8,94.5,0.3
E02003370,4.7,2.2,3.3,88.8,1.1
E02003371,4.1,1.4,2.6,91.3,0.6
E02003372,8.2,2.9,4.4,83.6,0.9
E02003373,2.4,0.9,2.1,93.8,0.8
E02003374,8.8,5.2,3.7,81.1,1.2
E02003375,2.8,1.1,2.6,92.8,0.6
E02003377,1.7,1,2.4,94.6,0.4
E02003378,4.5,1,2,91.2,1.3
E02003379,5.9,1.4,2.4,88.9,1.4
E02003380,1.5,0.7,1.5,95.9,0.4
E02003381,2.8,1.1,3.1,92.5,0.4
E02003382,2.7,1.3,1.7,93.6,0.7
E02003383,3.1,0.8,1.9,93.6,0.7
E02003385,9.8,1.6,2.8,84.6,1.3
E02003386,4.1,1.2,2.4,91.4,0.9
E02003387,2.6,0.7,1.8,94.2,0.6
E02003388,2.4,1.1,3.4,92.4,0.8
E02003389,9.1,2.4,3.5,83.4,1.7
E02003390,7.1,1.1,3.1,87.4,1.4
E02003391,7.1,2.3,4,85.2,1.4
E02003392,9.2,5.4,6.3,77.2,2
E02003393,5.5,2.9,4.1,86.7,0.8
E02003394,13.7,9.3,7.2,67.7,2
E02003395,25.5,10.2,5.4,54.4,4.5
E02003396,14.1,8.8,5.7,68.5,2.9
E02003397,9.3,6.4,5.9,77.4,0.9
E02003398,32.6,8.8,5,48.4,5.1
E02003400,18.9,5.2,4.1,68.6,3.2
E02003401,18.8,10.1,5.2,63.2,2.7
E02003402,24.2,6.8,4.5,60.6,3.9
E02003403,14.3,8.2,6.1,70.1,1.3
E02003404,19.3,9.8,5.4,62.6,2.9
E02003405,22.9,9.1,6.4,58.2,3.4
E02003406,18.2,8.6,5.6,65.3,2.3
E02003421,21.1,1.3,2.7,72.8,2.2
E02003422,2.4,0.6,2.4,93.9,0.7
E02003423,20.2,1.4,3.1,73.6,1.7
E02003424,17.8,1.7,3.6,74.3,2.6
E02003425,21.4,2,3.9,70,2.7
E02003426,11.1,1.1,3.1,82.9,1.8
E02003427,21.5,2.6,3.6,69.6,2.8
E02003428,12.3,1.3,3.3,81.1,2
E02003429,12.9,1.7,2.8,80.9,1.8
E02003439,2.7,0.6,2.1,93.6,1
E02003440,4.4,1.2,2.5,91,0.9
E02003441,10.1,1.4,2.6,84.2,1.6
E02003442,9,1.8,3.3,84.7,1.2
E02003443,14.8,3.6,3.5,76.3,1.8
E02003444,35.7,3.3,3.1,55.2,2.7
E02003445,16.6,2.2,2.7,77,1.5
E02003446,23.9,3.3,3.1,66.5,3.1
E02003447,19.7,3.4,3.8,70.8,2.3
E02003448,10,1.6,2.9,84.1,1.5
E02003449,22.2,3.3,3,68.7,2.8
E02003450,20.5,4.5,4.5,67.9,2.6
E02003451,6.7,2.6,3.4,85.8,1.5
E02003452,8.2,2.2,3.1,85.2,1.3
E02003453,10.3,1.4,2.9,84.5,1
E02003454,8.3,1.7,3.1,85.5,1.4
E02003455,9.7,3.2,3.5,82.5,1.1
E02003456,5.7,3,3.3,86.9,1.2
E02003457,5.3,1.3,2.7,90,0.6
E02003458,4.6,0.8,2.3,91.4,0.9
E02003712,14.3,4.9,3.8,75.1,1.8
E02003713,3.1,1.1,2.9,92.4,0.5
E02003715,3.3,0.6,2.3,93.3,0.6
E02003716,4.1,0.8,2.5,91.8,0.8
E02003717,3,0.9,2.9,92.5,0.6
E02003718,4.1,1.1,2.9,90.6,1.2
E02004675,1.5,1,2,95.3,0.3
E02004676,1.7,0.3,1.6,96.1,0.3
E02004677,1.6,0.4,1.7,95.7,0.6
E02004678,1.8,0.6,1.1,96.2,0.3
E02004679,3.6,1.7,2.4,91.7,0.5
E02004680,5.7,1.4,3,88.9,1
E02004681,10.1,4.6,3.5,80.2,1.6
E02004682,5.4,2.8,2.3,88.1,1.4
E02004683,12.3,3.2,3.8,78.6,2
E02004684,9,4.4,3.5,81.5,1.5
E02004685,13.7,2.6,3.1,77.9,2.8
E02004686,16.6,2.6,3.6,74.2,3.1
E02004687,5.9,2.3,3.3,87,1.4
E02004688,7.7,1.8,2.7,86.3,1.5
E02004689,1.4,0.4,1.3,96.5,0.3
E02004690,6.1,1.6,2.7,88.4,1.2
E02004691,2.6,0.7,2.2,94.1,0.4
E02004692,3.8,0.8,1.7,93.4,0.4
E02004693,4.9,2,2.6,89.5,1
E02004694,1,0.2,1.4,97.1,0.3
E02004695,4.8,1.9,2.9,89.7,0.8
E02004696,1.6,1.1,1.7,95.4,0.3
E02004751,2.2,0.6,1.6,94.9,0.7
E02004752,1.9,0.5,1.7,95.4,0.5
E02004753,7.1,1.8,2.4,87.5,1.2
E02004754,1.5,0.3,2.1,95.5,0.5
E02004755,6.2,1,2.8,89,1
E02004756,3.7,0.9,2.9,91.8,0.8
E02004757,2.9,0.5,2.4,93.7,0.5
E02004758,3.9,0.8,2.4,92.3,0.6
E02004759,2.6,0.5,1.9,94.3,0.7
E02004760,3.1,1.1,2.2,92.5,1.1
E02004761,1.7,0.8,1.7,95.1,0.7
E02004802,16.5,2,2.9,75.3,3.3
E02004803,22.8,2.1,2.4,67.3,5.4
E02004804,9.1,2.2,1.9,85.5,1.3
E02004805,10.8,1.3,2.5,83.8,1.5
E02004806,5.9,1.4,2.7,88.6,1.4
E02004807,11.9,2.3,2.7,80.4,2.7
E02004808,9.7,3.1,3.6,82.2,1.5
E02004809,29.6,6.1,2.9,55.8,5.6
E02004810,14.2,2.4,2.5,78.2,2.6
E02004811,17.4,2.1,2.2,74.4,3.9
E02004812,14.9,1.3,1.9,79.6,2.3
E02004813,11,2.2,1.8,83.7,1.3
E02005966,5.2,1.7,2.7,89.4,1
E02005967,6.7,2.5,2.6,86.8,1.4
E02005968,3.1,1.9,2.3,91.5,1.2
E02005969,1.9,0.6,1.7,95.3,0.5
E02005970,3.5,1.5,2.2,91.8,1
E02005971,3.1,0.9,1.5,93.8,0.7
E02005972,3.7,1.5,2.6,91.4,0.8
E02005973,2.7,0.5,2.4,93.5,0.9
E02005974,2.5,0.7,3,92.7,1.1
E02005975,1.6,0.7,1.9,95.3,0.5
E02005976,1.9,0.4,2.1,94.8,0.8
E02005977,1.8,0.3,2.4,95,0.5
E02005992,4.2,1.1,2.5,91.5,0.7
E02006347,3.6,1.1,1.9,92.6,0.8
E02006353,5,1,2.3,91.2,0.5
E02006357,4.7,1.2,2.1,91.1,0.9
E02006419,11.2,1.7,2.9,82.1,2.2
E02006420,10.3,2.1,2.8,82.2,2.6
E02006422,8,1.7,2.6,86.4,1.3
E02006423,16,2.1,3.1,75.9,2.9
E02006424,11.9,1.5,2.9,81.8,1.9
E02006425,15.6,1.7,3,77.1,2.6
E02006426,4.6,1.5,2.4,90.2,1.3
E02006427,5.5,1.9,2.3,89.1,1.2
E02006439,3.3,0.3,1.5,94.4,0.5
E02006440,3.4,1.1,2.1,92.6,0.7
E02006441,4.6,1,2.7,90.9,0.8
E02006442,3.7,0.3,2.4,92.8,0.8
E02006444,3.7,0.5,2.8,92.6,0.5
E02006447,2.5,0.8,2,94.4,0.3
E02006939,27,9.6,4.5,53.3,5.7
E02006940,28.1,8,4.6,54.1,5.1
