areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02003352,87.1,5.9,7.1
E02003353,85.3,8.9,5.8
E02003354,84.7,8.7,6.6
E02003355,76.2,10.5,13.3
E02003357,73,16,11
E02003358,73.8,15.6,10.6
E02003359,79.3,11.1,9.6
E02003360,79.6,9.6,10.8
E02003361,77.9,10.5,11.6
E02003362,77.2,11,11.8
E02003363,87.4,6.3,6.4
E02003364,84.5,6.7,8.9
E02003365,86.7,5,8.4
E02003366,80.6,11.9,7.5
E02003367,83.8,4,12.3
E02003369,87.3,5.9,6.8
E02003370,86.7,5.3,8
E02003371,86.6,3.6,9.8
E02003372,82.7,6.7,10.6
E02003373,87.7,4.3,8
E02003374,81,8.2,10.8
E02003375,81.8,6.1,12.1
E02003377,84.4,4.7,10.9
E02003378,74.2,10.7,15.2
E02003379,69.7,14.4,15.9
E02003380,80.8,5.7,13.5
E02003381,84.9,4.6,10.6
E02003382,75.5,5.5,19
E02003383,83,5.1,11.9
E02003385,70.4,16.9,12.7
E02003386,74.7,9.5,15.8
E02003387,83.2,6.2,10.7
E02003388,85.4,5.3,9.3
E02003389,83.5,9.1,7.4
E02003390,87.6,7.4,5
E02003391,82.1,10.4,7.5
E02003392,71.5,17.2,11.3
E02003393,83.4,6.7,10
E02003394,68.2,17.1,14.7
E02003395,55.2,36.7,8.1
E02003396,63.4,25.6,11
E02003397,74.8,8.9,16.4
E02003398,58.8,34,7.1
E02003400,73.6,21.1,5.3
E02003401,64,25.1,11
E02003402,54.2,38.5,7.3
E02003403,72.7,13.9,13.4
E02003404,68.3,20.6,11.2
E02003405,60.5,22.8,16.6
E02003406,68,15.7,16.3
E02003421,84.3,10.4,5.3
E02003422,87.6,5.9,6.4
E02003423,78.7,11.6,9.7
E02003424,80.2,15.4,4.4
E02003425,69.6,22.7,7.7
E02003426,84.6,9.8,5.6
E02003427,74.4,15.5,10
E02003428,83.7,7.2,9
E02003429,88,7.5,4.5
E02003439,87,5.9,7.1
E02003440,87.3,5.7,6.9
E02003441,85.9,6.8,7.3
E02003442,84.1,8.8,7.1
E02003443,79,8.4,12.7
E02003444,81.1,12.3,6.6
E02003445,82.7,8.3,9
E02003446,83.3,12.3,4.4
E02003447,82.8,9.7,7.5
E02003448,86.5,7.5,6
E02003449,82,12.5,5.5
E02003450,78.1,13.6,8.3
E02003451,77,11.5,11.5
E02003452,85,9,5.9
E02003453,89.9,6,4.1
E02003454,84.1,8.8,7.1
E02003455,83.1,8.3,8.6
E02003456,81.7,9.4,8.9
E02003457,89.8,5.5,4.6
E02003458,87.4,6.7,5.8
E02003712,78.8,7.8,13.4
E02003713,87.1,3.5,9.4
E02003715,91.1,4.3,4.6
E02003716,85.8,6.1,8.2
E02003717,85.7,7.5,6.8
E02003718,84.7,7.9,7.4
E02004675,82.2,3.3,14.5
E02004676,86,3.7,10.3
E02004677,85,4.2,10.7
E02004678,85.8,3.9,10.3
E02004679,84,5.7,10.3
E02004680,85.4,7.8,6.8
E02004681,68.5,14.3,17.2
E02004682,79.1,9.6,11.3
E02004683,69.8,15.5,14.7
E02004684,74.4,12.3,13.3
E02004685,68.8,21,10.2
E02004686,67.1,22.5,10.4
E02004687,71.7,9,19.3
E02004688,69.4,11.1,19.6
E02004689,87.7,3.1,9.2
E02004690,81.6,8.1,10.3
E02004691,87.1,3.5,9.4
E02004692,89.3,2.8,7.9
E02004693,75.3,9.2,15.5
E02004694,84.4,3.3,12.3
E02004695,88.2,5,6.8
E02004696,83.8,4.3,11.9
E02004751,86.1,4,9.9
E02004752,90.2,3.1,6.7
E02004753,81.9,8.4,9.7
E02004754,87.4,4.2,8.4
E02004755,84.4,9.8,5.8
E02004756,87.6,5.3,7.1
E02004757,91,3.4,5.6
E02004758,86.6,5.8,7.6
E02004759,87.9,4,8.1
E02004760,86.7,5.4,7.9
E02004761,87.6,3.8,8.6
E02004802,72.8,12.4,14.9
E02004803,67.5,16.7,15.7
E02004804,83.3,7,9.7
E02004805,82.6,10.7,6.8
E02004806,84.6,6.2,9.2
E02004807,76.4,11.3,12.3
E02004808,78.6,11.6,9.9
E02004809,62.3,26.6,11
E02004810,72.5,14.8,12.7
E02004811,71.2,17.6,11.2
E02004812,80.4,11.3,8.3
E02004813,71.8,10.5,17.6
E02005966,78.1,12.5,9.4
E02005967,73.4,12.1,14.5
E02005968,81.9,8.9,9.2
E02005969,82.1,5.8,12.1
E02005970,69.6,15,15.4
E02005971,75.7,8.5,15.8
E02005972,82.1,6.7,11.2
E02005973,80.4,11.4,8.2
E02005974,83.5,9.9,6.6
E02005975,87.9,5,7.1
E02005976,90,5.3,4.8
E02005977,84.8,4.9,10.3
E02005992,81.4,7.1,11.5
E02006347,84.4,5.9,9.7
E02006353,80,6,14
E02006357,84.9,5.4,9.8
E02006419,76,11.9,12.2
E02006420,86.9,8.7,4.4
E02006422,89.1,6.1,4.8
E02006423,77.3,13.2,9.5
E02006424,88.4,7.4,4.2
E02006425,79.7,11.3,9
E02006426,87.5,6.2,6.3
E02006427,85.1,5.5,9.4
E02006439,85.2,4.8,10
E02006440,84.1,6.7,9.3
E02006441,80.8,8.8,10.4
E02006442,89.9,5.9,4.1
E02006444,85.4,5.3,9.3
E02006447,87.4,5.4,7.3
E02006939,42.7,50.5,6.8
E02006940,48.3,44.9,6.8
