areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E02003352,29.9,70.1
E02003353,22.9,77.1
E02003354,25,75
E02003355,25,75
E02003357,24.3,75.7
E02003358,23.3,76.7
E02003359,23.8,76.2
E02003360,24.5,75.5
E02003361,25.8,74.2
E02003362,25.8,74.2
E02003363,22.9,77.1
E02003364,27.7,72.3
E02003365,27.4,72.6
E02003366,25.7,74.3
E02003367,29.9,70.1
E02003369,28,72
E02003370,29,71
E02003371,28.9,71.1
E02003372,30.2,69.8
E02003373,27.1,72.9
E02003374,28.2,71.8
E02003375,26,74
E02003377,27.4,72.6
E02003378,26.6,73.4
E02003379,24.3,75.7
E02003380,26,74
E02003381,26.8,73.2
E02003382,26.3,73.7
E02003383,26.3,73.7
E02003385,21.6,78.4
E02003386,27.4,72.6
E02003387,28.4,71.6
E02003388,27,73
E02003389,29.4,70.6
E02003390,28.5,71.5
E02003391,26.5,73.5
E02003392,21.5,78.5
E02003393,27.2,72.8
E02003394,28.1,71.9
E02003395,23,77
E02003396,23.5,76.5
E02003397,30.2,69.8
E02003398,27.3,72.7
E02003400,32.1,67.9
E02003401,23.1,76.9
E02003402,23.1,76.9
E02003403,26.8,73.2
E02003404,34.2,65.8
E02003405,26.1,73.9
E02003406,27.7,72.3
E02003421,30.3,69.7
E02003422,29.4,70.6
E02003423,29,71
E02003424,23.7,76.3
E02003425,23.6,76.4
E02003426,26,74
E02003427,26.7,73.3
E02003428,26.4,73.6
E02003429,26.9,73.1
E02003439,29.7,70.3
E02003440,27.5,72.5
E02003441,29.1,70.9
E02003442,26,74
E02003443,28.4,71.6
E02003444,29.1,70.9
E02003445,27.2,72.8
E02003446,30,70
E02003447,23.6,76.4
E02003448,25.8,74.2
E02003449,23.3,76.7
E02003450,23.4,76.6
E02003451,25.1,74.9
E02003452,23.5,76.5
E02003453,26,74
E02003454,25.1,74.9
E02003455,22.4,77.6
E02003456,24,76
E02003457,27.5,72.5
E02003458,28.1,71.9
E02003712,27.3,72.7
E02003713,31.1,68.9
E02003715,30.3,69.7
E02003716,28.2,71.8
E02003717,30.3,69.7
E02003718,30.3,69.7
E02004675,24.7,75.3
E02004676,27,73
E02004677,30.1,69.9
E02004678,26.2,73.8
E02004679,23.8,76.2
E02004680,20.8,79.2
E02004681,21.9,78.1
E02004682,23.9,76.1
E02004683,22,78
E02004684,22.1,77.9
E02004685,20.7,79.3
E02004686,22.7,77.3
E02004687,26.8,73.2
E02004688,27.9,72.1
E02004689,29.1,70.9
E02004690,25.1,74.9
E02004691,30.5,69.5
E02004692,28.4,71.6
E02004693,24.5,75.5
E02004694,28.4,71.6
E02004695,24.8,75.2
E02004696,26.3,73.7
E02004751,28.9,71.1
E02004752,28.6,71.4
E02004753,25.7,74.3
E02004754,29.2,70.8
E02004755,23.5,76.5
E02004756,27.1,72.9
E02004757,30.8,69.2
E02004758,27.9,72.1
E02004759,28.7,71.3
E02004760,27.1,72.9
E02004761,25.5,74.5
E02004802,27.5,72.5
E02004803,26.5,73.5
E02004804,25.3,74.7
E02004805,25.1,74.9
E02004806,25.1,74.9
E02004807,26.1,73.9
E02004808,22.8,77.2
E02004809,20.9,79.1
E02004810,25.5,74.5
E02004811,25.7,74.3
E02004812,25,75
E02004813,28.6,71.4
E02005966,22.1,77.9
E02005967,22.7,77.3
E02005968,26.2,73.8
E02005969,30.8,69.2
E02005970,23.6,76.4
E02005971,25.9,74.1
E02005972,26.1,73.9
E02005973,31.4,68.6
E02005974,29.7,70.3
E02005975,31.2,68.8
E02005976,33.4,66.6
E02005977,31.5,68.5
E02005992,24.8,75.2
E02006347,25.5,74.5
E02006353,28.5,71.5
E02006357,25.7,74.3
E02006419,26.9,73.1
E02006420,26.9,73.1
E02006422,28.5,71.5
E02006423,26,74
E02006424,28.1,71.9
E02006425,25.5,74.5
E02006426,29.6,70.4
E02006427,24.8,75.2
E02006439,28.1,71.9
E02006440,30.9,69.1
E02006441,31.7,68.3
E02006442,31.8,68.2
E02006444,33.4,66.6
E02006447,30.3,69.7
E02006939,16.6,83.4
E02006940,17.1,82.9
