areacd,disability_3a-001,disability_3a-002
E02003352,13.2,86.8
E02003353,10.3,89.7
E02003354,11.1,88.9
E02003355,15.9,84.1
E02003357,14.6,85.4
E02003358,14.6,85.4
E02003359,13.7,86.3
E02003360,13.9,86.1
E02003361,16.5,83.5
E02003362,15.5,84.5
E02003363,13.5,86.5
E02003364,13.1,86.9
E02003365,13.7,86.3
E02003366,11.5,88.5
E02003367,15.6,84.4
E02003369,12.6,87.4
E02003370,13.5,86.5
E02003371,14.4,85.6
E02003372,14.6,85.4
E02003373,12,88
E02003374,14.4,85.6
E02003375,15.2,84.8
E02003377,13.4,86.6
E02003378,17.4,82.6
E02003379,16.5,83.5
E02003380,14.4,85.6
E02003381,14.2,85.8
E02003382,17.7,82.3
E02003383,13.4,86.6
E02003385,14.3,85.7
E02003386,16.5,83.5
E02003387,13.6,86.4
E02003388,14.2,85.8
E02003389,13.1,86.9
E02003390,11.4,88.6
E02003391,13.7,86.3
E02003392,14.8,85.2
E02003393,13.7,86.3
E02003394,16.4,83.6
E02003395,11.3,88.7
E02003396,13.9,86.1
E02003397,16.8,83.2
E02003398,12.3,87.7
E02003400,13.4,86.6
E02003401,15.4,84.6
E02003402,11.2,88.8
E02003403,16.3,83.7
E02003404,16,84
E02003405,15,85
E02003406,17,83
E02003421,12.1,87.9
E02003422,12.5,87.5
E02003423,13.4,86.6
E02003424,10.9,89.1
E02003425,11.9,88.1
E02003426,12.6,87.4
E02003427,12.8,87.2
E02003428,12.9,87.1
E02003429,12.3,87.7
E02003439,13.4,86.6
E02003440,12.7,87.3
E02003441,14.6,85.4
E02003442,10.6,89.4
E02003443,16.7,83.3
E02003444,12.4,87.6
E02003445,13.2,86.8
E02003446,12.1,87.9
E02003447,12.7,87.3
E02003448,11.9,88.1
E02003449,10.2,89.8
E02003450,11.3,88.7
E02003451,16.7,83.3
E02003452,10.8,89.2
E02003453,10,90
E02003454,13.8,86.2
E02003455,10.9,89.1
E02003456,12.3,87.7
E02003457,11.8,88.2
E02003458,12.7,87.3
E02003712,17.9,82.1
E02003713,14.2,85.8
E02003715,10.6,89.4
E02003716,14.6,85.4
E02003717,12.2,87.8
E02003718,12.8,87.2
E02004675,16.8,83.2
E02004676,14.9,85.1
E02004677,12.7,87.3
E02004678,14.6,85.4
E02004679,14.4,85.6
E02004680,10.8,89.2
E02004681,15.7,84.3
E02004682,14.5,85.5
E02004683,17.4,82.6
E02004684,14.9,85.1
E02004685,15.5,84.5
E02004686,15.1,84.9
E02004687,17.8,82.2
E02004688,20.5,79.5
E02004689,15.4,84.6
E02004690,14.3,85.7
E02004691,14.5,85.5
E02004692,15.3,84.7
E02004693,17.5,82.5
E02004694,14.6,85.4
E02004695,9.9,90.1
E02004696,13.5,86.5
E02004751,15.5,84.5
E02004752,12.1,87.9
E02004753,13.1,86.9
E02004754,13.3,86.7
E02004755,11.6,88.4
E02004756,12.1,87.9
E02004757,13.2,86.8
E02004758,14.1,85.9
E02004759,13.5,86.5
E02004760,11.9,88.1
E02004761,12.6,87.4
E02004802,17.4,82.6
E02004803,17.3,82.7
E02004804,13.1,86.9
E02004805,12.6,87.4
E02004806,12.9,87.1
E02004807,15.2,84.8
E02004808,13.3,86.7
E02004809,10.7,89.3
E02004810,14,86
E02004811,15.9,84.1
E02004812,12.8,87.2
E02004813,20.2,79.8
E02005966,11.3,88.7
E02005967,13.8,86.2
E02005968,12.1,87.9
E02005969,15.9,84.1
E02005970,16.5,83.5
E02005971,17.1,82.9
E02005972,12.8,87.2
E02005973,14.1,85.9
E02005974,13.3,86.7
E02005975,13.3,86.7
E02005976,11.6,88.4
E02005977,14.7,85.3
E02005992,14.6,85.4
E02006347,14.6,85.4
E02006353,17,83
E02006357,13.4,86.6
E02006419,17.6,82.4
E02006420,12.6,87.4
E02006422,11.6,88.4
E02006423,15,85
E02006424,11.6,88.4
E02006425,14.3,85.7
E02006426,12.1,87.9
E02006427,14.6,85.4
E02006439,15.2,84.8
E02006440,14.7,85.3
E02006441,17.6,82.4
E02006442,12.7,87.3
E02006444,13.8,86.2
E02006447,13,87
E02006939,10.4,89.6
E02006940,10.9,89.1
