areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02003352,85.8,10.6,3.6
E02003353,90.7,7.2,2.1
E02003354,89.1,8.3,2.6
E02003355,84.3,11.5,4.2
E02003357,85.7,10.4,4
E02003358,86.2,10.3,3.5
E02003359,86.1,10.2,3.7
E02003360,86.5,10.4,3.1
E02003361,83.3,12.5,4.2
E02003362,84.6,11.6,3.8
E02003363,87.9,8.9,3.1
E02003364,87.4,9.8,2.8
E02003365,87.1,9.9,3
E02003366,88,9.2,2.7
E02003367,87.6,9.7,2.6
E02003369,88.4,9.1,2.4
E02003370,86.3,10.9,2.7
E02003371,86,10.4,3.5
E02003372,84.6,12,3.4
E02003373,89,8.9,2
E02003374,85.5,11.2,3.2
E02003375,84.5,11.8,3.6
E02003377,87.4,9.5,3
E02003378,82.9,12.6,4.5
E02003379,83.8,11.7,4.5
E02003380,84.9,11.8,3.4
E02003381,87,9.9,3
E02003382,82.1,13.2,4.8
E02003383,86.8,10.4,2.8
E02003385,86,10.9,3.1
E02003386,83.6,11.9,4.6
E02003387,86.6,10.6,2.8
E02003388,86.2,10.7,3.1
E02003389,86.6,10.6,2.8
E02003390,89.5,8.5,2.1
E02003391,86.9,9.9,3.1
E02003392,85.4,11.1,3.6
E02003393,86.1,10.7,3.2
E02003394,83,11.9,5.1
E02003395,87.4,9.6,2.9
E02003396,85.3,11,3.8
E02003397,81.6,13.4,5
E02003398,86.5,10.2,3.4
E02003400,88.6,8.9,2.6
E02003401,84.7,10.9,4.4
E02003402,88.4,8.8,2.8
E02003403,81.6,13.6,4.8
E02003404,85.8,10.8,3.3
E02003405,82.9,12.1,5
E02003406,81.3,13,5.7
E02003421,87.7,9.4,2.9
E02003422,87.9,8.8,3.3
E02003423,85.6,11.2,3.2
E02003424,88.7,8.5,2.7
E02003425,87.6,9.4,3
E02003426,88.1,8.3,3.5
E02003427,86.6,10,3.4
E02003428,87.1,9.9,3.1
E02003429,88.1,9.4,2.5
E02003439,87,10,3
E02003440,88.1,9.2,2.6
E02003441,85.5,10.7,3.8
E02003442,90.3,7.8,1.8
E02003443,82.6,12.6,4.8
E02003444,86.9,10.2,2.9
E02003445,86.3,10.6,3.1
E02003446,89.5,8.5,1.9
E02003447,87.3,9.9,2.8
E02003448,89.1,8.6,2.4
E02003449,89.5,9,1.5
E02003450,88.9,8.8,2.3
E02003451,83.8,12,4.2
E02003452,91,7.2,1.9
E02003453,91.6,6.7,1.7
E02003454,87.4,9.6,3.1
E02003455,89.2,8.5,2.3
E02003456,89.3,7.8,2.9
E02003457,89.3,8.5,2.2
E02003458,88.8,8.8,2.4
E02003712,81,13.4,5.5
E02003713,86.5,10.5,3
E02003715,90.1,7.9,2.1
E02003716,85.8,10.6,3.5
E02003717,87,10,3
E02003718,87.3,9.7,3
E02004675,82.6,13,4.4
E02004676,84.8,11.9,3.4
E02004677,87.5,9.5,3
E02004678,85.7,11,3.3
E02004679,87,9.8,3.2
E02004680,89.5,8.4,2.1
E02004681,84.2,11.5,4.4
E02004682,85.9,10.8,3.4
E02004683,82.1,12.9,5.1
E02004684,85.3,10.9,3.8
E02004685,84.2,11.6,4.2
E02004686,85.4,11.2,3.5
E02004687,82.9,12.8,4.3
E02004688,79,14.3,6.7
E02004689,85.6,11.1,3.3
E02004690,84.9,11.8,3.3
E02004691,84.8,11.5,3.7
E02004692,83.9,12.5,3.6
E02004693,82.7,12.7,4.6
E02004694,85.8,11,3.2
E02004695,90.6,7.9,1.6
E02004696,87.2,9.9,2.9
E02004751,85.5,10.7,3.7
E02004752,88.4,9.1,2.5
E02004753,86.6,10.4,3
E02004754,87.2,9.6,3.3
E02004755,89,8.9,2.2
E02004756,88.9,8.4,2.7
E02004757,87.1,10.2,2.7
E02004758,86.9,10.2,2.9
E02004759,86.6,10.4,3
E02004760,89.8,7.6,2.6
E02004761,88.9,8.3,2.8
E02004802,81,13.8,5.2
E02004803,80.4,14.2,5.4
E02004804,85.5,11.2,3.3
E02004805,87.3,10.2,2.6
E02004806,87.7,9.4,2.9
E02004807,83.5,12.5,4
E02004808,87,9.8,3.2
E02004809,87.2,10.2,2.5
E02004810,84.7,11.6,3.7
E02004811,81,14.3,4.7
E02004812,85.9,11.4,2.7
E02004813,78,15.7,6.4
E02005966,89.1,9,1.9
E02005967,86.8,10.1,3.1
E02005968,88.5,9.1,2.5
E02005969,84.8,11.2,4
E02005970,82.5,12.7,4.8
E02005971,82.9,12.6,4.5
E02005972,88.7,8.8,2.5
E02005973,85.5,10.9,3.7
E02005974,87.5,9.5,3
E02005975,87.5,9.6,2.9
E02005976,89.1,8.3,2.6
E02005977,86.1,10.8,3.1
E02005992,86.8,10,3.2
E02006347,85.9,10.7,3.4
E02006353,82.3,12.8,4.9
E02006357,86.4,10.3,3.3
E02006419,83.2,12.4,4.4
E02006420,88.4,8.8,2.9
E02006422,89.2,8.8,2
E02006423,84.4,11.6,3.9
E02006424,88,9.5,2.5
E02006425,85.5,10.6,3.9
E02006426,88.1,9.2,2.7
E02006427,85.3,11.5,3.2
E02006439,84.7,11.5,3.7
E02006440,86.4,10.6,3
E02006441,84.7,11.7,3.6
E02006442,89.3,8.5,2.2
E02006444,88.1,8.8,3.1
E02006447,88.1,9.2,2.7
E02006939,88,9.4,2.6
E02006940,88.8,8.4,2.8
