areacd,in_full_time_education-001,in_full_time_education-002
E02003352,17.5,82.5
E02003353,18.3,81.7
E02003354,18.9,81.1
E02003355,20.8,79.2
E02003357,18.8,81.2
E02003358,19.2,80.8
E02003359,15.1,84.9
E02003360,22.3,77.7
E02003361,17.9,82.1
E02003362,19.2,80.8
E02003363,26.6,73.4
E02003364,18.8,81.2
E02003365,19.8,80.2
E02003366,17.3,82.7
E02003367,24.3,75.7
E02003369,20.5,79.5
E02003370,17.3,82.7
E02003371,17.7,82.3
E02003372,18.8,81.2
E02003373,25.7,74.3
E02003374,16.7,83.3
E02003375,17.7,82.3
E02003377,22.7,77.3
E02003378,16.2,83.8
E02003379,17.9,82.1
E02003380,16.1,83.9
E02003381,21.4,78.6
E02003382,18.6,81.4
E02003383,21.2,78.8
E02003385,14,86
E02003386,18.2,81.8
E02003387,20.9,79.1
E02003388,20.1,79.9
E02003389,19.4,80.6
E02003390,22.9,77.1
E02003391,21.6,78.4
E02003392,18.1,81.9
E02003393,18.3,81.7
E02003394,22.5,77.5
E02003395,19,81
E02003396,18.5,81.5
E02003397,21.7,78.3
E02003398,26.4,73.6
E02003400,42.2,57.8
E02003401,18.6,81.4
E02003402,25.7,74.3
E02003403,20.3,79.7
E02003404,46.4,53.6
E02003405,22.6,77.4
E02003406,21.1,78.9
E02003421,20.2,79.8
E02003422,17.7,82.3
E02003423,22.9,77.1
E02003424,15.7,84.3
E02003425,18.4,81.6
E02003426,20.5,79.5
E02003427,21.5,78.5
E02003428,20.5,79.5
E02003429,20.7,79.3
E02003439,18.1,81.9
E02003440,21,79
E02003441,19.1,80.9
E02003442,20.2,79.8
E02003443,21.6,78.4
E02003444,22.8,77.2
E02003445,19.6,80.4
E02003446,35,65
E02003447,22,78
E02003448,21,79
E02003449,20.7,79.3
E02003450,21.2,78.8
E02003451,16.8,83.2
E02003452,22.3,77.7
E02003453,21.6,78.4
E02003454,19.6,80.4
E02003455,19.3,80.7
E02003456,23,77
E02003457,19.8,80.2
E02003458,21.2,78.8
E02003712,18.6,81.4
E02003713,19,81
E02003715,20.6,79.4
E02003716,15,85
E02003717,20.9,79.1
E02003718,20.6,79.4
E02004675,17.5,82.5
E02004676,15.5,84.5
E02004677,19.6,80.4
E02004678,16.3,83.7
E02004679,18.5,81.5
E02004680,18.2,81.8
E02004681,22,78
E02004682,18.9,81.1
E02004683,16.5,83.5
E02004684,18.7,81.3
E02004685,13.7,86.3
E02004686,16.1,83.9
E02004687,22.5,77.5
E02004688,17.4,82.6
E02004689,15.8,84.2
E02004690,17.3,82.7
E02004691,15.9,84.1
E02004692,15.4,84.6
E02004693,18.9,81.1
E02004694,17.6,82.4
E02004695,22.2,77.8
E02004696,17.3,82.7
E02004751,16.1,83.9
E02004752,18.6,81.4
E02004753,16.7,83.3
E02004754,18.1,81.9
E02004755,20,80
E02004756,20.1,79.9
E02004757,18.8,81.2
E02004758,19.1,80.9
E02004759,19.9,80.1
E02004760,22.6,77.4
E02004761,17.9,82.1
E02004802,17.5,82.5
E02004803,20.2,79.8
E02004804,17,83
E02004805,16.9,83.1
E02004806,18.5,81.5
E02004807,17.6,82.4
E02004808,17.8,82.2
E02004809,18.9,81.1
E02004810,17.5,82.5
E02004811,15.3,84.7
E02004812,17.1,82.9
E02004813,19.3,80.7
E02005966,18.9,81.1
E02005967,18.7,81.3
E02005968,17.5,82.5
E02005969,17.7,82.3
E02005970,15.8,84.2
E02005971,17.9,82.1
E02005972,20.1,79.9
E02005973,15.6,84.4
E02005974,17.3,82.7
E02005975,20.5,79.5
E02005976,21.3,78.7
E02005977,18.2,81.8
E02005992,19.4,80.6
E02006347,15.8,84.2
E02006353,18.1,81.9
E02006357,16.2,83.8
E02006419,19.2,80.8
E02006420,17.8,82.2
E02006422,21.5,78.5
E02006423,17.3,82.7
E02006424,20.2,79.8
E02006425,19,81
E02006426,18.3,81.7
E02006427,17.8,82.2
E02006439,17.9,82.1
E02006440,20.4,79.6
E02006441,24.9,75.1
E02006442,23.5,76.5
E02006444,24.5,75.5
E02006447,24.3,75.7
E02006939,15.1,84.9
E02006940,24.8,75.2
