areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02003352,91.5,4.9,1.1,2.5
E02003353,92.9,4.4,1.1,1.7
E02003354,93,4.4,1.1,1.6
E02003355,91.7,4.1,1.5,2.7
E02003357,92.7,3.3,1.6,2.4
E02003358,92.9,3.6,1.5,2.1
E02003359,92.5,3.8,1.5,2.1
E02003360,92.3,3.9,1.6,2.3
E02003361,91.4,4.5,1.5,2.6
E02003362,90.9,5,1.7,2.4
E02003363,93.4,3.9,0.9,1.8
E02003364,93.4,3.9,1,1.7
E02003365,92.7,4.3,1.3,1.7
E02003366,93.3,4,1.2,1.5
E02003367,91.8,4.9,1.1,2.2
E02003369,92.1,5.2,1.1,1.7
E02003370,91.5,5.3,1.2,2
E02003371,90.7,5.6,1.3,2.4
E02003372,91.3,5.1,1.2,2.4
E02003373,92.9,4.2,1.2,1.7
E02003374,91.7,4.8,1.5,2
E02003375,91.7,4.4,1.4,2.4
E02003377,92.7,4.4,1,1.9
E02003378,91.6,4.6,1.4,2.4
E02003379,92.2,3.7,1.6,2.5
E02003380,92.2,3.9,1.4,2.5
E02003381,92.3,4.7,0.9,2.1
E02003382,91.5,4.1,1.7,2.7
E02003383,92.4,4.4,1.2,2
E02003385,94.1,3.1,1.2,1.6
E02003386,92.3,4.3,1.3,2.1
E02003387,92.1,4.7,1.2,1.9
E02003388,91.7,4.8,1.3,2.2
E02003389,91.7,4.9,1.4,2
E02003390,92.7,4.6,1,1.6
E02003391,92.5,4.4,1.2,1.9
E02003392,93,3.6,1.2,2.2
E02003393,91.3,5.4,1.5,1.8
E02003394,92.2,3.3,1.8,2.6
E02003395,94.6,2.4,1.7,1.4
E02003396,93.2,3.3,1.9,1.6
E02003397,91.2,4.3,1.6,2.9
E02003398,94.2,2.5,1.6,1.7
E02003400,95,3,1.1,1
E02003401,93.2,3.3,1.5,1.9
E02003402,95,2.6,1.3,1.1
E02003403,91.7,3.9,1.8,2.5
E02003404,94.4,2.6,1.1,1.9
E02003405,92.6,2.7,2.1,2.6
E02003406,91,3.6,2.3,3.1
E02003421,91.9,4.9,1.4,1.8
E02003422,92,4.9,1.1,1.9
E02003423,92.3,3.8,1.7,2.3
E02003424,92.8,4.4,1.2,1.5
E02003425,93.8,3.3,1.2,1.6
E02003426,92.1,4.5,1.3,2.1
E02003427,92.4,3.7,2,1.9
E02003428,92.3,4.2,1.2,2.4
E02003429,92.8,4.4,1,1.7
E02003439,92,5.1,1,1.9
E02003440,92.5,4.8,1,1.7
E02003441,91,5.2,1.4,2.4
E02003442,92.9,4.7,1.1,1.3
E02003443,91.9,3.7,1.9,2.6
E02003444,91.4,4.9,1.5,2.2
E02003445,92,4.6,1.2,2.2
E02003446,93.5,4,1.1,1.4
E02003447,92.5,4.4,1.3,1.8
E02003448,93,4.1,1,1.9
E02003449,93.4,4,1.2,1.4
E02003450,93.6,3.5,1.3,1.5
E02003451,93.4,3.3,1.1,2.1
E02003452,93.4,3.7,1.3,1.6
E02003453,92.8,5,0.9,1.3
E02003454,92.6,4.4,1.1,1.8
E02003455,93.6,3.7,1.1,1.6
E02003456,93.5,3.6,1.1,1.8
E02003457,92.2,4.9,1.1,1.9
E02003458,92.4,4.9,1,1.7
E02003712,91.3,4.3,1.8,2.5
E02003713,91.1,5.1,1.4,2.4
E02003715,91.9,5.1,1.1,1.9
E02003716,91.4,5,1.5,2.1
E02003717,91.9,5,1.4,1.7
E02003718,93.2,3.9,1.1,1.8
E02004675,90.9,5.2,1.5,2.4
E02004676,91.3,5.1,1.3,2.2
E02004677,92.6,4.6,1,1.8
E02004678,91.4,4.9,1.4,2.2
E02004679,92.5,4.6,1.3,1.7
E02004680,93.1,4.3,1.1,1.5
E02004681,93.3,2.8,1.6,2.3
E02004682,92.2,4.4,1.4,2
E02004683,92.6,4,1.5,1.9
E02004684,92.7,3.5,1.5,2.2
E02004685,93.3,3.6,1.1,2
E02004686,93.9,3,1.3,1.7
E02004687,91,3.7,1.9,3.3
E02004688,91.1,3.6,2.1,3.2
E02004689,91.2,5.3,1.4,2.1
E02004690,92.5,4.1,1.1,2.2
E02004691,91.3,5,1.3,2.4
E02004692,90.7,5.2,1.3,2.8
E02004693,91.8,4,1.7,2.5
E02004694,91.9,5.1,1.1,1.9
E02004695,93.6,4.2,1,1.2
E02004696,92.5,4.5,1.2,1.8
E02004751,92.2,4.5,1.2,2.1
E02004752,92.7,4.5,1.1,1.7
E02004753,92.4,4.2,1.5,1.9
E02004754,91.9,4.7,1,2.3
E02004755,94,3.8,0.9,1.4
E02004756,92.7,4.3,1.1,1.9
E02004757,92.2,5,1,1.7
E02004758,92.5,4.3,1.1,2.1
E02004759,92,4.5,1.5,2
E02004760,93.2,4.1,1,1.7
E02004761,92.5,4.5,1.1,2
E02004802,92.2,3.5,1.7,2.7
E02004803,91.9,3.2,2.1,2.8
E02004804,92.5,4,1.5,2.1
E02004805,92.8,4.4,1.1,1.7
E02004806,92.9,4.5,1.1,1.6
E02004807,92.1,3.7,1.6,2.6
E02004808,93.7,3.6,1,1.6
E02004809,94.8,2,1.5,1.7
E02004810,92.5,3.5,1.6,2.4
E02004811,92.6,4,1.4,1.9
E02004812,92.6,4.2,1.5,1.8
E02004813,91.1,4.1,2.2,2.6
E02005966,93.5,4,1.1,1.4
E02005967,93,3.5,1.3,2.2
E02005968,93.4,4.1,1,1.5
E02005969,91.7,5,1.2,2.1
E02005970,91.5,4.6,1.5,2.4
E02005971,91.9,4.1,1.8,2.1
E02005972,93,4.2,1.1,1.7
E02005973,92.7,4.3,1,2.1
E02005974,93,4.4,1,1.6
E02005975,91.9,5.1,0.9,2.1
E02005976,92,5.5,0.9,1.6
E02005977,91.7,4.6,1.2,2.4
E02005992,91.9,4.7,1.5,1.9
E02006347,91.4,4.7,1.5,2.5
E02006353,89.9,4.9,2.2,3
E02006357,91.5,4.8,1.4,2.3
E02006419,91.5,4.1,1.8,2.7
E02006420,92.5,4.4,1.3,1.8
E02006422,92.3,4.5,1.1,2.1
E02006423,92.2,4.1,1.7,2
E02006424,91.9,4.7,1.5,1.9
E02006425,92.8,3.6,1.3,2.2
E02006426,93.2,4.2,1.2,1.4
E02006427,92.1,4.5,1.3,2.2
E02006439,91.4,5.4,1.4,1.8
E02006440,92.4,4.3,1.2,2.1
E02006441,92.5,4.4,1.2,1.9
E02006442,92.4,4.6,1.2,1.8
E02006444,91.8,4.8,1.3,2.1
E02006447,91.9,5.1,1,2
E02006939,96.4,1.6,1.1,0.9
E02006940,96.3,2,1.1,0.6
