areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02003352,20.7,16.4,51.2,11.7
E02003353,19.7,19.1,49.5,11.6
E02003354,21.9,19.1,47.2,11.8
E02003355,33.2,18.3,30.7,17.7
E02003357,30.1,19.5,34.2,16.2
E02003358,30.6,18.2,37.1,14
E02003359,25.9,20.9,36.4,16.8
E02003360,29.7,18.9,36.5,14.9
E02003361,30.3,18.8,33.9,16.9
E02003362,32.5,18.2,33,16.3
E02003363,27.5,16.5,44.6,11.3
E02003364,31.3,18.6,36.7,13.4
E02003365,28.4,17.2,40.5,13.9
E02003366,32.3,15.5,38.8,13.4
E02003367,14.1,27.6,46.2,12.1
E02003369,16.1,17.7,56,10.3
E02003370,26.4,15.8,45.3,12.5
E02003371,31.8,14.9,38.4,14.9
E02003372,33.4,14.8,36.6,15.2
E02003373,23.1,19.1,46.6,11.2
E02003374,32.9,14,37.1,16.1
E02003375,25.8,19.1,40.8,14.3
E02003377,25.3,18.2,44.1,12.4
E02003378,31.2,14.3,40.4,14.1
E02003379,37.8,14,33.7,14.6
E02003380,34.8,17.9,31.8,15.5
E02003381,25.7,18.5,44.7,11.1
E02003382,38,15.1,31,15.9
E02003383,33.1,15.3,39.6,12
E02003385,30.9,14.8,43.7,10.5
E02003386,33.7,14.6,39.9,11.8
E02003387,27.2,15.6,46.7,10.4
E02003388,18.8,23.5,46.6,11.1
E02003389,30,10.6,46.1,13.3
E02003390,21.2,9.1,61.7,8
E02003391,26.8,9.1,55.3,8.8
E02003392,28.4,11,50.2,10.4
E02003393,32.7,11.9,41.2,14.2
E02003394,38.8,14.5,29.8,16.9
E02003395,38.1,15.3,33.6,13
E02003396,38,13.9,34.1,14
E02003397,38.7,12.7,31.7,16.8
E02003398,40.3,12.5,35.8,11.4
E02003400,37,12.6,41.6,8.8
E02003401,34.3,13,40.6,12.1
E02003402,40.8,12.1,37.9,9.2
E02003403,38.6,14.3,32.7,14.4
E02003404,42.2,16.5,28.1,13.1
E02003405,41.1,13.3,31.7,13.9
E02003406,42.9,14.7,25.2,17.2
E02003421,23.3,15.9,48.8,12
E02003422,18.4,15.2,55.1,11.3
E02003423,33.4,16.7,35.6,14.3
E02003424,18.6,14,58,9.3
E02003425,26.7,14.7,48.2,10.4
E02003426,20,15.6,54.8,9.6
E02003427,31.4,15.2,39.6,13.8
E02003428,25.9,18.1,43,13
E02003429,21.7,16,50.6,11.8
E02003439,17,15.3,57.2,10.5
E02003440,21.3,13.7,56.1,8.8
E02003441,26.6,13.5,47,12.8
E02003442,25.6,13.9,50.7,9.8
E02003443,33.8,11.9,39.2,15.2
E02003444,29.9,11.6,47.3,11.3
E02003445,30.3,12.8,43.6,13.2
E02003446,26.8,12,52.4,8.8
E02003447,26.1,13.6,49.9,10.4
E02003448,23.9,12.2,53.5,10.4
E02003449,27.4,13.1,47.8,11.7
E02003450,27.3,14,47.6,11.1
E02003451,25.8,15,47.6,11.6
E02003452,20.1,15.5,55.2,9.2
E02003453,22.1,11.1,58.2,8.5
E02003454,23.6,11.2,55,10.2
E02003455,22.2,16.1,50.3,11.4
E02003456,24.7,17.3,45.4,12.7
E02003457,19.7,13.4,58.7,8.2
E02003458,22.2,15.3,52.3,10.2
E02003712,30.1,19.1,34.7,16.2
E02003713,23.6,18.5,42.8,15.1
E02003715,18.3,16.8,54.7,10.2
E02003716,23.4,15.8,48.1,12.6
E02003717,21.7,15.5,50.5,12.2
E02003718,24.9,15.2,46.8,13.1
E02004675,32.6,21.2,32.7,13.5
E02004676,29.7,19.6,38.4,12.3
E02004677,19.1,21.4,48.2,11.4
E02004678,23.3,21.5,42.3,12.9
E02004679,23.1,17.2,47.9,11.8
E02004680,24.2,16.2,49.9,9.6
E02004681,40.2,17.7,29.4,12.7
E02004682,30.2,15.6,43.1,11.1
E02004683,38,16.7,33.5,11.8
E02004684,37.6,16.3,34.2,11.9
E02004685,32.7,16.6,39.3,11.4
E02004686,35.6,15.6,38.1,10.7
E02004687,36.8,18,29.3,15.9
E02004688,39.3,18.7,24.5,17.6
E02004689,25.8,17,44.7,12.5
E02004690,32.8,17.6,34.9,14.7
E02004691,21.3,17,48.7,12.9
E02004692,27.6,16.7,43.7,12
E02004693,34.6,18.3,32.4,14.6
E02004694,13.5,30.7,42.8,13
E02004695,25.6,17.1,47,10.3
E02004696,14.7,27.2,46.6,11.4
E02004751,28.3,17.5,38.9,15.3
E02004752,25.7,18.5,41.3,14.4
E02004753,30.2,20.6,32.9,16.3
E02004754,17.4,22.1,48.8,11.7
E02004755,25.9,14.1,49.8,10.2
E02004756,18.5,20.9,49.1,11.5
E02004757,25,13.4,52.8,8.9
E02004758,23.4,15.5,50.1,11
E02004759,27.5,15.1,45.3,12
E02004760,24.1,18,47,10.9
E02004761,31.4,21.8,37,9.8
E02004802,41.7,20.4,21.5,16.4
E02004803,48.8,18.9,17.3,15.1
E02004804,35.2,19.4,29.2,16.2
E02004805,28.9,17.3,42.6,11.1
E02004806,29.6,17.4,39,14.1
E02004807,35.8,17.8,30.4,15.9
E02004808,34.9,17.1,34.8,13.2
E02004809,45.7,22.3,21.2,10.8
E02004810,37.8,21.8,24,16.4
E02004811,35.4,20.5,28.3,15.8
E02004812,31.9,21.8,30.9,15.3
E02004813,37.9,22.6,19.7,19.8
E02005966,29.9,19.3,40.7,10.1
E02005967,30.6,21.2,37.3,10.9
E02005968,20.4,24.9,42.3,12.3
E02005969,23.7,23,41.2,12.1
E02005970,37,17.1,32.6,13.3
E02005971,34.6,18.7,31.6,15.2
E02005972,19.5,22.6,46.3,11.6
E02005973,22.6,17.9,46.9,12.5
E02005974,19.8,15,54.7,10.5
E02005975,16.1,19.9,52.3,11.7
E02005976,16.4,15.4,58.1,10.2
E02005977,23.2,15.2,48.3,13.2
E02005992,22.2,21.4,45.8,10.6
E02006347,24.5,20.9,39.2,15.4
E02006353,28.5,21.4,32.3,17.8
E02006357,25.3,22.5,36.5,15.7
E02006419,33,21.6,30.8,14.6
E02006420,21.8,18.1,51,9.1
E02006422,26.3,19.8,44.3,9.6
E02006423,33.4,19.2,33.6,13.9
E02006424,26.2,18.3,42.7,12.7
E02006425,38.9,16.7,31.6,12.8
E02006426,28,19,40.3,12.8
E02006427,29.6,19.2,37,14.2
E02006439,23.3,22.8,38.9,15.1
E02006440,20.7,21.5,43.2,14.6
