areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00037597,85.8,0.4,13.8
E00037598,74.8,0.8,24.4
E00037643,94,0.2,5.7
E00055464,79.9,1,19.2
E00055465,90.2,3.9,6
E00055466,77.4,8.9,13.6
E00055467,77.7,4.1,18.2
E00055468,86.3,2.3,11.3
E00055470,83.5,4.3,12.2
E00055471,76.3,7.8,16
E00055473,76.5,1.9,21.5
E00055474,68.2,3.5,28.3
E00055476,61.3,5.1,33.6
E00055477,85.8,2.3,11.9
E00055479,76.9,5.6,17.5
E00055480,90,3.9,6
E00055482,87.7,1.1,11.1
E00055483,67.5,7.2,25.3
E00055484,74.5,7.4,18.1
E00055485,81.3,7.6,11.1
E00055487,73.5,4.2,22.3
E00055488,85.3,2.7,12
E00055489,71.8,8,20.2
E00055490,82,2.7,15.3
E00055491,72.7,5.8,21.5
E00055492,86.4,1.9,11.7
E00055493,92.8,1.1,6.1
E00055494,70.3,5.3,24.4
E00055495,68.1,4.5,27.4
E00055496,88,1.8,10.2
E00055497,88.1,2,9.8
E00055498,70.9,5.5,23.6
E00055499,88.4,4,7.6
E00055500,79.9,2.3,17.7
E00055501,79.2,2.2,18.6
E00055502,93.9,0.3,5.8
E00055503,92,3.1,4.9
E00055505,85.1,2,12.9
E00055506,80.2,4.6,15.2
E00055507,80.7,3.2,16.1
E00055984,89.1,0.3,10.6
E00055985,81.2,0.7,18.2
E00055986,77.2,0,22.8
E00055987,79.3,1.1,19.6
E00055988,88.5,0.2,11.3
E00055989,76.1,1.1,22.8
E00055990,76.7,2.3,21
E00055991,93.6,0.3,6.1
E00055992,84.5,2.1,13.4
E00055993,88.5,0.6,10.9
E00055994,89,0.4,10.6
E00055995,91.4,0.8,7.8
E00055996,85.9,0.9,13.1
E00055997,82.6,1.9,15.5
E00055998,81.8,0.7,17.5
E00055999,91.1,1.8,7.1
E00056000,82.6,0.6,16.9
E00056001,89.2,0,10.8
E00056002,94.3,0.8,4.9
E00056003,89.4,1.9,8.7
E00056004,92.4,0,7.6
E00056005,89.4,1,9.6
E00056006,85.1,1.8,13.1
E00056008,86,0.4,13.6
E00056009,87.5,3.1,9.5
E00056010,84.5,2,13.5
E00056011,91,2.3,6.7
E00056012,81.6,1.6,16.8
E00056013,88.3,0.5,11.1
E00056014,76.9,0,23.1
E00056015,86.9,1.3,11.8
E00056016,89.2,0.6,10.3
E00056017,76.2,0.5,23.3
E00056018,86.2,1.2,12.6
E00056019,81.9,1.6,16.5
E00056020,92,1,6.9
E00056021,87.4,0.7,11.9
E00056022,89.5,1.3,9.2
E00056023,85.2,0.4,14.4
E00056024,86.1,2,11.9
E00056025,91.1,0.8,8.1
