areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00039240,98.5,1.5,0
E00039241,98.4,1.6,0
E00039242,100,0,0
E00039243,88.1,11.9,0
E00039244,97.6,2.4,0
E00039245,98.6,1.4,0
E00039246,92.6,7.4,0
E00040632,88.8,11.3,0
E00040633,100,0,0
E00040634,99.1,0.9,0
E00040637,88.2,11.8,0
E00040638,72.3,27.7,0
E00040639,64.7,35.3,0
E00040640,100,0,0
E00040641,96.1,3.9,0
E00040669,97.6,2.4,0
E00040673,100,0,0
E00040676,96.6,3.4,0
E00040677,68.3,31.7,0
E00040678,99,1,0
E00040679,80.2,19.8,0
E00040681,94.4,5.6,0
E00040683,91,9,0
E00040684,69.2,30,0.8
E00040685,97.9,2.1,0
E00040686,97.1,2.9,0
E00040687,82.2,17.8,0
E00040688,93.8,6.2,0
E00040689,95.2,4,0.8
E00040690,99,1,0
E00040691,100,0,0
E00040693,100,0,0
E00040695,97.5,2.5,0
E00098508,99.3,0.7,0
E00098509,100,0,0
E00098510,94.1,5.9,0
E00098511,100,0,0
E00098512,100,0,0
E00098513,100,0,0
E00098514,76.4,23.6,0
E00098515,100,0,0
E00098516,97.9,2.1,0
E00098517,100,0,0
E00098532,100,0,0
E00098533,75.4,24.6,0
E00098534,91,9,0
E00098535,94.3,5.7,0
E00098536,96.8,3.2,0
E00098537,99.5,0.5,0
E00098538,99.4,0.6,0
E00098539,98.4,1.6,0
E00098540,100,0,0
E00098541,100,0,0
E00098542,100,0,0
E00098543,100,0,0
E00098544,92,8,0
E00098545,99.5,0.5,0
E00098546,98.2,0.9,0.9
E00098547,29.9,70.1,0
E00098548,100,0,0
E00098549,52.3,47.7,0
E00098550,84.8,15.2,0
E00098551,100,0,0
E00098554,100,0,0
E00098555,99.2,0.8,0
E00098556,96.7,2.5,0.8
E00098557,68.4,31.6,0
E00098565,91,9,0
E00098566,98.5,1.5,0
E00098567,92.1,7.9,0
E00098568,99.2,0.8,0
E00098569,92.9,7.1,0
E00098571,97.6,2.4,0
E00098572,100,0,0
E00098573,97.7,2.3,0
E00098574,100,0,0
E00098575,100,0,0
E00098576,88.5,10.8,0.8
E00098577,96.2,3.8,0
E00098578,80.1,19.9,0
E00098579,96,4,0
E00098580,97.3,2.7,0
E00098581,71.2,28.8,0
E00098582,92.2,7.8,0
E00098583,96.5,3.5,0
E00098584,83.3,16.7,0
E00098585,99.3,0.7,0
E00098586,98,2,0
E00098587,99.5,0.5,0
E00098588,99.3,0.7,0
E00098590,73.5,26.5,0
E00098591,99.3,0.7,0
E00098592,100,0,0
E00098593,87.9,12.1,0
E00098594,100,0,0
E00098595,100,0,0
E00098610,96.1,3.9,0
E00098751,100,0,0
E00098752,100,0,0
E00098753,84.7,15.3,0
E00098754,99.2,0.8,0
E00098755,97,3,0
E00098757,98.8,1.2,0
E00098760,16,84,0
E00098762,77.7,22.3,0
E00098766,92.6,7.4,0
E00098767,94.9,5.1,0
E00098768,82.3,17.7,0
E00098769,54.3,45.7,0
E00098770,99,1,0
E00098771,83.5,16.5,0
E00098772,94.8,5.2,0
E00098773,90.9,8.4,0.7
