areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
W00006029,5.3,67.4,27.4
W00006030,15.3,60,24.7
W00006031,12.4,60.8,26.8
W00006032,11,71.2,17.8
W00006033,7,76,17
W00006034,4.3,71.3,24.3
W00006035,12.4,64.8,22.9
W00006036,11,68.1,20.9
W00006037,17.6,58.3,24.1
W00006038,5.7,60.2,34.1
W00006039,10.8,67.7,21.5
W00006046,10.5,64,25.6
W00006047,9.3,54.6,36.1
W00006048,3.9,76.5,19.6
W00006049,7.9,73,19.1
W00006142,14.6,54.9,30.5
W00006143,14.3,65.9,19.8
W00006144,10.8,61.3,27.9
W00006145,12.1,64.7,23.3
W00006148,11,67,22
W00006149,11,53.2,35.8
W00006220,6.3,51.2,42.5
W00006221,7.3,58.2,34.5
W00006222,4,61.6,34.3
W00006223,5.8,65.1,29.1
W00006224,4.5,61.8,33.6
W00006225,10.9,65.5,23.6
W00006226,13.1,56.2,30.7
W00006227,14.4,52.9,32.7
W00006229,4.7,54.7,40.6
W00006721,5,76.3,18.8
W00006725,22.2,56.5,21.3
W00006726,8.3,74.4,17.4
W00006756,5.8,69.9,24.3
W00006757,9.8,69.6,20.5
W00006758,18.3,47.5,34.2
W00006759,11.5,60.4,28.1
W00006760,12.2,68.7,19
W00006761,9.9,61.5,28.6
W00006762,7.5,70.1,22.4
W00006763,6.2,68,25.8
W00006765,6.2,65.8,28.1
W00006766,7.4,49.2,43.4
W00006832,9.4,69.8,20.8
W00006833,8.6,71.4,20
W00006838,5.3,56.5,38.2
W00006911,7.6,73.3,19
W00006912,5.5,69.7,24.8
W00006913,4.5,71.8,23.6
W00006914,10.6,74.8,14.6
W00006915,10,76.9,13.1
W00006916,16.8,43.6,39.6
W00006917,11.9,61.5,26.7
W00006918,9,62.2,28.8
W00006919,12,67.6,20.4
W00006920,9.8,67.4,22.8
W00006921,8.9,68.5,22.6
W00006922,14.1,63.6,22.2
W00006923,12.4,56.6,31
W00006924,6.9,59.2,33.8
W00006925,7.6,65.5,26.9
W00006926,10.7,69.5,19.8
W00006927,4.7,71.7,23.6
W00006928,9.9,72.5,17.6
W00006929,7.6,71.8,20.6
W00006930,6.8,52.1,41
W00006943,4.6,58,37.4
W00006944,8.7,64.3,27
W00006945,8.4,58.9,32.7
W00006946,8.3,56.4,35.3
W00006947,8.4,66.3,25.3
W00006948,10.6,57.7,31.7
W00006949,6.2,66.9,26.9
W00006950,3.3,57.4,39.3
W00006951,17.7,52.4,29.8
W00006952,6.6,50.4,43
W00006953,11.5,56.7,31.7
W00006954,7,53.8,39.2
W00006992,11.6,56.3,32.1
W00006993,7.4,70.3,22.3
W00006994,9,65.5,25.5
W00006995,8.5,71.8,19.7
W00006996,12.6,55.2,32.2
W00006997,8.6,55.5,35.9
W00006998,3.6,66.2,30.2
W00006999,5.7,57.1,37.1
W00007000,4.9,65.3,29.9
W00007001,9,59,32
W00007002,12.4,57.1,30.5
W00007003,12.4,57,30.6
W00007004,13.8,62.1,24.1
W00007005,5.6,61.1,33.3
W00007006,9.3,72,18.7
W00007007,10.9,71.4,17.6
W00007008,8,53.1,38.9
W00007009,11.2,65.4,23.4
W00007010,5,64.2,30.8
W00007011,12.5,62.5,25
W00007012,10.8,64,25.2
W00007013,7.4,55.6,37
W00007014,5,53.2,41.7
