areacd,disability_3a-001,disability_3a-002
W00007343,24.4,75.6
W00007344,30.4,69.6
W00007345,21.8,78.2
W00007346,19.6,80.4
W00007347,21.2,78.8
W00007348,27.9,72.1
W00007349,21.7,78.3
W00007350,38.1,61.9
W00007351,22.2,77.8
W00007352,24.4,75.6
W00007353,39.7,60.3
W00007354,26,74
W00007400,20.4,79.6
W00007401,23.6,76.4
W00007402,20.7,79.3
W00007403,31.1,68.9
W00007404,23.2,76.8
W00007405,19.9,80.1
W00007406,21.3,78.7
W00007407,21.5,78.5
W00007408,25,75
W00007409,29.6,70.4
W00007410,30.1,69.9
W00007411,35.2,64.8
W00007412,33.9,66.1
W00007413,15.5,84.5
W00007414,35,65
W00007415,32.7,67.3
W00007416,24.4,75.6
W00007417,22.3,77.7
W00007418,22.1,77.9
W00007419,26.3,73.7
W00007420,17.2,82.8
W00007421,30,70
W00007422,36.8,63.2
W00007423,18.2,81.8
W00007476,20.4,79.6
W00007477,24.1,75.9
W00007482,26.7,73.3
W00007483,23.7,76.3
W00007484,22.8,77.2
W00007485,23.5,76.5
W00007488,7.6,92.4
W00007489,21.9,78.1
W00007490,24.5,75.5
W00007491,19.9,80.1
W00007492,36.1,63.9
W00007493,23.1,76.9
W00007494,21.1,78.9
W00007495,19.7,80.3
W00007496,18.4,81.6
W00007498,20.9,79.1
W00007499,22.9,77.1
W00007500,25.8,74.2
W00007501,23.6,76.4
W00009919,13.8,86.2
W00009923,14.5,85.5
W00009926,23.8,76.2
W00009927,13.4,86.6
W00009928,18,82
W00009933,25.9,74.1
W00010270,28,72
W00010276,9.4,90.6
W00010277,21.9,78.1
W00010278,23.4,76.6
W00010279,28.8,71.3
W00010280,11.5,88.5
W00010283,17.5,82.5
W00010285,11.3,88.7
W00010296,9.1,90.9
