areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00045326,84,9.1,6.9
E00045327,85,7,8.1
E00045328,85.6,8.1,6.3
E00045329,79,4.9,16
E00045330,72.6,7.4,20
E00045331,70.6,6.9,22.5
E00045332,74.7,13.3,11.9
E00045333,75.3,5.1,19.7
E00045334,71.5,11.6,16.9
E00045335,76.6,1.1,22.3
E00045336,78,8.3,13.7
E00045337,68,15.7,16.3
E00045338,74.7,8,17.3
E00045339,61.5,6.1,32.5
E00045340,70.5,7.5,22
E00045341,79.7,2.1,18.3
E00045342,84.4,5,10.6
E00045343,80.2,3.4,16.4
E00045344,51.5,17.9,30.6
E00045345,67.1,5.5,27.4
E00045346,80.1,5.8,14.2
E00045347,76.1,8.8,15.2
E00045348,69.9,10.6,19.4
E00045349,82.7,5.7,11.7
E00045350,73.6,8.9,17.5
E00045351,67.1,10.1,22.8
E00045352,76.2,10.7,13
E00045353,76.3,4,19.8
E00045354,80.3,4.4,15.2
E00045355,76.2,5.1,18.6
E00045356,72.8,1.8,25.4
E00045357,72.7,3.5,23.8
E00045358,73.2,9.6,17.1
E00045359,70,6.7,23.2
E00045360,80.9,2.5,16.6
E00045361,81.3,3.2,15.5
E00045362,72.2,3.3,24.5
E00045363,71.3,10,18.6
E00045364,77.4,3,19.5
E00045365,89,0.3,10.7
E00045366,78.9,5,16.1
E00045367,69.4,4.9,25.7
E00045368,84.7,0.8,14.5
E00045369,86.2,0.6,13.2
E00045370,80.6,2.8,16.6
E00045371,78.8,4.4,16.8
E00045372,84.6,4.8,10.6
E00045373,87.9,1.9,10.2
E00045381,64.9,14.6,20.5
E00045382,87.6,5.9,6.6
E00045383,72.2,8,19.8
E00045384,73.5,11.4,15.1
E00045385,58.7,12.9,28.4
E00045386,84.6,7.5,7.8
E00045387,90.8,4.1,5.1
E00045388,78.8,7.9,13.3
E00045389,72.2,2.2,25.6
E00045390,93.9,3.4,2.7
E00045391,85.6,4.5,9.9
E00045392,57.2,15.1,27.7
E00045393,70.4,8.8,20.8
E00045394,68.8,11,20.2
E00045395,75.6,7.7,16.7
E00045396,75.9,13.2,11
E00045397,79.2,8.6,12.1
E00045398,63.9,10.9,25.3
E00045399,76.9,6.3,16.9
E00045400,78,7.5,14.5
E00045401,71,6.9,22.1
E00045402,71.7,4.3,24
E00045403,76.9,8.5,14.7
E00045404,62.6,7.8,29.6
E00045405,74.4,8,17.6
E00045406,64.5,19.7,15.8
E00045407,75.2,6.4,18.3
E00045408,73.2,4.5,22.3
E00045409,78.2,4.7,17.1
E00045410,76.8,9.7,13.5
E00045411,78,6.9,15.1
E00045412,70.7,8.8,20.5
E00045416,75,5.2,19.8
E00045420,76.4,6.9,16.7
E00045422,90.9,2.5,6.6
E00045427,74.8,6.2,19
E00045428,74.7,10.8,14.5
E00045429,86.1,5.1,8.8
E00045431,82,6.8,11.2
E00045434,59.8,19.7,20.5
E00045439,76.3,11.1,12.5
E00045441,86.7,6,7.4
E00045443,83.4,7,9.6
E00045445,77.9,4.6,17.5
E00045448,61.8,11.8,26.4
E00045464,70.1,11.3,18.6
E00045471,83,10.5,6.5
E00045473,77.6,7.9,14.5
E00045475,79.1,6.8,14.1
