areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
W00002704,5.7,25.5,68.9
W00002705,2.8,37,60.2
W00002706,1.7,46.7,51.7
W00002707,1.9,63.2,34.9
W00002708,2.8,45.3,51.9
W00002709,2.7,48.2,49.1
W00002710,5,37.5,57.5
W00002711,4.5,37.9,57.6
W00002712,1.2,46.5,52.3
W00002713,0,45.2,54.8
W00002714,3.1,26.4,70.5
W00002715,4.9,30.4,64.7
W00002716,9.4,30.9,59.7
W00002717,4.7,28.1,67.2
W00002718,3.3,26.7,70
W00002719,2.1,41.3,56.6
W00002720,2.9,44.7,52.4
W00002721,5.5,25.5,69.1
W00002722,4.2,29.2,66.7
W00002723,2.6,30.7,66.7
W00002724,4.8,44.2,51
W00002725,2.9,42.3,54.8
W00002726,4.8,53.2,42.1
W00002727,2.7,46.9,50.4
W00002728,4.4,43.8,51.8
W00002729,2.6,63.8,33.6
W00002730,3,55.6,41.5
W00002731,4,30.1,65.9
W00002732,2.7,54.7,42.7
W00002733,5.3,58.4,36.3
W00002734,9.1,39.7,51.2
W00002772,3.6,22.3,74.1
W00002773,6.7,20.2,73.1
W00002774,4,28.9,67.1
W00002775,6.1,28.7,65.2
W00002776,4.7,24.2,71.1
W00002777,7.4,34.4,58.2
W00002786,8.3,28.3,63.3
W00002787,9.3,26.9,63.9
W00002788,6.8,27.1,66.1
W00002789,6.8,34,59.2
W00002790,3.8,38.5,57.7
W00002800,7.8,22.2,70
W00002801,2.9,27.9,69.1
W00002802,9.1,28.8,62.1
W00002803,5.2,29.3,65.5
W00002820,5.2,24.8,70
W00002821,5.9,30.4,63.7
W00002822,3.4,24.8,71.8
W00002823,7.1,29.1,63.8
W00002824,1.2,40.7,58
W00002832,3.8,39.1,57.1
W00002833,5.9,25.7,68.3
W00002834,2.3,31,66.7
W00002835,0,28.2,71.8
W00002836,3.9,38.6,57.5
W00002837,3.1,33.1,63.8
W00002838,7.9,24.6,67.5
W00002839,3.4,18.2,78.4
W00002840,5.7,25.7,68.6
W00002841,12.4,24.8,62.8
W00002842,5.7,29,65.3
W00002843,3.4,31.5,65.1
W00002844,4.4,22.1,73.5
W00002845,2.9,31.6,65.4
W00002846,1.8,36.8,61.4
W00002847,3.8,50,46.2
W00002848,9.3,24.4,66.3
W00002849,3.3,40.8,55.8
W00002850,3.1,59.8,37.1
W00002883,3.4,35.6,61
W00002910,3.8,36.5,59.7
W00002911,7.7,41.5,50.8
W00002912,4.8,44.4,50.8
W00002913,5.3,45.3,49.5
W00002914,4.5,24.5,70.9
W00002915,8.4,22.4,69.2
W00002916,3.4,27,69.7
W00002917,3.1,27.9,69
W00002918,6.2,26.7,67.1
W00002919,8.1,24.8,67.1
W00002920,7.6,26,66.4
W00002921,6.7,30.9,62.4
W00002922,8,34.1,58
W00002923,1.4,49.6,48.9
W00002924,6.6,29.5,63.9
W00002925,3.8,29.3,66.9
W00002926,5.7,35.8,58.5
W00002927,0.9,32.7,66.4
W00002928,4.4,27,68.6
W00002945,4.5,27,68.5
W00002946,7.7,25,67.3
W00002947,5.3,23.7,71
W00002948,6,26.5,67.5
W00002949,6.3,32.3,61.4
W00002956,4.9,24.4,70.7
W00002957,1.9,33.7,64.4
W00002958,8.2,27,64.8
W00002959,3.2,31.5,65.3
W00002960,4.1,16,79.9
W00002961,5.3,28.7,66
W00002962,5.3,25.7,69
W00002963,3.7,27.4,68.9
W00002966,5.3,25.5,69.1
W00002967,5.2,27.7,67.1
W00002968,6.5,31.8,61.7
W00002969,5.1,22.2,72.7
W00002970,4.3,22.4,73.3
W00002972,5.7,27.8,66.5
W00002974,6.5,30.4,63
W00002975,2.5,21.3,76.2
W00002976,1.4,27.7,70.9
W00002977,5.4,24.8,69.8
W00002978,3,29.9,67.1
W00002979,7.6,30.3,62.1
W00002980,4.1,32.2,63.6
W00002981,3,31.9,65.2
W00002982,7.3,23.4,69.4
W00002983,5,27.5,67.5
W00002984,2.7,21.4,75.9
W00002985,3.7,28.1,68.1
W00002986,5.3,30.2,64.6
W00002987,10,21.9,68.1
W00002988,6.5,23,70.5
W00002989,6.7,27.3,66.1
W00002990,2.7,40.6,56.6
W00002991,5.6,34.7,59.7
W00002992,7.9,31.7,60.4
W00002993,9,26.6,64.4
W00002994,5.3,27,67.8
W00002995,1.7,28.4,69.9
W00002996,13.4,26.9,59.7
W00002997,5,35.7,59.3
W00002998,6.3,32.3,61.5
W00002999,4.5,33.1,62.4
W00003000,7.8,30.4,61.7
W00003001,9.8,25.9,64.3
W00003002,4.6,32.1,63.4
W00003003,6.9,24.6,68.5
W00003004,3.9,20.6,75.5
W00003005,2.3,41.7,56.1
W00003006,3.3,37.4,59.3
W00003007,5.7,22.7,71.6
W00003008,5.1,27.3,67.7
W00003009,10.7,26.7,62.6
W00003010,5.3,45.9,48.8
W00003011,0.6,33.5,65.8
W00003012,2.9,44,53.1
W00003013,4.6,38.5,56.9
W00003014,4.7,35.9,59.4
W00003015,6.1,43.2,50.8
W00003016,4.7,40.7,54.7
W00003017,6.3,32.7,61
W00003018,3.1,34.4,62.5
W00003019,3,34.3,62.7
W00003020,2.2,40.9,56.9
W00003021,3.5,36.8,59.7
W00003022,6.2,39.1,54.7
W00003023,2.4,29.6,68
W00003024,3.7,42,54.3
W00003025,4.5,42.1,53.4
W00003026,3.7,25.2,71.2
W00003027,4.9,53.5,41.7
W00003028,0,49.2,50.8
W00003029,1.6,42.9,55.6
W00003030,3.8,43.3,52.9
W00003031,9,50.5,40.4
W00003032,2.6,67.7,29.7
W00003033,4.2,47.2,48.6
W00003034,3,47.4,49.6
W00003035,5.7,42.6,51.6
W00003036,6.4,19.2,74.4
W00003037,4.4,6.7,88.9
W00003038,1.6,26,72.4
W00003039,2.4,39.5,58.1
W00003040,4.8,19.4,75.8
W00003041,2.3,33.6,64.1
W00003042,7.7,54.5,37.8
W00003043,5.7,50,44.3
W00003044,5.2,55.6,39.3
W00003045,5.7,33.3,60.9
W00003046,2.9,35.7,61.4
W00003047,4.2,34.7,61.1
W00003048,3.3,34.7,62
W00003049,7.2,19.8,73
W00003050,2.5,38.8,58.7
W00003051,6,39.3,54.7
W00003052,3.6,36.9,59.5
W00003053,3.4,31.9,64.7
W00003054,2.6,39.1,58.3
W00003055,5.7,37.6,56.7
W00003056,2.5,36.7,60.8
W00003057,4.8,40.6,54.5
W00003058,3.5,43.4,53.1
W00003059,3.7,33.3,63
W00003060,2.5,65.3,32.2
W00003062,4.2,34.2,61.7
W00003063,1,32.7,66.3
W00003064,2.9,21.4,75.7
W00003065,6.6,27.4,66
W00003066,3.7,27.9,68.4
W00003067,8.2,35.6,56.2
W00003068,5.2,28.7,66.1
W00003069,3.1,22.9,74
