areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00000625,51.7,36.4,5.5,4.7,1.6
E00000627,38.4,39.3,9.2,8.6,4.6
E00000636,52,25.6,6.5,8,8
E00000643,52.6,38,4.7,3.4,1.2
E00000646,46.4,39.7,5.1,3.8,5.1
E00000649,31.3,31.3,20.1,13.6,3.8
E00000652,36,34.3,14,9.3,6.4
E00000658,50.8,38.9,5.3,2,3.1
E00000663,54.2,38.7,2,3.2,2
E00000664,43.7,37.1,10.3,4,4.8
E00000666,27.6,30.7,18.3,13,10.5
E00000941,66.6,25.9,3.3,2.1,2.1
E00000947,63.2,26.8,4,2.4,3.5
E00000948,78.6,17.1,2.6,1.3,0.5
E00000949,65.9,22.5,2.2,1.9,7.5
E00000950,62.1,27,5.3,2,3.7
E00000951,54.7,28,11.4,4.1,1.8
E00000952,59.7,30.8,2.1,4.7,2.6
E00000953,35.3,31.6,14.3,13.6,5.2
E00000954,65.2,27.3,3.5,2.1,1.9
E00000955,59.6,25.6,6.7,3.9,4.2
E00000956,47.3,30.3,9.8,7.7,4.9
E00000958,42.6,30.7,9.8,11,6
E00000959,37.8,36.5,15.8,5,5
E00000960,44.3,37.9,7.7,5.6,4.4
E00001110,57.5,29.6,7.2,3.1,2.6
E00001115,51,29.3,8.7,6.7,4.3
E00001116,41.3,38.8,13,2.9,4
E00001145,60.7,27.7,6.1,3.4,2
E00001146,67.9,24.4,4.1,2.3,1.3
E00001147,53.4,32.6,4.9,3.6,5.5
E00001148,52.8,33.7,9.6,1.8,2.1
E00001154,55.7,29.9,7,6.1,1.4
E00002345,57.4,29.4,6.4,2.7,4.1
E00002346,47.2,35,8.1,4.6,5.1
E00002347,41.4,40.4,7.3,6.8,4.1
E00002348,33.3,35.4,12.4,9.6,9.3
E00002349,61.9,25,5.2,4,4
E00002350,39.6,49.6,4.2,3.1,3.5
E00002351,42.5,38,6,6.6,6.8
E00002352,48.1,34.1,10.3,5.3,2.3
E00002353,52.6,32.8,4,5.8,4.7
E00002354,45.8,37.2,8.1,5.5,3.4
E00002355,41,35.9,11.7,7,4.4
E00002356,30.5,33.7,19.8,8.9,7
E00002357,54.5,34.7,5.9,3.9,1
E00002358,40.2,38.4,15.1,5.1,1.3
E00002359,38.2,40.4,8.7,4.6,8.2
E00002360,50,39.3,4,4.7,2
E00002361,46,41.6,6.5,3.6,2.2
E00002362,36.8,35.8,5.7,7.2,14.6
E00002363,40,36.7,7.9,8.4,6.9
E00002364,36.6,34.6,15.7,8.5,4.6
E00002365,35,38,9.1,12,5.9
E00002366,49.8,35.5,4.2,3.8,6.7
E00002367,50.5,35.8,3.8,4.6,5.3
E00002368,30.1,33.7,13.3,16.8,6.1
E00002369,37.8,33.5,12.6,7.8,8.3
E00002370,43.7,25.1,12.6,11.4,7.2
E00002372,45,30.5,12,7.8,4.8
E00002378,52.6,32.5,8.5,4.6,1.8
E00002379,57,35.5,3.2,2.6,1.7
E00002380,43.8,38.1,8.7,5.5,3.9
E00002381,42.3,40.9,9.4,3.6,3.8
E00002382,34.3,43.6,10.4,6.4,5.3
E00002498,40.8,32.1,11.7,10.3,5
E00002500,38.5,43.5,7.9,7,3.1
E00002503,32.6,35.3,14,8.5,9.5
E00002507,43.7,42.8,7.3,2.6,3.5
E00002508,58.3,31.1,5.3,1.8,3.6
E00002510,42,24.3,14.7,15.3,3.8
E00002512,36.4,38,11.6,8.9,5.1
E00002515,46.9,41.4,8.2,2.2,1.2
E00002516,50.5,37,5,4.1,3.4
E00002517,43.1,39,8.1,5.4,4.3
E00002518,47.2,38.9,4.5,3.8,5.6
E00002521,38,39.3,8.8,8.3,5.7
E00002522,37,32.1,13.7,12.8,4.5
E00002523,48.3,34.5,6.9,4.5,5.7
E00002527,46.6,29.4,8.1,8.1,7.7
E00002607,29.2,31.3,11.3,21,7.2
E00002608,35.6,46.7,9.8,4.8,3.1
E00002609,54.6,33.3,6,3.5,2.7
E00002610,50,32.8,6.9,6.5,3.8
E00002611,55,37.4,4.8,1.8,1
E00002612,38.1,45,8,5.5,3.4
E00002613,52.3,41.5,2.8,1,2.3
E00002614,48,35.2,8.7,2.8,5.2
E00002615,57.1,37.5,2.3,1.7,1.4
E00002616,48.4,33,9.9,4.6,4.1
E00002617,36.7,42.5,7.2,4.7,8.9
E00002618,34.2,31.1,16.2,11,7.5
E00002619,49,39.8,7.7,1.8,1.8
E00002620,53.8,43.9,0.8,1.6,0
E00002621,49.3,41.6,2.4,4.4,2.4
E00002622,39.9,46.7,9.1,2.3,2
E00002623,45,36.1,6.2,7.3,5.3
E00002624,48.2,40.8,4.5,2.6,3.9
E00002625,53.3,41.5,1.2,2.4,1.6
E00002626,36.1,41.4,7.4,7.2,8
E00002627,27.4,38,20.3,7.3,7
E00002628,29.7,38.6,12.5,6.4,12.8
E00002629,37.2,35.4,12.5,6.3,8.6
E00002630,37.8,44.6,6.3,7.4,4
E00002631,43.9,42.1,6.6,5.9,1.5
E00002632,49.5,40.4,4.7,2.3,3.1
E00002633,40.2,43.4,7.4,4.8,4.2
E00002634,41.1,33.4,10.7,6.5,8.3
E00002635,40,42.8,10.2,5,2
E00002636,35.9,33.2,17,9.3,4.7
E00002637,31.9,36.3,9.9,8.9,13.1
E00002638,48.7,40.3,3.7,4.6,2.7
E00002740,48.5,39.7,5.3,3.2,3.2
E00002748,41.5,29.6,9.6,13.4,5.9
E00002750,41.9,47.7,2.6,5.2,2.6
E00002751,47.3,40.5,3.4,6.2,2.5
E00002752,46.1,39.7,3.7,5.3,5.1
E00002753,43.2,47.6,5,2.2,1.9
E00002754,52.3,40.3,4,2,1.4
E00002755,46.2,41,5.9,3.8,3.1
E00002756,51.4,37.2,4.9,4.9,1.6
E00002757,49.6,44.7,2.2,2.4,1.1
E00002758,37.7,40.5,9.4,6.4,6.1
E00002759,45.7,42.9,4.6,2.5,4.3
E00002760,49.3,45.2,2.8,1.4,1.4
E00002761,44.5,39.8,6.8,3.9,4.9
E00002763,33.5,28.8,17,10.7,9.9
E00002764,48.5,44.5,3,1.9,2.1
E00002765,37.3,37,10.4,8.5,6.8
E00002766,41.2,40.2,5.6,7.9,5.1
E00002767,48,41.7,2.7,3.2,4.4
E00002768,48,38.8,4.7,6,2.4
E00002769,42.4,34.7,9.4,7.7,5.8
E00002770,30.6,31.1,13.5,13.1,11.6
E00002772,39.7,37.5,13.2,4.3,5.2
E00002773,43.1,35.6,9.9,8.1,3.4
E00002775,33,34.4,15.1,13.1,4.4
E00002776,33.3,26,20.2,11.3,9.2
E00002777,32,41.9,10.8,6.9,8.3
