geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00027113,44.8,18.4,19.9,16.9
E00027115,39.9,16.1,21,23.1
E00027116,52.6,16.8,11.6,18.9
E00027117,45,17.4,22.8,14.8
E00027119,50.6,14.7,16.7,17.9
E00027120,50.5,13.1,20.2,16.2
E00027122,38.1,15.1,30.2,16.7
E00027123,50,12.5,22.5,15
E00027125,46.2,21,18.5,14.3
E00027126,44.7,15.9,27.6,11.8
E00027127,48,12,24,16
E00027129,56.5,14.8,10.4,18.3
E00027130,44.1,17.6,17.6,20.6
E00027131,44.9,16.1,22.9,16.1
E00027134,39.3,16.4,24.6,19.7
E00027135,44.1,11.8,27.9,16.2
E00027138,36.2,25.4,23.1,15.4
E00027140,39.2,16,33.6,11.2
E00027141,49,12.9,23.8,14.3
E00027142,43,16.3,25.2,15.6
E00027143,53.8,16.2,14.6,15.4
E00027144,39,21.3,28,11.6
E00027145,45.4,13.3,25.5,15.8
E00027146,56.8,15.2,9.6,18.4
E00027147,44.5,16.4,19.5,19.5
E00027148,40.7,17.1,27.9,14.3
E00027149,43.1,15.5,27.6,13.8
E00027255,49.7,16.1,16.8,17.5
E00027273,35.8,23,21.8,19.4
E00027274,50.3,15.2,16.8,17.8
E00027275,47.4,17.5,24.1,10.9
E00027276,44.9,16.2,15.4,23.5
E00027277,53.9,12.5,18.8,14.8
E00027278,39.2,16.2,21.5,23.1
E00027279,49.2,16.9,16.1,17.8
E00027280,45.7,7.6,27.2,19.6
E00027325,48.8,18.9,15.9,16.5
E00027329,48.1,17,18.5,16.3
E00027331,51.3,15.7,18.3,14.8
E00027332,45.5,9,22.1,23.4
E00027335,51.2,13.2,18.6,17.1
E00027338,52.6,14.1,20,13.3
E00027342,54.1,16.4,15.1,14.4
E00027362,33.1,25.6,26.4,14.9
E00027363,22.2,23.1,42.7,12
E00027364,35.9,23.9,28.2,12
E00027365,27.6,25,37.1,10.3
E00027366,23.4,23.4,35.9,17.2
E00027367,23.8,22.2,46.8,7.1
E00027368,33.8,21.3,35.3,9.6
E00027369,29,22.4,32.7,15.9
E00027370,28.6,28,33.7,9.7
E00027371,31.9,18.7,31.9,17.6
E00027372,25.7,23.7,35.5,15.1
E00027373,26.9,20.4,38.9,13.9
E00027374,30.8,23.9,26.5,18.8
E00027377,36.7,28.6,16.3,18.4
E00027378,33.8,24.1,31.6,10.5
E00027395,13.6,32.2,39,15.3
