areacd,heating_type_3a-001,heating_type_3a-002
E02001327,1.5,98.5
E02001328,1.3,98.7
E02001329,1.8,98.2
E02001330,2.4,97.6
E02001331,1.7,98.3
E02001332,1.3,98.7
E02001334,1.4,98.6
E02001336,1.6,98.4
E02001337,1.5,98.5
E02001338,1.8,98.2
E02001340,1.2,98.8
E02001341,1.8,98.2
E02001342,0.6,99.4
E02001343,1.6,98.4
E02001344,1.5,98.5
E02001345,1.5,98.5
E02001346,1.7,98.3
E02001347,1.7,98.3
E02001348,3.5,96.5
E02001349,2.8,97.2
E02001350,1.9,98.1
E02001351,1.8,98.2
E02001352,2.8,97.2
E02001353,1.5,98.5
E02001354,2,98
E02001355,3,97
E02001356,1,99
E02001357,1.7,98.3
E02001358,3.2,96.8
E02001359,1.8,98.2
E02001360,2.9,97.1
E02001361,2.6,97.4
E02001362,1.6,98.4
E02001363,1.5,98.5
E02001364,2.1,97.9
E02001365,3.4,96.6
E02001366,3.3,96.7
E02001367,1.3,98.7
E02001368,1.9,98.1
E02001369,2,98
E02001370,2.1,97.9
E02001371,1.6,98.4
E02001372,2.6,97.4
E02001373,2.4,97.6
E02001374,3.3,96.7
E02001375,3.2,96.8
E02001376,3.7,96.3
E02001377,2.8,97.2
E02001378,2.3,97.7
E02001380,1.9,98.1
E02001381,3.9,96.1
E02001382,1.8,98.2
E02001383,2.6,97.4
E02001384,2.7,97.3
E02001385,2.7,97.3
E02001386,1.7,98.3
E02001387,1.2,98.8
E02001388,2.1,97.9
E02001389,2.6,97.4
E02001390,2.2,97.8
E02001391,1.5,98.5
E02001392,1,99
E02001393,0.9,99.1
E02001394,2.3,97.7
E02001395,2.1,97.9
E02001396,2.3,97.7
E02001397,1.6,98.4
E02001398,2.1,97.9
E02001399,1.3,98.7
E02001400,2.1,97.9
E02001401,1.5,98.5
E02001402,1.6,98.4
E02001403,1.9,98.1
E02001404,2,98
E02001405,1.7,98.3
E02001429,1,99
E02001430,1,99
E02001431,1.4,98.6
E02001432,3.9,96.1
E02001433,1.7,98.3
E02001434,1.6,98.4
E02001435,2.3,97.7
E02001436,1.5,98.5
E02001437,1.1,98.9
E02001438,1,99
E02001439,1.1,98.9
E02001440,0.3,99.7
E02001441,0.3,99.7
E02001442,0.6,99.4
E02001443,0.8,99.2
E02001444,1.5,98.5
E02001445,1.3,98.7
E02001446,0.9,99.1
E02001447,1.2,98.8
E02001448,1,99
E02001449,1.2,98.8
E02001450,1.2,98.8
E02001451,2.3,97.7
E02001452,1.7,98.3
E02001453,1,99
E02001454,1.1,98.9
E02001455,1.3,98.7
E02001456,1.8,98.2
E02001457,1.8,98.2
E02001458,2.5,97.5
E02001459,1.8,98.2
E02001460,1.9,98.1
E02001461,1.3,98.7
E02001462,1.8,98.2
E02001463,1.7,98.3
E02001464,2.9,97.1
E02001465,2.7,97.3
E02001466,2.3,97.7
E02001467,2.3,97.7
E02001468,1.9,98.1
E02001469,1.5,98.5
E02001470,1.1,98.9
E02001471,2.3,97.7
E02001472,1.7,98.3
E02001473,2.2,97.8
E02001474,2.5,97.5
E02001475,1.6,98.4
E02001476,2.2,97.8
E02001477,1.8,98.2
E02001478,1.6,98.4
E02001479,0.8,99.2
E02001480,1.3,98.7
E02001481,1.8,98.2
E02001482,2.4,97.6
E02001483,1,99
E02001484,1.6,98.4
E02001485,1.1,98.9
E02001486,1.8,98.2
E02001487,2.5,97.5
E02001488,1.9,98.1
E02001489,0.8,99.2
E02001490,1.4,98.6
E02001491,2,98
E02001492,0.8,99.2
E02001493,1.9,98.1
E02001494,0.5,99.5
E02001495,1.4,98.6
E02001496,1.3,98.7
E02001497,1.5,98.5
E02001498,1.1,98.9
E02001499,1.1,98.9
E02001500,1,99
E02001501,1.3,98.7
E02001502,1.2,98.8
E02001503,1,99
E02001504,0.5,99.5
E02001505,1.2,98.8
E02001506,0.2,99.8
E02001507,0.9,99.1
E02001508,1.3,98.7
E02002633,1.5,98.5
E02002634,1.5,98.5
E02002635,1.4,98.6
E02002636,1.3,98.7
E02002637,1.1,98.9
E02002638,4.4,95.6
E02002639,1.8,98.2
E02002640,2.8,97.2
E02002641,1.5,98.5
E02002642,4.1,95.9
E02002643,3.3,96.7
E02002644,2.1,97.9
E02002645,4.7,95.3
E02002646,1.7,98.3
E02002647,2.6,97.4
E02002648,2.7,97.3
E02002649,3,97
E02002650,1.3,98.7
E02002651,1.7,98.3
E02003794,1.2,98.8
E02003795,0.6,99.4
E02003796,0.8,99.2
E02003797,0.9,99.1
E02003798,0.9,99.1
E02003799,1.2,98.8
E02003801,1,99
E02003802,1.8,98.2
E02003803,2.2,97.8
E02003804,0.9,99.1
E02003805,0.6,99.4
E02003806,0.9,99.1
E02003807,1,99
E02003808,1.1,98.9
E02003841,0.9,99.1
E02003842,0.6,99.4
E02003843,1,99
E02003844,0.9,99.1
E02003845,1.6,98.4
E02003846,1.1,98.9
E02003847,0.6,99.4
E02003848,1,99
E02003849,0.9,99.1
E02003850,1.6,98.4
E02003851,0.5,99.5
E02003852,0.6,99.4
E02003978,2.2,97.8
E02003979,0.7,99.3
E02003980,3.1,96.9
E02003981,2.7,97.3
E02003982,1.3,98.7
E02003983,3.1,96.9
E02003984,6.4,93.6
E02003985,2.7,97.3
E02003986,3.5,96.5
E02005203,1,99
E02005204,0.9,99.1
E02005205,0.7,99.3
E02005206,1.6,98.4
E02005207,0.9,99.1
E02005208,2.4,97.6
E02005209,1,99
E02005210,1.1,98.9
E02005211,0.9,99.1
E02005224,1.6,98.4
E02005226,2.8,97.2
