areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02001327,53.1,4.1,42.8
E02001328,62.1,2.6,35.3
E02001329,51.7,4.1,44.2
E02001330,54.4,4.3,41.3
E02001331,52.3,3.9,43.8
E02001332,52.4,4.4,43.1
E02001334,49.9,5.3,44.9
E02001336,47.9,4.7,47.4
E02001337,57,4.1,38.9
E02001338,57.1,3.3,39.6
E02001340,62.5,2.4,35.1
E02001341,52.2,4.1,43.7
E02001342,58.9,1.7,39.4
E02001343,60.5,2.2,37.4
E02001344,55.5,2.9,41.5
E02001345,58.7,2.8,38.5
E02001346,53.9,4.4,41.7
E02001347,56.4,3.7,40
E02001348,59.1,4.4,36.6
E02001349,56.3,4,39.7
E02001350,51.3,3.9,44.8
E02001351,48.3,4.3,47.3
E02001352,52.7,4.6,42.8
E02001353,60.4,3,36.6
E02001354,52.2,4.3,43.5
E02001355,51.5,3.9,44.6
E02001356,57.9,4.3,37.8
E02001357,49,4.9,46.1
E02001358,48.3,6.3,45.4
E02001359,53.4,3.1,43.5
E02001360,47.5,5.2,47.2
E02001361,51.6,4.1,44.3
E02001362,52.8,3.8,43.5
E02001363,51.5,4.5,44
E02001364,47.1,5.6,47.4
E02001365,51.1,6.3,42.6
E02001366,52.2,5.3,42.5
E02001367,58,2.8,39.2
E02001368,47.2,4.9,47.8
E02001369,44.1,5.6,50.4
E02001370,40.8,6,53.2
E02001371,53.7,4.2,42.1
E02001372,50.5,3.6,45.9
E02001373,54.4,4.6,41
E02001374,49.7,6.7,43.6
E02001375,53.2,3.7,43.1
E02001376,41.7,6.7,51.6
E02001377,30.9,7.1,62
E02001378,53.8,3.5,42.7
E02001380,60.8,2.7,36.5
E02001381,48.9,5.9,45.1
E02001382,60.6,2.5,36.8
E02001383,40.6,7.6,51.8
E02001384,37.8,6.3,55.9
E02001385,38.8,8,53.2
E02001386,47.7,4.2,48.1
E02001387,58.1,2.6,39.3
E02001388,52.3,4.9,42.8
E02001389,57.1,6.4,36.5
E02001390,47.1,5.6,47.3
E02001391,49.1,3.9,47.1
E02001392,54.7,1.7,43.6
E02001393,51.5,2.4,46.1
E02001394,54.3,3.8,41.9
E02001395,60.5,2.3,37.3
E02001396,59,4,37
E02001397,50.8,3.2,46.1
E02001398,57.2,3.9,38.9
E02001399,57.5,2.3,40.2
E02001400,54.1,3,42.9
E02001401,57.4,2.7,40
E02001402,57.5,2.4,40.2
E02001403,56.9,4.1,39
E02001404,57,4,39
E02001405,51.3,5.3,43.4
E02001429,51.2,2.3,46.5
E02001430,52.7,2,45.3
E02001431,39.9,2,58.1
E02001432,48.7,4.5,46.8
E02001433,60.2,3,36.8
E02001434,60.5,2.3,37.2
E02001435,58.5,4,37.5
E02001436,57.9,3,39.1
E02001437,43.7,2.6,53.8
E02001438,58.9,2.4,38.7
E02001439,52.1,3.1,44.8
E02001440,44.6,1.5,53.9
E02001441,46.3,1.3,52.4
E02001442,49,2.3,48.7
E02001443,50.2,2,47.8
E02001444,54.6,2.5,42.9
E02001445,55.6,2.1,42.3
E02001446,55,2.4,42.6
E02001447,53.7,2.4,43.9
E02001448,57.6,2.1,40.3
E02001449,55,2.1,42.9
E02001450,54.1,1.9,44
