areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02001327,38.6,40.3,18,3.1
E02001328,20.9,43.5,28.6,7
E02001329,45.2,36.4,14.9,3.5
E02001330,39.2,41.3,15.4,4.2
E02001331,36,39.1,19.3,5.6
E02001332,40.2,40.5,15.8,3.5
E02001334,45,40.1,12.5,2.3
E02001336,48.7,36.8,12.2,2.3
E02001337,29.4,40.5,23.3,6.8
E02001338,32.1,43.6,20.2,4
E02001340,16.7,44,32.5,6.8
E02001341,37.1,42,16.8,4.1
E02001342,13.7,41.8,35.2,9.2
E02001343,11.5,39.8,37.1,11.5
E02001344,26.9,41.9,24.5,6.7
E02001345,16,45.8,30.4,7.8
E02001346,36.5,41.1,18.2,4.3
E02001347,33.8,42.4,19.3,4.5
E02001348,35.3,45,16.4,3.3
E02001349,31.5,44.8,19.4,4.3
E02001350,37.2,42.4,16.3,4.1
E02001351,41,40.9,14.8,3.3
E02001352,47.4,38,12.1,2.4
E02001353,16.1,44.5,30,9.4
E02001354,38.4,41.5,17.3,2.9
E02001355,47.2,39.3,11.8,1.7
E02001356,35.8,44.3,17.6,2.3
E02001357,39.8,42.1,14.3,3.8
E02001358,57.3,33.8,7.8,1.2
E02001359,23.8,41.6,25,9.6
E02001360,56.7,35,6.8,1.4
E02001361,40.8,42.2,14.4,2.5
E02001362,30.3,43.3,21.5,4.9
E02001363,41.5,40.9,14.5,3.2
E02001364,54.6,34.7,9.2,1.5
E02001365,52.9,36.7,9,1.4
E02001366,43,40.6,13.3,3
E02001367,21.5,42.7,28.9,6.9
E02001368,52.3,37,9.1,1.5
E02001369,53.6,36.9,8.2,1.2
E02001370,58.7,32.5,7.7,1.1
E02001371,40.2,41.7,15.1,3.1
E02001372,36.8,39.4,18.9,5
E02001373,41,42.2,13.8,3
E02001374,54.8,32.6,10.4,2.1
E02001375,43,41.6,12.7,2.7
E02001376,59,30.7,8.2,2.1
E02001377,54.9,35.2,7.6,2.4
E02001378,37.5,41.9,16.4,4.2
E02001380,17.6,44.6,31.5,6.3
E02001381,47.9,40.3,9.5,2.3
E02001382,12.9,42.8,36,8.3
E02001383,61.7,30.9,6.1,1.2
E02001384,43.7,36.2,13.3,6.8
E02001385,56.7,34.3,7,2.1
E02001386,40.2,41.8,15.3,2.6
E02001387,16.3,43.9,32.6,7.2
E02001388,26.2,49.8,20.1,3.9
E02001389,50.2,39.8,8.1,1.9
E02001390,54.8,36.7,7.4,1.1
E02001391,39.7,42,15.3,3
E02001392,14.6,43.5,34.3,7.5
E02001393,10.3,37.6,39.7,12.3
E02001394,34.8,45.1,17,3.1
E02001395,20.4,48.7,26.5,4.5
E02001396,41.8,43.8,12.8,1.5
E02001397,30.4,43.8,21.6,4.2
E02001398,32.8,46.1,17.5,3.5
E02001399,14.6,45.2,32.8,7.4
E02001400,25.7,43.4,25.5,5.3
E02001401,20.1,46.6,26.9,6.4
E02001402,20.3,44.5,29.2,6
E02001403,39.9,44.3,14.2,1.6
E02001404,37.7,43.8,16.2,2.4
E02001405,44.7,42.1,11.5,1.7
E02001429,15.2,48.7,28.5,7.7
E02001430,13.2,42.4,33.7,10.8
E02001431,28.2,44.6,20.2,7.1
E02001432,48.5,39.4,9.7,2.4
E02001433,19.9,46.3,26.3,7.5
E02001434,18.1,44.1,29.3,8.5
E02001435,30,45.1,19.1,5.9
E02001436,19.1,46.1,27.4,7.4
E02001437,20.3,43.4,25.7,10.6
E02001438,15.7,44,30.5,9.8
E02001439,23.5,43.4,26,7.1
E02001440,10.4,43.2,35.1,11.3
E02001441,9,39.4,40.4,11.2
E02001442,17.9,44.5,29.8,7.8
E02001443,11.1,41.7,35.4,11.9
E02001444,14.1,45.5,31.5,9
E02001445,14.6,41.4,34.1,9.9
E02001446,16.1,43.7,31.5,8.7
E02001447,19.4,43.7,27.5,9.4
E02001448,15.2,41.4,33.1,10.3
E02001449,16.4,41.7,32,9.9
E02001450,16,41.4,32.5,10.1
E02001451,38.4,41,16.5,4
E02001452,43.7,39.3,14,3
E02001453,16.5,43.8,32,7.7
E02001454,15.6,41.4,33.5,9.6
E02001455,17.5,48,27,7.6
E02001456,24.2,46,24.1,5.7
E02001457,38.5,41.4,15.8,4.2
E02001458,28.8,46.6,19.9,4.7
E02001459,28.3,44,22.5,5.2
E02001460,41,40.6,14.3,4
E02001461,23.9,45.5,25.8,4.8
E02001462,48.9,38.7,10.4,1.9
E02001463,35.8,41.4,18.6,4.2
E02001464,53.7,35.6,9,1.6
E02001465,55.8,35.4,7.4,1.4
E02001466,42.6,40.2,13.8,3.3
E02001467,31,46.6,17.9,4.5
E02001468,28.6,43.7,22.6,5.1
E02001469,20,46.6,25.6,7.9
E02001470,15.2,43.5,32.2,9.1
E02001471,38,42.7,15.8,3.5
E02001472,18.6,44,29,8.4
E02001473,30.1,43.9,21.4,4.6
E02001474,46.6,39.8,11,2.5
E02001475,35.8,42,18.2,3.9
E02001476,40.5,43,14.1,2.5
E02001477,44.4,39.4,12.6,3.6
E02001478,23.1,45.4,24.7,6.8
E02001479,10.5,42.5,35.4,11.5
E02001480,19.4,43,28.5,9.1
E02001481,22.1,44.2,25.1,8.6
E02001482,59.9,30.9,7.4,1.8
E02001483,11.3,44.4,34.2,10.1
E02001484,18.2,41.4,30.4,10
E02001485,27.7,43.7,22.1,6.5
E02001486,28.9,45.2,20.1,5.7
E02001487,45.5,40.3,11.7,2.5
E02001488,33.3,43.7,18.4,4.7
E02001489,12.1,43.8,34,10.1
E02001490,13.1,43.1,34,9.9
E02001491,35.6,43,16.8,4.6
E02001492,20.9,45.4,26.6,7.2
E02001493,45.3,40,12.1,2.7
E02001494,9,36.7,39.2,15.2
E02001495,25.9,45,22.7,6.4
E02001496,17.2,39.8,31.4,11.5
E02001497,34.6,45.1,16.2,4.1
E02001498,16.2,42.2,32.1,9.5
E02001499,11.6,40,36.6,11.8
E02001500,12,42.7,35,10.3
E02001501,13.6,43.1,34.2,9.2
E02001502,20.3,45.5,27.7,6.6
E02001503,17.4,43,29.3,10.3
E02001504,9.1,39.6,38.9,12.5
E02001505,21.5,44.7,26,7.7
E02001506,8.1,33.5,42.4,15.9
E02001507,11.6,41.2,35.3,12
E02001508,18.8,43.6,29.6,8
E02002633,22.9,47.9,22.4,6.7
E02002634,29.3,44.3,19.7,6.7
E02002635,24.1,45.5,23.9,6.6
E02002636,24.4,46.4,23.3,5.9
E02002637,20.3,46.4,25.9,7.4
E02002638,52.5,33,11.2,3.3
E02002639,48.8,36.9,11.6,2.6
E02002640,54,35.2,8.4,2.5
E02002641,29.1,45.4,19.5,6
E02002642,59.5,31.6,7,1.8
E02002643,41.8,40.9,13.8,3.5
E02002644,22.6,45,25.5,6.9
E02002645,57.3,31.9,8.3,2.5
E02002646,30.1,45.4,19.6,4.9
E02002647,36.7,44,15.5,3.8
E02002648,29.9,47.3,18,4.8
E02002649,31.7,39.1,22.2,7
E02002650,19.6,46.5,25.6,8.3
E02002651,24.1,43.3,25.3,7.3
E02003794,7.7,39.8,36.6,15.9
E02003795,10.4,36.2,37.8,15.6
E02003796,24.8,43,25.5,6.6
E02003797,14.8,41.9,34.5,8.8
E02003798,30.8,45.1,18.5,5.6
E02003799,33.6,41.8,19.5,5.1
E02003801,14.6,41.5,35.2,8.8
E02003802,38.9,43.5,15,2.6
E02003803,35.7,44.6,15.8,3.9
E02003804,22.2,47.5,25.4,5
E02003805,8.2,36.2,41.2,14.4
E02003806,10.4,38.7,40.8,10.1
E02003807,16.7,45,31,7.3
E02003808,25.6,42.9,24.7,6.9
E02003841,16.3,41.1,31.3,11.3
E02003842,7.1,34.9,41.2,16.8
E02003843,21.5,41.2,29.2,8.1
E02003844,11.4,40.1,36.1,12.4
E02003845,31.2,44.5,20.5,3.8
E02003846,27.9,43.7,23.1,5.4
E02003847,7.3,38.1,40.3,14.3
E02003848,24.7,42.8,24.7,7.7
E02003849,28.3,45.5,21.3,4.9
E02003850,17.1,41.9,31.1,9.8
E02003851,9.4,39.5,38.1,13.1
E02003852,9,41.5,38.1,11.3
E02003978,19.1,45.2,26.4,9.4
E02003979,13.6,46.4,31.3,8.7
E02003980,41.4,42.6,12.7,3.3
E02003981,21.6,50.1,22.3,6
E02003982,14.6,45.5,30.1,9.7
E02003983,32.1,46.6,16.8,4.5
E02003984,54.5,34.4,8.8,2.3
E02003985,23.1,49.8,21.5,5.6
E02003986,31.7,46,17.8,4.6
E02005203,7.3,39.3,38.1,15.3
E02005204,16.7,42.7,31.3,9.3
E02005205,9.5,39.6,36.4,14.4
E02005206,20.1,46.9,26.4,6.6
E02005207,12.4,45.5,31.9,10.2
E02005208,31.5,42.9,19.6,6
E02005209,12.1,46.2,31.4,10.3
E02005210,16.9,46.2,28.3,8.6
E02005211,16.9,47.7,27.7,7.6
E02005224,20.1,49.1,22.6,8.2
E02005226,41.1,40.9,14,4.1
E02005228,18.9,47.9,25.2,8.1
E02005229,39.3,41.5,15.4,3.8
E02005230,26.9,48.6,18.8,5.7
E02005236,14.8,43.7,31.7,9.9
E02005304,8.4,38.4,37.3,15.8
E02005305,9.4,40.5,34.6,15.5
E02005306,7.9,38.5,37.2,16.3
E02005307,13.2,40.1,35,11.7
E02005309,13.8,42.6,33.2,10.3
E02005310,29.2,39.1,23.3,8.4
E02005311,8,33.1,40,18.9
E02005315,9.6,37.6,39.9,12.9
