areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02001327,94.9,4,1.1
E02001328,98.6,1.1,0.2
E02001329,95.9,3.2,0.9
E02001330,96,3,1
E02001331,97.3,2,0.7
E02001332,93.1,5,1.8
E02001334,93.3,5.5,1.3
E02001336,95.2,4.1,0.8
E02001337,97.4,2,0.6
E02001338,97.9,1.8,0.3
E02001340,98.9,0.9,0.2
E02001341,98.4,1.3,0.4
E02001342,98.7,1,0.3
E02001343,98.9,1,0.2
E02001344,98.2,1.5,0.3
E02001345,98.6,1.2,0.1
E02001346,97.2,2.2,0.6
E02001347,95.5,3.8,0.8
E02001348,97.6,1.6,0.8
E02001349,97.6,1.9,0.5
E02001350,91.6,6.1,2.3
E02001351,92,5.9,2
E02001352,94.4,3.8,1.8
E02001353,96.2,2.6,1.2
E02001354,94.1,4.3,1.6
E02001355,92.8,4.9,2.4
E02001356,86.4,9.9,3.7
E02001357,93.3,5.3,1.4
E02001358,87.1,8,4.9
E02001359,95.6,2.6,1.9
E02001360,86.1,9.7,4.2
E02001361,94.6,4.2,1.1
E02001362,97.1,2.3,0.6
E02001363,92.3,6,1.6
E02001364,84.5,11.2,4.4
E02001365,79.9,14.2,5.9
E02001366,90.7,6.5,2.8
E02001367,97,2.3,0.7
E02001368,89.6,8.1,2.3
E02001369,88,9.7,2.4
E02001370,83.6,12.6,3.7
E02001371,91.3,6.3,2.3
E02001372,95.1,3.3,1.7
E02001373,91.7,6,2.4
E02001374,77.4,16.2,6.5
E02001375,95.3,3.5,1.2
E02001376,75.2,17.8,7
E02001377,79.9,16.7,3.4
E02001378,94.2,4.2,1.6
E02001380,97.7,1.9,0.4
E02001381,79.5,14,6.5
E02001382,97.1,2.5,0.5
E02001383,81.2,14.2,4.6
E02001384,90.3,7.5,2.2
E02001385,71.1,19.9,9.1
E02001386,97,2,1
E02001387,96.9,2.6,0.5
E02001388,96.3,3.1,0.6
E02001389,84.5,11.6,3.9
E02001390,84.7,10.6,4.7
E02001391,97.7,1.7,0.6
E02001392,97.4,2,0.6
E02001393,97,2.6,0.4
E02001394,94.5,4.3,1.2
E02001395,96.4,2.8,0.8
E02001396,93.5,5.3,1.3
E02001397,96.8,2.5,0.7
E02001398,94,5,1
E02001399,98,1.7,0.3
E02001400,95.2,3.9,1
E02001401,96.5,3,0.5
E02001402,96.2,2.8,1
E02001403,94.3,4.3,1.4
E02001404,94.1,4.7,1.2
E02001405,91.5,6.4,2.1
E02001429,98.1,1.6,0.4
E02001430,98.8,1,0.2
E02001431,96.4,2.8,0.8
E02001432,81.2,12.9,5.9
E02001433,95.2,4.1,0.7
E02001434,95.3,4,0.7
E02001435,89.8,7.8,2.4
E02001436,96,3.4,0.6
E02001437,97.9,1.7,0.3
E02001438,98.2,1.5,0.4
E02001439,97.8,1.8,0.5
E02001440,98.5,1.3,0.2
E02001441,98.8,1,0.1
E02001442,98.7,0.9,0.3
E02001443,98.9,1,0.1
E02001444,98.7,1.1,0.2
E02001445,99.6,0.3,0.1
E02001446,99.4,0.5,0.1
E02001447,99.2,0.6,0.1
E02001448,99.4,0.6,0
E02001449,99.1,0.6,0.3
E02001450,98.1,1.6,0.3
E02001451,98.1,1.5,0.4
E02001452,97.1,2.1,0.9
E02001453,98.5,1.3,0.3
E02001454,99.3,0.5,0.2
E02001455,99.1,0.7,0.2
E02001456,98.6,1.2,0.2
E02001457,96.3,3,0.7
E02001458,97.3,2,0.6
E02001459,97.5,1.9,0.6
E02001460,96.7,2.7,0.6
E02001461,98.8,0.9,0.3
E02001462,94.3,4.1,1.6
E02001463,95.1,3.6,1.3
E02001464,92.7,5.2,2
E02001465,89.7,7.6,2.8
E02001466,92.3,5.3,2.4
E02001467,98,1.7,0.3
E02001468,98.5,1.2,0.4
E02001469,98.8,1,0.2
E02001470,98.9,0.9,0.2
E02001471,97.7,1.7,0.6
E02001472,97.8,1.8,0.4
E02001473,98.4,1,0.6
E02001474,96.1,2.7,1.2
E02001475,98.2,1.5,0.4
E02001476,96.1,2.9,1
E02001477,96.2,3,0.8
E02001478,98.1,1.6,0.3
E02001479,98.9,1,0.1
E02001480,98.7,1.1,0.2
E02001481,97.9,1.7,0.5
E02001482,90.6,6.8,2.7
E02001483,99,0.8,0.2
E02001484,98.1,1.4,0.5
E02001485,98.1,1.6,0.3
E02001486,97.2,2.1,0.6
E02001487,92.6,5.4,2
E02001488,97.2,2.2,0.5
E02001489,99,0.9,0.1
E02001490,97.7,1.6,0.7
E02001491,98.5,1.4,0.1
E02001492,98,1.9,0.2
E02001493,94.2,4.6,1.2
E02001494,98.3,1.6,0.1
E02001495,98.2,1.3,0.5
E02001496,98.3,1.5,0.2
E02001497,96.6,2.6,0.8
E02001498,98.4,1.3,0.3
E02001499,99.2,0.7,0.1
E02001500,98.5,1.2,0.3
E02001501,98.6,1.2,0.2
E02001502,97.8,1.8,0.3
E02001503,98.5,1.3,0.2
E02001504,98.7,1.1,0.2
