areacd,disability_3a-001,disability_3a-002
E02001327,23.8,76.2
E02001328,20,80
E02001329,26.8,73.2
E02001330,23.8,76.2
E02001331,25.5,74.5
E02001332,25.8,74.2
E02001334,25.3,74.7
E02001336,28.4,71.6
E02001337,21.9,78.1
E02001338,22.9,77.1
E02001340,16.6,83.4
E02001341,25.2,74.8
E02001342,19.5,80.5
E02001343,17.5,82.5
E02001344,22.8,77.2
E02001345,18.8,81.2
E02001346,23.6,76.4
E02001347,22.9,77.1
E02001348,22.9,77.1
E02001349,22.1,77.9
E02001350,25.8,74.2
E02001351,28.2,71.8
E02001352,25.7,74.3
E02001353,19.3,80.7
E02001354,24.6,75.4
E02001355,25.5,74.5
E02001356,20.3,79.7
E02001357,27.3,72.7
E02001358,26.5,73.5
E02001359,21.7,78.3
E02001360,26.2,73.8
E02001361,25.1,74.9
E02001362,24.4,75.6
E02001363,25,75
E02001364,25.7,74.3
E02001365,21.6,78.4
E02001366,24.8,75.2
E02001367,18.7,81.3
E02001368,27.5,72.5
E02001369,27.5,72.5
E02001370,29,71
E02001371,23.6,76.4
E02001372,25.7,74.3
E02001373,23.8,76.2
E02001374,22.6,77.4
E02001375,24.7,75.3
E02001376,20.1,79.9
E02001377,17.6,82.4
E02001378,23.6,76.4
E02001380,17.4,82.6
E02001381,19.4,80.6
E02001382,15.6,84.4
E02001383,21.2,78.8
E02001384,16.6,83.4
E02001385,19.8,80.2
E02001386,29.5,70.5
E02001387,15.4,84.6
E02001388,15.8,84.2
E02001389,22.1,77.9
E02001390,25,75
E02001391,27.2,72.8
E02001392,18.4,81.6
E02001393,14.7,85.3
E02001394,22.1,77.9
E02001395,16.9,83.1
E02001396,21.7,78.3
E02001397,22.9,77.1
E02001398,21.2,78.8
E02001399,16.7,83.3
E02001400,23,77
E02001401,17.9,82.1
E02001402,17.2,82.8
E02001403,23.7,76.3
E02001404,23.6,76.4
E02001405,25,75
E02001429,21.2,78.8
E02001430,19.7,80.3
E02001431,29.7,70.3
E02001432,28.8,71.2
E02001433,19.9,80.1
E02001434,20.5,79.5
E02001435,21.1,78.9
E02001436,20.8,79.2
E02001437,22.6,77.4
E02001438,18.5,81.5
E02001439,22.3,77.7
E02001440,19.7,80.3
E02001441,17.9,82.1
E02001442,20,80
E02001443,17.6,82.4
E02001444,17.8,82.2
E02001445,18,82
E02001446,19.7,80.3
E02001447,21.1,78.9
E02001448,17.5,82.5
E02001449,20.3,79.7
E02001450,17.4,82.6
E02001451,28.7,71.3
E02001452,29,71
E02001453,16.5,83.5
E02001454,18.7,81.3
E02001455,19.9,80.1
E02001456,19.9,80.1
E02001457,26.3,73.7
E02001458,19,81
E02001459,22.5,77.5
E02001460,27.2,72.8
E02001461,19,81
E02001462,26.8,73.2
E02001463,23.9,76.1
E02001464,26.3,73.7
E02001465,30.1,69.9
E02001466,23.3,76.7
E02001467,27.6,72.4
E02001468,25.6,74.4
E02001469,20.2,79.8
E02001470,18.3,81.7
E02001471,28.2,71.8
E02001472,23.2,76.8
E02001473,23.6,76.4
E02001474,28.7,71.3
E02001475,29.8,70.2
E02001476,28.1,71.9
E02001477,28.2,71.8
E02001478,25.6,74.4
E02001479,18.3,81.7
E02001480,21.2,78.8
E02001481,21.6,78.4
E02001482,33,67
E02001483,20.8,79.2
E02001484,20.6,79.4
E02001485,25.1,74.9
E02001486,25.8,74.2
E02001487,27.6,72.4
E02001488,24,76
E02001489,18.6,81.4
E02001490,18.3,81.7
E02001491,27.5,72.5
E02001492,20.2,79.8
E02001493,31.7,68.3
E02001494,15.3,84.7
E02001495,24.4,75.6
E02001496,19.1,80.9
E02001497,26.2,73.8
E02001498,18.4,81.6
E02001499,19.9,80.1
E02001500,18.9,81.1
E02001501,19.1,80.9
E02001502,20.4,79.6
E02001503,20.5,79.5
E02001504,17.3,82.7
E02001505,22.6,77.4
E02001506,14.5,85.5
E02001507,16.9,83.1
E02001508,21.2,78.8
E02002633,24.7,75.3
E02002634,26.2,73.8
E02002635,23.5,76.5
E02002636,23.5,76.5
E02002637,21.2,78.8
E02002638,31,69
E02002639,29.3,70.7
E02002640,28.4,71.6
E02002641,21.3,78.7
E02002642,29.3,70.7
E02002643,23.7,76.3
E02002644,20.5,79.5
E02002645,30,70
E02002646,27.2,72.8
E02002647,25.6,74.4
E02002648,24.5,75.5
E02002649,25,75
E02002650,22.2,77.8
E02002651,23.8,76.2
E02003794,17.3,82.7
E02003795,19.2,80.8
E02003796,19.5,80.5
E02003797,16.2,83.8
E02003798,23.2,76.8
E02003799,24,76
E02003801,16.8,83.2
E02003802,20.4,79.6
E02003803,18,82
E02003804,15.8,84.2
E02003805,15.5,84.5
E02003806,13.5,86.5
E02003807,15.8,84.2
E02003808,19.7,80.3
E02003841,19.6,80.4
E02003842,16.9,83.1
E02003843,24,76
E02003844,19.1,80.9
E02003845,22.1,77.9
E02003846,23.3,76.7
E02003847,14.5,85.5
E02003848,23.5,76.5
E02003849,23.6,76.4
E02003850,19.2,80.8
E02003851,17.5,82.5
E02003852,17.3,82.7
E02003978,19,81
E02003979,19,81
E02003980,26.8,73.2
E02003981,17.8,82.2
E02003982,18.2,81.8
E02003983,24.8,75.2
E02003984,29,71
E02003985,22.4,77.6
