areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02001327,7.7,22.2,62.8,7.3
E02001328,7,19.3,65.9,7.7
E02001329,8.3,22.3,61.7,7.7
E02001330,8,23.6,62.6,5.8
E02001331,8.5,21.5,62.8,7.1
E02001332,7.7,22.8,61.9,7.7
E02001334,8.3,23.7,62.1,5.9
E02001336,9.7,24.5,58.9,7
E02001337,7.5,22.5,63,7
E02001338,7.1,22.5,63.7,6.7
E02001340,7,18.8,66.3,7.9
E02001341,7.9,22.5,63.4,6.2
E02001342,7.3,17.4,65.9,9.3
E02001343,8.8,19.1,62.9,9.1
E02001344,8,20.8,64,7.2
E02001345,7.7,20,65.3,7
E02001346,9.1,22.5,62.3,6.1
E02001347,8.5,21.3,63.6,6.6
E02001348,7.8,21.4,64.7,6.1
E02001349,8.2,19.5,65,7.2
E02001350,8.7,22.5,62.3,6.6
E02001351,9.7,25.1,59.3,5.9
E02001352,9.1,23,61.4,6.4
E02001353,8.2,20.4,64.1,7.3
E02001354,7.5,21.8,63.9,6.8
E02001355,9.6,22.7,61.9,5.8
E02001356,8.7,24.4,60.7,6.1
E02001357,8.8,25.3,60.4,5.5
E02001358,9.2,23.2,59.9,7.7
E02001359,8.1,22.7,60.7,8.5
E02001360,10.1,23.6,59.7,6.7
E02001361,8.6,22.1,64,5.3
E02001362,8.6,23.2,61.1,7.1
E02001363,8.6,23.2,60.7,7.5
E02001364,11.1,20.8,61.5,6.5
E02001365,10,23.6,60.3,6.1
E02001366,8.8,21.7,62.5,7.1
E02001367,8.7,19.8,61.7,9.7
E02001368,9.8,22.6,61.2,6.4
E02001369,11.6,24.2,58.1,6
E02001370,11.4,27.1,56.5,5
E02001371,8.7,23,62,6.3
E02001372,8.2,21.6,62.8,7.3
E02001373,8.9,21.8,62.7,6.7
E02001374,11.6,21.4,60.2,6.7
E02001375,8.3,25.6,60.5,5.5
E02001376,16.6,26.1,51.7,5.5
E02001377,25.1,23.3,46.7,4.9
E02001378,8.4,21,63.9,6.7
E02001380,7.8,19,65.6,7.7
E02001381,12.8,22.9,56.7,7.5
E02001382,8.3,19.4,63.6,8.7
E02001383,17.5,20.9,54,7.6
E02001384,24.4,23.5,46.9,5.2
E02001385,15.2,26.8,51.8,6.1
E02001386,9.1,23.4,61.5,5.9
E02001387,10.9,18.4,59.9,10.8
E02001388,12.3,16.2,63.9,7.6
E02001389,10.2,17.7,62.8,9.3
E02001390,11,23.3,60,5.7
E02001391,10,24,60.6,5.4
E02001392,8.8,17.7,62.2,11.3
E02001393,11.9,18.7,56.8,12.6
E02001394,9.5,16.9,64,9.5
E02001395,9.1,20,62.8,8.2
E02001396,8.2,18,66,7.9
E02001397,9.2,18.3,61.9,10.5
E02001398,10.1,17.4,63.4,9.1
E02001399,8.1,19.2,63,9.7
E02001400,8.7,21.3,61.9,8
E02001401,8.5,19.5,64.2,7.8
E02001402,8.6,17.5,63.3,10.6
E02001403,9.2,21.5,63.6,5.7
E02001404,8.3,20.7,64.5,6.5
E02001405,10.3,22.4,62.1,5.2
E02001429,11,23.6,57.4,8
E02001430,11.4,22.9,55.5,10.2
E02001431,12.1,20.6,55,12.3
E02001432,9.9,19.6,60.5,10.1
E02001433,11.2,24.5,56,8.3
E02001434,9.9,22.3,58.4,9.3
E02001435,10.6,22.9,57.9,8.6
E02001436,10.6,22.8,57.9,8.6
E02001437,13,20.8,53.3,12.8
E02001438,10.7,23.3,57.7,8.3
E02001439,11.5,23.4,56.5,8.6
E02001440,13.2,20.1,55.8,11
E02001441,13,19.6,55.4,12.1
E02001442,12.3,21.2,55.1,11.4
E02001443,12.8,19.5,56.9,10.8
E02001444,10.8,21.6,58.5,9.1
E02001445,9.6,21.3,59.7,9.3
E02001446,8.7,19.5,64.5,7.2
E02001447,7.9,19.7,62.9,9.5
E02001448,8.5,20,62.5,8.9
E02001449,9.2,20,60.4,10.4
E02001450,10.7,19.9,56.6,12.7
E02001451,8.5,24.8,59.3,7.4
E02001452,8.5,24,60.9,6.6
E02001453,8.4,19.6,62.6,9.4
E02001454,8.7,19.6,63,8.7
E02001455,7.8,20.8,63.5,8
E02001456,7.6,20.4,62.4,9.6
E02001457,8.3,24.6,60.9,6.2
E02001458,8.8,19.3,62.9,9
E02001459,7.8,21.8,62.4,7.9
E02001460,8.6,21.8,60.5,9.1
E02001461,7.5,21.9,63.2,7.4
E02001462,9.1,24.5,59.5,6.8
E02001463,9.8,23.1,59,8.1
E02001464,8.3,24.5,60,7.2
E02001465,9,21,61.6,8.4
E02001466,8.4,21.6,64.2,5.8
E02001467,9.1,19.5,63.4,8
E02001468,9.8,22.4,60.2,7.7
E02001469,10.2,20.4,60.5,8.9
E02001470,8.6,21.3,61.5,8.6
E02001471,8.9,23.9,60.3,6.9
E02001472,8.3,21.3,61.5,8.9
E02001473,9.6,21.4,61.9,7.1
E02001474,9.9,24.7,59.1,6.2
E02001475,8.8,22.6,61.2,7.3
E02001476,9.1,22.6,61.3,7
E02001477,9.4,25.7,58.6,6.3
E02001478,9.6,21.6,61.6,7.1
E02001479,9.4,20.3,60.5,9.9
E02001480,11.2,19.3,58.8,10.7
E02001481,8,20.8,62.3,8.9
E02001482,11,22.5,59,7.5
E02001483,9.3,20.8,62,7.9
E02001484,9,20.8,60.7,9.4
E02001485,11.1,23.4,58.6,7
E02001486,10,15.4,62.7,11.9
E02001487,10.3,23.7,59.7,6.3
E02001488,8.8,21,62.6,7.6
E02001489,9.8,20.8,59.9,9.6
E02001490,8.8,20.1,62.6,8.5
E02001491,9.5,26,57.9,6.6
E02001492,12.7,20.7,55.7,11
E02001493,10.2,22.7,60.5,6.6
E02001494,11.8,20.7,53.8,13.7
E02001495,8.9,22.5,60.7,7.9
E02001496,9.5,21.1,59.2,10.1
E02001497,8.9,22,61.8,7.4
E02001498,9.4,20,62.6,7.9
E02001499,10.4,21.8,58.9,9
E02001500,9.5,21.4,59.9,9.1
E02001501,7.9,20.7,63.2,8.1
E02001502,8.2,19,64.2,8.6
E02001503,11,20,58.1,11
E02001504,11.2,18.7,59.9,10.2
E02001505,8.4,19.9,63.4,8.3
E02001506,13.4,20.3,53.2,13.1
E02001507,7.9,19.6,64.8,7.7
E02001508,8.8,20.4,63.1,7.7
E02002633,10.7,23.2,57.9,8.2
E02002634,9.7,22.5,59.7,8.1
E02002635,10.6,21.3,59.8,8.2
E02002636,9.4,24.3,58.8,7.4
E02002637,8.6,20.7,62.9,7.9
E02002638,13.2,20.8,51.4,14.5
E02002639,9.7,26.6,57.9,5.7
E02002640,10,24.8,57.2,8.1
E02002641,9.1,20.6,62.6,7.7
E02002642,15,21.7,49.9,13.3
E02002643,11.3,23.9,57.6,7.3
E02002644,9.3,21.7,61.2,7.7
E02002645,14.1,22.3,50.3,13.3
E02002646,9.9,22.3,59.9,7.9
E02002647,9.9,24.5,58.6,6.9
E02002648,10,24,58.5,7.5
E02002649,10.7,22.4,57.8,9.1
E02002650,10.5,20.9,60,8.6
E02002651,9.7,22.8,59.7,7.8
E02003794,10,18.4,58.7,12.9
E02003795,11.9,20.4,54.5,13.2
E02003796,10.7,21.9,58.4,9
E02003797,10.2,18.8,61.1,9.9
E02003798,10.4,26.5,55.5,7.5
E02003799,11.1,23.1,58.6,7.1
E02003801,9.4,20.2,61,9.4
E02003802,10.3,16.2,64.6,8.9
E02003803,17.4,18.8,54.8,9
E02003804,9.4,16.8,64,9.8
E02003805,12.1,19.6,55,13.3
E02003806,8.4,18.3,62.2,11.1
E02003807,10.3,19.6,59,11.1
E02003808,10.4,20.6,61,8.1
E02003841,11.8,21.8,55.3,11.1
E02003842,11.5,17.9,55.6,15
E02003843,8.9,21,62.1,8
E02003844,10.9,21,57.9,10.1
E02003845,8.2,20.2,63.7,7.9
