areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02001327,2.9,17.4,61.7,18
E02001328,5.4,16.5,58.4,19.7
E02001329,13.3,26.3,43.3,17.1
E02001330,7,26.1,56.3,10.6
E02001331,5.5,24.9,54.9,14.7
E02001332,8.1,29.8,49.2,12.9
E02001334,3.6,28,63.3,5.1
E02001336,8.6,22.8,64.5,4.1
E02001337,4.9,8.5,71.4,15.2
E02001338,4.6,9,77.7,8.7
E02001340,1.5,8.1,73.4,17
E02001341,9,26.3,55.9,8.8
E02001342,2.6,9.3,59.2,28.9
E02001343,3,18.3,47.5,31.2
E02001344,12.5,17.4,47.8,22.3
E02001345,2.1,18.3,64.5,15.1
E02001346,11.5,17.9,50.8,19.7
E02001347,5.8,19,61.5,13.7
E02001348,4.8,20.6,61.9,12.6
E02001349,8.4,12.4,61,18.2
E02001350,5.9,32.2,46.8,15
E02001351,8.4,18.3,64.3,9
E02001352,12.3,30.7,44.6,12.4
E02001353,1.9,24,48.1,26.1
E02001354,6.4,16.8,71.3,5.4
E02001355,8.2,28.1,52.1,11.6
E02001356,3,20.2,71.4,5.4
E02001357,0.9,3.5,90.8,4.8
E02001358,5.1,43.1,45.6,6.2
E02001359,3.5,17,47.8,31.7
E02001360,13.8,35,43.7,7.5
E02001361,7.8,17,69.7,5.5
E02001362,5.3,5.9,80.7,8.1
E02001363,9.4,20.8,61.7,8.1
E02001364,11.9,33.3,43.3,11.4
E02001365,8.7,29.3,50.9,11.1
E02001366,12.1,18.4,55.8,13.8
E02001367,6.6,14.6,52.9,25.9
E02001368,12.6,36,42.4,9
E02001369,19.4,39,34.1,7.5
E02001370,15.6,38.5,37,8.9
E02001371,5,20.4,70.7,3.9
E02001372,14,18.7,54.3,13.1
E02001373,8.6,24.8,56.4,10.2
E02001374,28.6,25.5,29.7,16.2
E02001375,5.4,19.9,69.9,4.8
E02001376,7.2,35.4,39.7,17.7
E02001377,19.3,31.1,30.7,18.9
E02001378,12.3,24.5,51.6,11.5
