areacd,in_full_time_education-001,in_full_time_education-002
E02001327,24.9,75.1
E02001328,17.8,82.2
E02001329,18.9,81.1
E02001330,19.5,80.5
E02001331,19.5,80.5
E02001332,20.8,79.2
E02001334,22.5,77.5
E02001336,20.7,79.3
E02001337,19.4,80.6
E02001338,18.8,81.2
E02001340,17.1,82.9
E02001341,19.3,80.7
E02001342,14.8,85.2
E02001343,16.4,83.6
E02001344,16.7,83.3
E02001345,15.5,84.5
E02001346,19.9,80.1
E02001347,19.7,80.3
E02001348,18.3,81.7
E02001349,16.9,83.1
E02001350,21.5,78.5
E02001351,20,80
E02001352,20.4,79.6
E02001353,19.2,80.8
E02001354,20.7,79.3
E02001355,19.1,80.9
E02001356,26.7,73.3
E02001357,24.2,75.8
E02001358,20.4,79.6
E02001359,17.5,82.5
E02001360,20.8,79.2
E02001361,18.3,81.7
E02001362,19.4,80.6
E02001363,22.5,77.5
E02001364,21.4,78.6
E02001365,21.7,78.3
E02001366,18.9,81.1
E02001367,18.5,81.5
E02001368,20.3,79.7
E02001369,23.8,76.2
E02001370,23.6,76.4
E02001371,23,77
E02001372,17.2,82.8
E02001373,20.3,79.7
E02001374,23.1,76.9
E02001375,20,80
E02001376,37.8,62.2
E02001377,59.9,40.1
E02001378,17.6,82.4
E02001380,18.2,81.8
E02001381,30.5,69.5
E02001382,18.5,81.5
E02001383,43.3,56.7
E02001384,56.9,43.1
E02001385,34.9,65.1
E02001386,18,82
E02001387,21.5,78.5
E02001388,37.2,62.8
E02001389,18.3,81.7
E02001390,23.5,76.5
E02001391,20.9,79.1
E02001392,15.8,84.2
E02001393,22.9,77.1
E02001394,20.4,79.6
E02001395,18.4,81.6
E02001396,16.2,83.8
E02001397,13.8,86.2
E02001398,18.9,81.1
E02001399,18.2,81.8
E02001400,17.5,82.5
E02001401,17.1,82.9
E02001402,19.4,80.6
E02001403,20.3,79.7
E02001404,20.9,79.1
E02001405,23,77
E02001429,14.7,85.3
E02001430,16,84
E02001431,11.1,88.9
E02001432,11,89
E02001433,21,79
E02001434,20.6,79.4
E02001435,19.2,80.8
E02001436,20.3,79.7
E02001437,13,87
E02001438,19.5,80.5
E02001439,19.7,80.3
E02001440,14.8,85.2
E02001441,16.2,83.8
E02001442,16.4,83.6
E02001443,17.5,82.5
E02001444,17.4,82.6
E02001445,15.6,84.4
E02001446,15.6,84.4
E02001447,15.2,84.8
E02001448,16.3,83.7
E02001449,16,84
E02001450,16.4,83.6
E02001451,19.4,80.6
E02001452,18.5,81.5
E02001453,17.8,82.2
E02001454,18.3,81.7
E02001455,16.6,83.4
E02001456,16.3,83.7
E02001457,19.2,80.8
E02001458,17.5,82.5
E02001459,19.7,80.3
E02001460,16.7,83.3
E02001461,17.3,82.7
E02001462,19.7,80.3
E02001463,20.9,79.1
E02001464,20.5,79.5
E02001465,16.4,83.6
E02001466,20,80
E02001467,13.6,86.4
E02001468,17.7,82.3
E02001469,16.6,83.4
E02001470,18.6,81.4
E02001471,22.2,77.8
E02001472,20.5,79.5
E02001473,18.2,81.8
E02001474,24.3,75.7
E02001475,23.5,76.5
E02001476,22,78
E02001477,24.8,75.2
E02001478,17.9,82.1
E02001479,17.1,82.9
E02001480,16.7,83.3
E02001481,18,82
E02001482,17.3,82.7
E02001483,15.7,84.3
E02001484,16.9,83.1
E02001485,23.5,76.5
E02001486,12.2,87.8
E02001487,22.1,77.9
E02001488,19.3,80.7
E02001489,15.4,84.6
E02001490,17.7,82.3
E02001491,21.1,78.9
E02001492,18.1,81.9
E02001493,22.1,77.9
E02001494,17.7,82.3
E02001495,20.1,79.9
E02001496,18.4,81.6
E02001497,20.8,79.2
E02001498,19.7,80.3
E02001499,16.4,83.6
E02001500,16.3,83.7
E02001501,18.9,81.1
E02001502,17.5,82.5
E02001503,16.4,83.6
E02001504,14.9,85.1
E02001505,18.1,81.9
E02001506,16,84
E02001507,16.9,83.1
E02001508,19.3,80.7
E02002633,15.7,84.3
E02002634,14.5,85.5
E02002635,15,85
E02002636,17.9,82.1
E02002637,17.4,82.6
E02002638,16,84
E02002639,23.8,76.2
E02002640,21.6,78.4
E02002641,16.9,83.1
E02002642,17.4,82.6
E02002643,21.4,78.6
E02002644,17.5,82.5
E02002645,17.4,82.6
E02002646,17.2,82.8
E02002647,19.6,80.4
E02002648,19.9,80.1
E02002649,16.6,83.4
E02002650,14.7,85.3
E02002651,16.8,83.2
E02003794,18.1,81.9
E02003795,15.8,84.2
E02003796,17.5,82.5
E02003797,18.4,81.6
E02003798,22.5,77.5
E02003799,19.8,80.2
E02003801,19.1,80.9
E02003802,17.3,82.7
E02003803,38.4,61.6
E02003804,15.6,84.4
E02003805,18.4,81.6
E02003806,20.9,79.1
E02003807,17.3,82.7
E02003808,20.4,79.6
E02003841,17.5,82.5
E02003842,14.2,85.8
E02003843,16.2,83.8
E02003844,16.6,83.4
E02003845,19,81
E02003846,22.1,77.9
E02003847,16,84
E02003848,20.5,79.5
E02003849,21.3,78.7
E02003850,16.1,83.9
E02003851,16.3,83.7
E02003852,16.2,83.8
E02003978,15.1,84.9
E02003979,13.4,86.6
E02003980,17.9,82.1
E02003981,15,85
E02003982,17.6,82.4
E02003983,18.6,81.4
E02003984,17.5,82.5
E02003985,15.5,84.5
E02003986,14.8,85.2
E02005203,16.5,83.5
E02005204,17.9,82.1
E02005205,16.1,83.9
E02005206,17.1,82.9
E02005207,15,85
E02005208,12.5,87.5
E02005209,15.4,84.6
E02005210,14,86
E02005211,13.4,86.6
E02005224,12,88
E02005226,19.8,80.2
E02005228,19.3,80.7
E02005229,19.4,80.6
E02005230,16.9,83.1
E02005236,18.2,81.8
E02005304,16.6,83.4
E02005305,14,86
E02005306,15.1,84.9
E02005307,18.6,81.4
E02005309,20.1,79.9
E02005310,47.9,52.1
E02005311,31.6,68.4
E02005315,17.1,82.9
E02005319,16.9,83.1
E02005320,19.6,80.4
E02005321,18.7,81.3
E02005322,13.6,86.4
E02005323,19.9,80.1
E02005326,13.6,86.4
E02005327,16.2,83.8
E02005328,13.4,86.6
E02005329,18.3,81.7
E02005330,16,84
E02005331,16.3,83.7
E02005332,14.9,85.1
E02006017,16.6,83.4
E02006023,18.5,81.5
E02006024,17.1,82.9
E02006025,17,83
E02006026,17.4,82.6
E02006027,14.5,85.5
E02006028,16.5,83.5
E02006039,16.6,83.4
E02006041,13.6,86.4
E02006871,18.1,81.9
E02006932,72.1,27.9
E02006933,20.9,79.1
E02006934,31,69
W02000001,16.5,83.5
W02000002,13.9,86.1
W02000003,21.7,78.3
W02000004,16,84
W02000005,14.8,85.2
W02000006,21.1,78.9
W02000007,18.2,81.8
W02000008,17.2,82.8
W02000009,17.3,82.7
W02000010,60.7,39.3
W02000011,26.9,73.1
W02000012,19.9,80.1
W02000013,19.3,80.7
W02000014,18.9,81.1
W02000015,20.5,79.5
W02000016,18.2,81.8
W02000017,19,81
W02000018,18.6,81.4
W02000019,15.8,84.2
W02000020,16,84
W02000021,17.2,82.8
W02000022,14.5,85.5
W02000023,16.4,83.6
W02000024,17,83
W02000025,16.1,83.9
W02000026,13,87
W02000027,13.6,86.4
W02000028,18.8,81.2
W02000029,14.2,85.8
W02000030,14,86
W02000031,17.2,82.8
W02000032,15.4,84.6
W02000033,18.6,81.4
W02000034,17.7,82.3
W02000035,20.5,79.5
W02000036,14.8,85.2
W02000037,18.2,81.8
W02000038,16.6,83.4
W02000039,17,83
W02000040,16.3,83.7
W02000041,16.4,83.6
W02000042,16,84
W02000043,17.7,82.3
W02000044,15.9,84.1
W02000045,18.9,81.1
W02000047,27.2,72.8
W02000049,18.4,81.6
W02000050,16.9,83.1
W02000051,15,85
W02000052,19.2,80.8
W02000053,18,82
W02000054,15.7,84.3
W02000055,19.4,80.6
W02000056,18.6,81.4
W02000057,14.9,85.1
W02000058,14.6,85.4
W02000059,18,82
W02000060,19.5,80.5
W02000061,19.3,80.7
W02000062,17,83
W02000063,15.1,84.9
W02000064,19.6,80.4
W02000065,18.1,81.9
W02000066,19,81
W02000067,18.8,81.2
W02000068,15.4,84.6
W02000069,17.3,82.7
W02000070,18.7,81.3
W02000071,15.7,84.3
W02000072,18.5,81.5
W02000073,18.7,81.3
W02000074,17.6,82.4
W02000075,18.8,81.2
W02000076,16.1,83.9
W02000077,18.7,81.3
W02000080,21,79
W02000081,20.6,79.4
W02000082,20.7,79.3
W02000083,20.2,79.8
W02000085,17.6,82.4
W02000087,27.5,72.5
W02000088,19.6,80.4
W02000089,20.2,79.8
W02000090,20.2,79.8
W02000091,18,82
W02000092,20.6,79.4
W02000093,18.7,81.3
W02000094,20.8,79.2
W02000095,16.9,83.1
W02000096,17.5,82.5
W02000097,15.7,84.3
W02000098,15.1,84.9
W02000099,16.4,83.6
W02000100,14.5,85.5
W02000101,14.5,85.5
W02000102,15.7,84.3
W02000103,14.6,85.4
W02000104,15.8,84.2
W02000105,23.2,76.8
W02000419,18.3,81.7
W02000424,15.1,84.9
W02000425,15.1,84.9
W02000426,17.8,82.2
