areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02001327,94.4,1.1,1,3.6
E02001328,98.2,0.7,0.2,1
E02001329,95.4,0.9,0.6,3.1
E02001330,95.9,0.8,0.5,2.8
E02001331,97.5,0.6,0.5,1.5
E02001332,92.7,1.4,0.6,5.2
E02001334,93.2,1.8,1.4,3.6
E02001336,95.1,1.1,1,2.8
E02001337,97.2,1,0.5,1.4
E02001338,97.7,0.9,0.4,1
E02001340,98.4,0.9,0.3,0.4
E02001341,98.1,0.6,0.2,1.1
E02001342,98.3,0.9,0.3,0.5
E02001343,98.2,1.1,0.1,0.6
E02001344,97.5,1.1,0.1,1.3
E02001345,98.2,0.9,0.3,0.6
E02001346,96.8,1.1,0.5,1.7
E02001347,94.7,1.4,0.9,3
E02001348,97.3,1,0.2,1.5
E02001349,96.9,0.8,0.3,2
E02001350,91.6,1.7,1.8,4.9
E02001351,91.2,2.1,1.7,5
E02001352,93.9,1.6,0.8,3.7
E02001353,95.1,2.1,0.7,2
E02001354,94.1,1.6,1,3.2
E02001355,92.7,1.5,0.6,5.1
E02001356,85.6,3.2,3.2,8
E02001357,92.8,2.6,1.5,3.2
E02001358,87.4,2.4,1.2,9
E02001359,95,2,1.1,2
E02001360,86.6,2.7,1.9,8.8
E02001361,94.8,1.4,0.8,3
E02001362,96.4,1.6,0.7,1.4
E02001363,92.7,2,1.2,4.1
E02001364,85.2,2.1,2.3,10.4
E02001365,82.2,2.5,2,13.3
E02001366,89.8,2.6,1.1,6.5
E02001367,96.8,1,0.7,1.5
E02001368,89.7,2.3,1.4,6.6
E02001369,87.5,2.3,2.4,7.7
E02001370,84,3.1,3.2,9.7
E02001371,91.5,2.2,2.3,4
E02001372,94.8,1.6,0.5,3.1
E02001373,90.9,2.1,1.7,5.3
E02001374,75,4.4,3.2,17.4
E02001375,95.3,1.5,0.6,2.6
E02001376,72.1,6.6,4.3,17.1
E02001377,74.9,7.4,2.2,15.5
E02001378,93.3,2.6,0.9,3.1
E02001380,97,1.4,0.5,1.2
E02001381,79,5.3,3.3,12.4
E02001382,96,2.1,0.7,1.1
E02001383,78.1,4.3,1.3,16.3
E02001384,85.9,6.8,1.4,5.9
E02001385,61.3,12.2,6.4,20.2
E02001386,96.9,1.2,0.5,1.3
E02001387,95.2,2.7,0.5,1.5
E02001388,94.3,3.1,0.4,2.2
E02001389,84,4.4,1.3,10.3
E02001390,83.3,4.4,2.5,9.8
E02001391,97.5,1.1,0.4,1
E02001392,96.5,1.7,0.4,1.4
E02001393,96,2,0.2,1.8
E02001394,92.8,3.3,0.5,3.4
E02001395,95.4,2.3,0.6,1.7
E02001396,92.7,2.5,0.9,3.9
E02001397,96.2,1.6,0.3,2
E02001398,92.7,2.7,0.5,4
E02001399,96.9,1.7,0.5,0.8
E02001400,94.3,2.2,0.6,2.9
E02001401,95.6,1.6,0.5,2.3
E02001402,95.2,2.2,0.6,2
E02001403,93.4,2.2,0.8,3.6
E02001404,94.1,1.5,0.7,3.8
E02001405,91,1.8,1.4,5.7
E02001429,97.8,1,0.4,0.8
E02001430,98.2,1.2,0.3,0.3
E02001431,96.4,1.2,0.4,2
E02001432,82.6,2.4,1.6,13.3
E02001433,94.8,1.7,1.2,2.3
E02001434,93.7,2.2,1.3,2.8
E02001435,88.2,3.2,2.2,6.4
E02001436,95.2,1.8,0.9,2
E02001437,97.3,1.2,0.2,1.3
E02001438,97.7,1.2,0.1,0.9
E02001439,97.4,1.2,0.3,1.1
E02001440,97.8,1.7,0.1,0.5
E02001441,98.2,1.2,0.1,0.6
E02001442,98.2,1.1,0.3,0.4
E02001443,98,1.4,0.2,0.4
E02001444,98.3,0.9,0.2,0.5
E02001445,99.4,0.3,0.1,0.2
E02001446,99,0.7,0.1,0.2
E02001447,99,0.7,0,0.3
E02001448,98.8,0.9,0.1,0.3
E02001449,98.7,0.8,0.1,0.4
E02001450,97.4,1.3,0.2,1
E02001451,97.8,0.5,0.2,1.5
E02001452,96.9,0.8,0.3,2
E02001453,97.9,1.2,0.2,0.8
E02001454,98.8,0.8,0,0.4
E02001455,98.8,0.5,0.2,0.5
E02001456,97.8,1.2,0.2,0.8
E02001457,95.7,1.1,0.4,2.8
E02001458,96.2,1.3,0.3,2.2
E02001459,97.4,0.8,0.6,1.3
