areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02001327,76.6,13.8,9.7
E02001328,80.1,12.5,7.4
E02001329,73.6,15.3,11.1
E02001330,75.7,14.2,10.1
E02001331,74.4,15.3,10.4
E02001332,74,15.5,10.5
E02001334,74.5,14.8,10.7
E02001336,72.6,15.2,12.2
E02001337,77.2,14.8,8
E02001338,77.7,13.8,8.5
E02001340,83.9,11.3,4.9
E02001341,75,14.9,10.2
E02001342,80.9,13.1,5.9
E02001343,81.6,12.8,5.6
E02001344,77.8,14.2,8
E02001345,81.3,12.6,6.1
E02001346,76.6,13.9,9.4
E02001347,77.1,13.9,9
E02001348,77.5,14.7,7.7
E02001349,78.4,14.4,7.2
E02001350,73.8,14.9,11.3
E02001351,72.6,16.6,10.8
E02001352,75.4,15.3,9.3
E02001353,81,12.5,6.4
E02001354,75.5,14.4,10.1
E02001355,74.5,15.7,9.8
E02001356,80.7,12,7.3
E02001357,74.1,15.6,10.3
E02001358,73.4,16.2,10.3
E02001359,77.6,14.5,7.8
E02001360,72.2,16.1,11.7
E02001361,74.6,14.8,10.6
E02001362,76,14.5,9.4
E02001363,75.8,14.5,9.7
E02001364,72.6,16.3,11.1
E02001365,78.7,13.3,8
E02001366,75.3,15.8,8.8
E02001367,81.8,12.3,5.9
E02001368,71,16.5,12.5
E02001369,70.6,16.2,13.2
E02001370,69.7,17.2,13
E02001371,76,14.7,9.3
E02001372,73.7,16.1,10.2
E02001373,77.3,14.1,8.6
E02001374,77.1,14.4,8.5
E02001375,74.4,15.8,9.7
E02001376,79.6,12.6,7.8
E02001377,83.3,10.8,5.9
E02001378,75.5,14.8,9.7
E02001380,83.4,11.4,5.2
E02001381,80.1,12.6,7.3
E02001382,84.6,11,4.4
E02001383,82,11.2,6.8
E02001384,85.4,10.3,4.3
E02001385,79.5,12,8.5
E02001386,71.3,16.2,12.5
E02001387,85.4,10.4,4.2
E02001388,87.1,8.9,4
E02001389,79.7,13.1,7.3
E02001390,73.3,15.5,11.1
E02001391,73,16.1,10.9
E02001392,81.8,13.3,4.8
E02001393,86.4,9.7,3.8
E02001394,78.9,14,7.1
E02001395,84.3,11.5,4.2
E02001396,77.9,13.8,8.3
E02001397,76.8,14.4,8.8
E02001398,80.2,13.4,6.4
E02001399,84.7,10.3,5
E02001400,78.1,13.9,8.1
E02001401,82.1,12.3,5.6
E02001402,84.2,11,4.7
E02001403,77.4,14,8.6
E02001404,76.7,14.5,8.7
E02001405,74.3,15.2,10.6
E02001429,78,15.6,6.3
E02001430,80.6,14.2,5.2
E02001431,70.8,19.3,9.8
E02001432,70.9,19.2,10
E02001433,80.7,13.3,5.9
E02001434,81.7,12.5,5.8
E02001435,79.4,14.2,6.3
E02001436,81.3,13,5.7
E02001437,78.1,14.9,7.1
E02001438,82.3,12.4,5.3
E02001439,78.5,14.7,6.8
E02001440,82,12.9,5.1
E02001441,83.5,11.5,5
E02001442,79.3,14.7,6
E02001443,83,12.7,4.3
E02001444,82.4,13.3,4.3
E02001445,81.8,12.5,5.7
E02001446,82.7,12.3,5
E02001447,79.7,14.5,5.8
E02001448,82.6,12.2,5.2
E02001449,80.4,13.2,6.4
E02001450,83.7,11.7,4.6
E02001451,72.5,16.9,10.6
E02001452,71,17.5,11.5
E02001453,83.6,11.5,4.9
E02001454,80.9,12.9,6.2
E02001455,81.2,12.7,6.1
E02001456,80,14.1,5.9
E02001457,74.9,15.6,9.5
E02001458,81.6,12.3,6.1
E02001459,78.3,14,7.6
E02001460,73.6,16.5,9.9
E02001461,81,12.7,6.3
E02001462,72.9,16.9,10.2
E02001463,76.8,14,9.2
E02001464,73.2,17.8,9
E02001465,69.2,19,11.8
E02001466,76.7,15,8.2
E02001467,74.1,17,8.9
E02001468,76.8,15.1,8.1
E02001469,80.7,13.1,6.1
E02001470,82.6,12.6,4.8
E02001471,73.6,16.5,9.9
E02001472,79.4,13.4,7.3
E02001473,77.9,15.2,6.9
E02001474,72.2,16.9,10.9
E02001475,72.4,16.9,10.7
E02001476,74.2,15.5,10.3
E02001477,73.4,15.7,10.8
E02001478,75.3,16,8.7
E02001479,84,11.4,4.6
E02001480,80.1,13.9,6
E02001481,79.6,13.6,6.8
E02001482,67.5,19.5,13
E02001483,80.3,13.7,5.9
E02001484,79.9,13.3,6.9
E02001485,76.7,14.5,8.8
E02001486,74.6,16.7,8.7
E02001487,75.3,14.9,9.8
E02001488,78.3,14.2,7.5
E02001489,81.7,13.5,4.7
E02001490,81.4,13.2,5.4
E02001491,73.8,17.2,9
E02001492,81.2,13.7,5.1
E02001493,71.2,16.8,12
E02001494,86.4,10.2,3.5
E02001495,77.8,14.4,7.8
E02001496,81.9,12.2,5.9
E02001497,75.7,15.6,8.8
E02001498,83,11.6,5.4
E02001499,81.3,13.8,4.9
E02001500,80.8,13.9,5.3
E02001501,82.9,11.8,5.3
E02001502,81.4,12.1,6.6
E02001503,80.2,12.8,7
E02001504,84.3,11.5,4.2
E02001505,79.1,13.9,7
E02001506,86.2,10.5,3.2
E02001507,83.1,12.6,4.2
E02001508,79.4,13.9,6.7
E02002633,74.3,17.5,8.2
E02002634,72,17.7,10.4
E02002635,75.9,16.6,7.5
E02002636,75.9,15.8,8.2
E02002637,78.4,15.4,6.2
E02002638,68.5,19.4,12.2
E02002639,69.8,17.9,12.3
E02002640,69.6,19.4,11
E02002641,78,14,7.9
E02002642,68.9,19.8,11.3
E02002643,75.5,15.4,9.1
E02002644,79.1,14.7,6.2
E02002645,68.2,19.4,12.3
E02002646,71.5,17.9,10.7
E02002647,73.8,17,9.2
E02002648,74.2,16.9,8.8
E02002649,74,16.8,9.1
E02002650,77.5,15.6,6.9
E02002651,74.9,17,8
E02003794,82.8,12.3,4.8
E02003795,82.7,12.8,4.5
E02003796,80.3,13.7,6
E02003797,85.9,10.9,3.2
E02003798,77.1,14.3,8.6
E02003799,76.1,16.1,7.9
E02003801,83.8,11.3,4.8
E02003802,80.9,13,6.1
E02003803,84.8,11.6,3.6
E02003804,83.9,11.4,4.7
E02003805,85.6,11.3,3.1
E02003806,87.3,9.3,3.4
E02003807,84.3,11.5,4.2
E02003808,81.2,12.3,6.6
E02003841,80.8,13.6,5.6
E02003842,84.9,11,4
E02003843,77.2,15.3,7.6
E02003844,81.8,13,5.1
E02003845,78.7,13.9,7.4
E02003846,77.3,14.3,8.3
E02003847,86.6,10.1,3.3
E02003848,76.7,15.2,8.1
E02003849,77.3,14.2,8.5
E02003850,80.2,14.1,5.7
E02003851,83.4,12.1,4.5
E02003852,82.7,12.9,4.4
E02003978,79.7,14.3,6
E02003979,81.4,13.1,5.5
E02003980,73.5,17.1,9.4
E02003981,82.3,12.6,5.1
E02003982,82.1,12.2,5.7
E02003983,75,16,9
E02003984,70.3,19.1,10.6
E02003985,75.6,16.8,7.6
E02003986,76.5,15.7,7.8
E02005203,83.2,12,4.8
E02005204,81.4,13.5,5
E02005205,82.5,12.8,4.8
E02005206,77.4,16.2,6.5
E02005207,79.9,14.2,5.9
E02005208,73.9,18,8.1
E02005209,79.4,14.6,6
E02005210,79,15,6
E02005211,81.2,13.9,4.9
E02005224,74.3,17.7,8
E02005226,73,18.4,8.6
E02005228,78,15.3,6.6
E02005229,73.9,17,9.1
E02005230,72.2,18.5,9.3
E02005236,79.8,14.4,5.8
E02005304,84,11.6,4.4
E02005305,78.7,14.9,6.4
E02005306,81.6,13.4,5.1
E02005307,81.8,13.1,5.1
E02005309,82.8,12.5,4.7
E02005310,82.5,12.4,5.1
E02005311,85.1,11.2,3.8
E02005315,83.7,11.6,4.7
E02005319,71.4,17.9,10.7
E02005320,77.7,15.6,6.7
E02005321,71,19.2,9.9
E02005322,74.9,17.7,7.4
E02005323,76.6,15.3,8.1
E02005326,71.6,19.3,9.1
E02005327,82.7,12.4,5
E02005328,76.4,16.3,7.3
E02005329,78.4,15.4,6.2
E02005330,80,14.1,5.9
E02005331,79.9,13.6,6.6
E02005332,82,13.1,4.9
E02006017,81.3,13.5,5.2
E02006023,80.5,14.2,5.3
E02006024,79.6,14.4,5.9
E02006025,81.1,14.1,4.8
E02006026,83.4,12.4,4.2
E02006027,82.2,13.6,4.1
E02006028,82.4,12.6,4.9
E02006039,81.6,13,5.4
E02006041,81.7,13.5,4.8
E02006871,79.9,14.2,6
E02006932,91.1,7.1,1.7
E02006933,84.5,10.2,5.3
E02006934,87.6,8.3,4.1
W02000001,77.6,16,6.4
W02000002,79.3,15.6,5
W02000003,77.4,15.3,7.3
W02000004,80.4,14.2,5.4
W02000005,78.9,15.4,5.6
W02000006,81.5,13.7,4.8
W02000007,79.4,14.7,5.9
W02000008,81.8,13.7,4.6
W02000009,80.4,14.2,5.4
W02000010,85,11.3,3.7
W02000011,81.7,13,5.3
W02000012,83.2,12.4,4.4
W02000013,84.2,11.8,3.9
W02000014,82.9,12.1,5
W02000015,81.4,13.4,5.2
W02000016,81.7,12.4,5.9
W02000017,80.4,13.6,6
W02000018,80.4,13.9,5.7
W02000019,80.5,14.5,5
W02000020,80.7,13.5,5.8
W02000021,81.3,13.4,5.4
W02000022,78.7,15.2,6.2
W02000023,83.9,11.9,4.2
W02000024,82.7,13.1,4.2
W02000025,80.2,14.3,5.5
W02000026,75.4,17.9,6.7
W02000027,74.2,17.8,8
W02000028,77.3,16,6.7
W02000029,79.8,15.5,4.7
W02000030,75.2,17.8,7
W02000031,70.5,19,10.5
W02000032,80.6,13.5,5.9
W02000033,74.7,17.4,7.9
W02000034,80,14.4,5.6
W02000035,79,14.7,6.2
W02000036,73.7,18.4,7.9
W02000037,81.3,13.4,5.3
W02000038,80.2,14.6,5.2
W02000039,80,14,6
W02000040,82.8,12.3,5
W02000041,82.5,12.5,5
W02000042,71.8,18.6,9.6
W02000043,75.3,15.7,9
W02000044,76.4,16.4,7.2
W02000045,68.2,20.4,11.4
W02000047,75.2,15.4,9.4
W02000049,80.6,13.5,5.9
W02000050,79.4,14.7,5.9
W02000051,78,15.4,6.6
W02000052,75.4,17,7.6
W02000053,83.4,12.4,4.3
W02000054,84,11.9,4.1
W02000055,81.3,13.8,4.9
W02000056,84.2,11.3,4.5
W02000057,79.6,14.5,5.9
W02000058,75.4,16.7,7.9
W02000059,80.2,13.6,6.1
W02000060,76.8,16,7.2
W02000061,77.4,14.9,7.8
W02000062,82,12.8,5.2
W02000063,81.4,13.6,5
W02000064,78.1,15,7
W02000065,82.3,12.9,4.8
W02000066,77.6,15,7.4
W02000067,84.2,11.2,4.6
W02000068,77.8,15.9,6.4
W02000069,83.8,11.6,4.6
W02000070,85.5,10.2,4.3
W02000071,81.8,13.4,4.8
W02000072,82.4,12.7,4.9
W02000073,80.2,14.1,5.8
W02000074,80,13.7,6.3
W02000075,86.6,10.2,3.2
W02000076,81.3,13.9,4.8
W02000077,81.5,13.3,5.2
W02000080,79.3,14.5,6.1
W02000081,77.1,14.4,8.4
W02000082,79.5,14.4,6
W02000083,81.1,14,5
W02000085,78.9,15.2,5.8
W02000087,73.9,16.5,9.7
W02000088,81.7,12.7,5.7
W02000089,77.8,14.7,7.4
W02000090,79.3,14.1,6.7
W02000091,80.2,13.8,6
W02000092,76.5,16,7.5
W02000093,82.1,12.5,5.3
W02000094,76.7,15.8,7.4
W02000095,83,12.5,4.5
W02000096,78.6,15.7,5.8
W02000097,82.3,13.3,4.4
W02000098,81.7,13.3,5.1
W02000099,76.6,16.1,7.3
W02000100,78.3,15.2,6.5
W02000101,81.8,13.8,4.4
W02000102,80.8,14.3,4.9
W02000103,81,13.9,5.1
W02000104,77.6,16.1,6.3
W02000105,76.4,16.7,6.9
W02000419,76.9,15.1,7.9
W02000424,83.6,11.9,4.5
W02000425,81.7,13.5,4.8
W02000426,79.7,14.5,5.8
