areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02001327,7.2,22.5,70.3
E02001328,4.6,27.8,67.6
E02001329,6.1,38.8,55.1
E02001330,5.1,32.4,62.5
E02001331,6.5,32.2,61.3
E02001332,5.4,35.6,59
E02001334,5,31,64
E02001336,5.1,34.9,60
E02001337,5.7,30.2,64.1
E02001338,5.1,31.3,63.6
E02001340,3.7,25.6,70.8
E02001341,4.7,35.7,59.6
E02001342,3.7,24.4,71.9
E02001343,4.7,26.2,69.1
E02001344,4.5,35.2,60.3
E02001345,3.1,28.7,68.2
E02001346,5.3,35.1,59.6
E02001347,5.4,31.3,63.2
E02001348,4.1,35.5,60.4
E02001349,4.5,32.8,62.7
E02001350,5.9,34.6,59.5
E02001351,6.1,31.5,62.4
E02001352,6.2,37.7,56.2
E02001353,5.3,26.4,68.3
E02001354,5.2,33.4,61.3
E02001355,5.7,39.6,54.8
E02001356,5.4,24.2,70.3
E02001357,6.5,27.5,66
E02001358,6.6,40.3,53.1
E02001359,5.8,29.6,64.6
E02001360,7.4,41.7,50.9
E02001361,5.2,35.9,58.9
E02001362,5.4,31.5,63.1
E02001363,5.3,36.1,58.6
E02001364,7.2,39.4,53.5
E02001365,8.9,38.3,52.8
E02001366,6.6,37.1,56.2
E02001367,4.7,31.1,64.2
E02001368,7.2,42.5,50.3
E02001369,7.5,43.7,48.7
E02001370,7.1,43.1,49.8
E02001371,5.1,31.9,63
E02001372,4.2,38.8,57
E02001373,6.7,35.9,57.4
E02001374,9.7,46.1,44.2
E02001375,5.6,36.1,58.2
E02001376,21.2,33.1,45.6
E02001377,22.1,40.6,37.3
E02001378,5.7,40.3,54
E02001380,4.4,25.3,70.3
E02001381,12.5,36.6,50.9
E02001382,4.5,21.9,73.6
E02001383,10.3,57.4,32.4
E02001384,35.8,30.3,33.9
E02001385,10.4,39,50.6
E02001386,4.4,38.6,57
E02001387,5.4,26.7,67.9
E02001388,13.1,29.2,57.7
E02001389,7.4,54.6,38.1
E02001390,8.2,40.3,51.6
E02001391,5.4,32.7,62
E02001392,3.3,30,66.7
E02001393,3.8,23.8,72.4
E02001394,8.6,48.1,43.3
E02001395,4.5,28.6,66.9
E02001396,7.1,41.3,51.6
E02001397,2.7,44.5,52.9
E02001398,7.1,43.5,49.5
E02001399,4.8,24.3,71
E02001400,5.1,32.2,62.6
E02001401,4.1,30.5,65.4
E02001402,4.6,32.2,63.2
E02001403,5.2,35.9,58.9
E02001404,5.2,32.6,62.2
E02001405,5.2,32.9,61.9
E02001429,3.5,31,65.5
E02001430,2.9,28.1,69.1
E02001431,2.9,45.4,51.7
E02001432,6.4,56.6,37
E02001433,4.8,28.3,67
E02001434,6.6,26,67.4
E02001435,9.8,36,54.2
E02001436,5.1,28.7,66.2
E02001437,4,38.3,57.7
E02001438,3.5,27.8,68.7
E02001439,4.3,34.1,61.6
E02001440,4.7,25.3,70
E02001441,3,25,72
E02001442,3.6,34.4,62.1
E02001443,3.7,24.8,71.5
E02001444,3.1,29.7,67.2
E02001445,4.7,28.7,66.6
E02001446,3.1,28.7,68.2
E02001447,3.3,31.9,64.8
E02001448,3.3,27.7,69
E02001449,4,27.9,68.1
E02001450,4.3,32.2,63.5
E02001451,5.1,34.6,60.3
E02001452,4.7,38.3,57
E02001453,3.9,25.9,70.2
E02001454,5.2,26.4,68.4
E02001455,4.3,27.2,68.5
E02001456,5.2,32.7,62.2
E02001457,4.7,35.4,59.9
E02001458,5.6,36.5,57.9
E02001459,5.1,28.6,66.3
E02001460,4.2,48.1,47.7
E02001461,4.1,30.7,65.2
E02001462,4.4,39.5,56.1
E02001463,5.8,28.5,65.6
E02001464,5.6,40.1,54.3
E02001465,6.6,48.7,44.7
E02001466,6.8,33.2,60
E02001467,4.7,46.9,48.4
E02001468,5.4,37.4,57.2
E02001469,4.4,35.5,60.1
E02001470,5.1,25.8,69.2
E02001471,5.4,41,53.6
E02001472,4.7,26.9,68.4
E02001473,4.5,34.2,61.3
E02001474,5.4,39.8,54.8
E02001475,4.7,36.8,58.6
E02001476,4.2,36.9,58.9
E02001477,5.2,35.5,59.3
E02001478,5,33.8,61.3
E02001479,3.2,27.6,69.2
E02001480,3.5,35.8,60.7
E02001481,4.4,31.6,64
E02001482,5.1,55.7,39.3
E02001483,3.7,29.9,66.4
E02001484,3.3,34.1,62.6
E02001485,4.6,29.8,65.6
E02001486,3.3,53.6,43.1
E02001487,4.9,42.3,52.8
E02001488,4.6,39.2,56.1
E02001489,2.5,29.9,67.6
E02001490,3.6,24.7,71.7
E02001491,4.6,39.6,55.8
E02001492,2.9,38,59.1
E02001493,4.2,41.9,53.9
E02001494,3.4,26.3,70.4
E02001495,4.8,34.7,60.4
E02001496,4.1,28.1,67.8
E02001497,4.8,36.6,58.7
E02001498,3.5,27.6,68.9
E02001499,3.2,28.8,68
E02001500,3.6,29.1,67.3
E02001501,3.2,27.4,69.4
E02001502,3.3,32.6,64
E02001503,2.8,36.8,60.4
E02001504,2.2,26.8,70.9
E02001505,4,31.5,64.5
E02001506,2.5,24.8,72.7
E02001507,4.2,27.4,68.4
E02001508,4,29.2,66.9
E02002633,4.4,35.7,59.9
E02002634,3.2,41.3,55.6
E02002635,4.8,36.8,58.4
E02002636,4.2,34.8,61
E02002637,6.5,28.3,65.2
E02002638,8.8,52.2,39.1
E02002639,6,40.2,53.8
E02002640,7.1,43.1,49.8
E02002641,6.1,33.1,60.9
E02002642,8.4,51.4,40.1
E02002643,8.8,35,56.2
E02002644,4.6,31.9,63.5
E02002645,8.9,49.2,41.9
E02002646,4.8,38.5,56.8
E02002647,7.3,34.8,57.9
E02002648,5.7,33,61.3
E02002649,6,38.5,55.5
E02002650,4.9,33.6,61.5
E02002651,4.8,33.2,61.9
E02003794,4.3,27.6,68.1
E02003795,4.5,25.9,69.6
E02003796,2.9,34.1,63
E02003797,4.7,28.7,66.6
E02003798,5.8,29.7,64.5
E02003799,4,32.9,63.1
E02003801,3.4,27.4,69.2
E02003802,9.3,49.6,41.1
E02003803,15.9,44.7,39.4
E02003804,6.3,37.5,56.1
E02003805,3.3,25.2,71.5
E02003806,2.4,25.2,72.4
E02003807,3.4,32.4,64.2
E02003808,4.5,31.7,63.8
E02003841,4.4,33.9,61.7
E02003842,3.3,27,69.7
E02003843,4.2,34.3,61.5
E02003844,4.5,29.2,66.3
E02003845,4.6,38.6,56.8
E02003846,4.5,32.9,62.6
E02003847,2.9,24.1,73
E02003848,4.9,30.6,64.5
E02003849,5.3,31,63.7
E02003850,3.2,28.8,68
E02003851,3.5,23.9,72.6
E02003852,3.4,25.8,70.8
E02003978,2.9,33.7,63.4
E02003979,3.3,29.9,66.8
E02003980,3.2,42.1,54.8
E02003981,3,33.5,63.4
E02003982,3,26.1,71
E02003983,3.4,37.5,59.1
E02003984,4.2,50.4,45.5
E02003985,2.4,35,62.5
E02003986,2.4,40.7,56.9
E02005203,4.8,23.7,71.5
E02005204,4.1,30,65.9
E02005205,4.6,24.8,70.7
E02005206,4.1,34.8,61.1
E02005207,3.1,31.5,65.4
E02005208,4.1,48.4,47.6
E02005209,3.4,30.6,66
E02005210,3,37.8,59.3
E02005211,2.7,38.3,59
E02005224,2.4,40.8,56.8
E02005226,6,41.5,52.5
E02005228,6.8,28.1,65.1
E02005229,7.7,43.8,48.4
E02005230,4.2,35.1,60.7
E02005236,4.8,28.5,66.6
E02005304,4.1,24.5,71.4
E02005305,4.4,27.8,67.8
E02005306,4.8,25.5,69.7
E02005307,4,27.9,68.1
E02005309,5.5,26.5,68
E02005310,13.5,37.2,49.2
E02005311,5.2,25.1,69.7
E02005315,2.9,26.9,70.2
E02005319,5.4,44,50.6
E02005320,4.1,27.3,68.7
E02005321,4.3,28.9,66.7
E02005322,4,32.4,63.6
E02005323,4.6,29.1,66.2
E02005326,4.8,38.7,56.5
E02005327,4.7,23.1,72.2
E02005328,3,32.1,64.9
E02005329,4,32.9,63.1
E02005330,3.9,28.4,67.7
E02005331,3.1,36.7,60.2
E02005332,3.3,30,66.8
E02006017,4.2,30.4,65.5
E02006023,4.4,27.4,68.2
E02006024,5.3,31,63.7
E02006025,5.1,37,57.9
E02006026,4.9,24.5,70.6
E02006027,5.8,23.5,70.6
E02006028,5.5,26.1,68.4
E02006039,4.3,26.5,69.2
E02006041,5,28.5,66.5
E02006871,3.8,29.5,66.7
E02006932,15.3,53.2,31.5
E02006933,14.5,44.6,40.9
E02006934,11.3,54.2,34.5
W02000001,4.6,32.4,63.1
W02000002,3.8,30.8,65.4
W02000003,3.5,37.7,58.8
W02000004,3.7,30.5,65.8
W02000005,3.5,33.5,63
W02000006,3.4,33.2,63.4
W02000007,5.2,30.7,64.1
W02000008,3.1,37,59.9
W02000009,4.4,29.9,65.8
W02000010,24.5,36.7,38.8
W02000011,7.6,28.2,64.2
W02000012,4.7,33,62.3
W02000013,4.1,30.6,65.2
W02000014,5.7,32.4,62
W02000015,4.6,33.2,62.1
W02000016,4.6,32.6,62.8
W02000017,3.7,31.7,64.6
W02000018,3.1,39.3,57.6
W02000019,4.4,37.4,58.2
W02000020,3.9,33.8,62.2
W02000021,4.1,35.8,60.1
W02000022,3.8,37.4,58.8
W02000023,4.3,33.4,62.3
W02000024,4,35.1,61
W02000025,3.6,37.6,58.7
W02000026,3.2,40.1,56.7
W02000027,5.4,46.5,48
W02000028,4.7,33.3,62
W02000029,3.1,31.5,65.4
W02000030,3.1,41.8,55.1
W02000031,5.6,30.2,64.2
W02000032,3.6,33.4,63
W02000033,5.4,40.6,54
W02000034,3.8,32.4,63.8
W02000035,4.9,29.5,65.6
W02000036,3.3,35.6,61
W02000037,3.9,30.2,65.9
W02000038,4.3,32.2,63.6
W02000039,3.9,36,60.1
W02000040,4.6,26.5,68.9
W02000041,4.6,30.9,64.5
W02000042,4.2,34.1,61.7
