areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02001327,41.6,23,17.8,17.6
E02001328,35.3,24.9,23,16.8
E02001329,48.3,17.2,16.6,17.9
E02001330,46.4,18.4,17.2,18
E02001331,45.3,17.2,19.1,18.4
E02001332,52,13.5,16.3,18.2
E02001334,55.5,10.9,15.3,18.3
E02001336,54.9,13.1,13.8,18.2
E02001337,48.1,15.3,20.3,16.2
E02001338,50.9,11.4,20.8,17
E02001340,45.9,10.7,27.6,15.8
E02001341,45.9,16.6,21,16.5
E02001342,41.6,14.4,29.9,14.2
E02001343,34.8,22.2,28.4,14.6
E02001344,41.1,19.3,25.2,14.4
E02001345,37.8,23.2,25.7,13.2
E02001346,42.2,23.1,18.4,16.3
E02001347,51.4,12.5,20.6,15.5
E02001348,47,13.7,22.9,16.4
E02001349,46.1,11.8,26.6,15.5
E02001350,52.7,13.9,16.8,16.6
E02001351,54.4,11.6,15.2,18.8
E02001352,52.4,11.6,19.5,16.5
E02001353,44.2,12.8,26.6,16.5
E02001354,53.3,12.7,17.9,16.1
E02001355,50.2,12.2,20.2,17.4
E02001356,52.5,12.4,19,16.1
E02001357,56.6,10.1,14.8,18.5
E02001358,54.9,10.9,15.9,18.3
E02001359,47,13.3,23.4,16.3
E02001360,54.4,13,14.8,17.8
E02001361,52.7,9.8,19.7,17.8
E02001362,48.7,10.6,23,17.8
E02001363,53,11,18.4,17.5
E02001364,54.4,11.9,16.4,17.3
E02001365,54.3,10.9,16.1,18.8
E02001366,51.1,11.1,21.9,15.9
E02001367,45.3,9.7,31.1,13.9
E02001368,51.2,12.8,19.7,16.3
E02001369,52.1,12.9,19.8,15.2
E02001370,58,11.5,13.4,17
E02001371,55.3,8.7,18.8,17.1
E02001372,50.5,9.3,24.7,15.5
E02001373,54.3,8.2,22.8,14.7
E02001374,53.3,11,20,15.7
E02001375,53.9,8.5,21.7,16
E02001376,53.4,14.6,15.5,16.5
E02001377,52.7,14.9,20.4,12
E02001378,50.3,10,26.8,12.9
E02001380,45.1,9.5,33.1,12.2
E02001381,52.1,9.8,23.9,14.2
E02001382,43.6,9.3,35.2,11.9
E02001383,47.3,11.3,30.6,10.7
E02001384,50.4,12.5,26,11
E02001385,48.5,10.2,22.7,18.7
E02001386,52.9,10,20.8,16.2
E02001387,39.6,9.1,42,9.3
E02001388,41.2,11.7,39.2,7.8
E02001389,42,10.5,35.9,11.5
E02001390,52.4,9,24.5,14.1
E02001391,49.8,14.8,17.5,17.8
E02001392,41,10.6,35.9,12.6
E02001393,35.7,12.7,43.4,8.2
E02001394,40,12.6,38.4,9.1
E02001395,38.2,11.2,39.7,10.9
E02001396,45.3,10.3,32.8,11.7
E02001397,42,14.2,32.1,11.8
E02001398,36.8,11.3,41.1,10.8
E02001399,36.7,13.1,39.3,10.8
E02001400,45.7,12.9,29.7,11.7
E02001401,42.4,16.5,29.2,11.9
E02001402,36.8,13.5,40.4,9.3
E02001403,47.8,14.4,26.3,11.4
E02001404,49.2,16.5,20,14.3
E02001405,46.9,23.3,14.2,15.6
E02001429,35.5,24.1,22.2,18.1
E02001430,34.9,23.4,27.8,13.9
E02001431,33.6,21.5,29.9,15
E02001432,43.5,23.8,18.8,13.9
E02001433,39.6,21.1,21.6,17.7
E02001434,41.3,20.5,23.2,15
E02001435,39.7,21.8,21.9,16.6
E02001436,40.5,20.7,22.9,15.8
E02001437,26.9,22.6,38.1,12.3
E02001438,35.4,21.9,26.9,15.8
E02001439,33.8,25.9,25.3,15
E02001440,26.4,27.4,35,11.2
E02001441,17.6,31.9,40.2,10.4
E02001442,21.3,30.8,36.4,11.5
E02001443,18.2,33.9,36.4,11.4
E02001444,23,31.4,31.7,13.9
E02001445,29.1,26.4,30.8,13.6
E02001446,29.3,26.9,30.3,13.5
E02001447,29.8,24.7,31.4,14.1
E02001448,30.9,23.1,32.3,13.8
E02001449,29.3,22.9,32.6,15.2
E02001450,27.6,20.4,40.5,11.5
E02001451,43.6,16.5,20.5,19.5
E02001452,44.7,15.9,19.9,19.5
E02001453,33.2,19.9,34.7,12.3
E02001454,34.3,21.4,28.4,15.8
E02001455,38.3,17.8,29,14.8
E02001456,32,17.4,38.1,12.5
E02001457,44.5,17.8,20.7,17
E02001458,36.4,16.8,33.8,13
E02001459,44.5,14.6,23.9,17
E02001460,40.9,15.9,27.9,15.3
E02001461,43.3,15.1,26.9,14.8
E02001462,46.3,17.4,19,17.3
E02001463,44.8,15.5,22.3,17.3
E02001464,48.9,13.8,19.4,17.9
E02001465,45.7,17.2,19.1,17.9
E02001466,46.7,15.2,21.8,16.2
E02001467,38,15.6,32.1,14.3
E02001468,43.7,15.3,27.6,13.4
E02001469,40,14.3,31.1,14.6
E02001470,40.2,15.9,30.1,13.7
E02001471,49.2,13.1,21.8,16
E02001472,44,16.7,23.8,15.5
E02001473,48.3,13.7,22.9,15
E02001474,56.5,12.4,15.7,15.4
E02001475,48.7,17.9,18.1,15.3
E02001476,54.5,12.7,16.7,16.2
E02001477,57.1,14.1,14.5,14.3
E02001478,44,18.3,23.2,14.4
E02001479,31.1,23.8,31.8,13.3
E02001480,25.7,26,36.7,11.6
E02001481,45.5,13.6,26.9,13.9
E02001482,53.2,11.8,18.6,16.4
E02001483,40.4,17.4,26.8,15.4
E02001484,44.7,16.8,25.6,13
E02001485,54,13.5,16.8,15.7
E02001486,43.1,12.8,31,13.1
E02001487,54.1,12.9,16.5,16.5
E02001488,48.5,13.3,25.1,13.2
E02001489,36.5,18.3,33.3,11.9
E02001490,45.8,15,24.4,14.8
E02001491,56,12.6,15.5,15.9
E02001492,25.1,26.3,36.8,11.8
E02001493,53.7,15.9,15.5,14.9
E02001494,25.3,24.4,41.5,8.8
E02001495,49,14.6,22,14.4
E02001496,44.8,12.7,28.6,13.9
E02001497,52,14.3,21,12.7
E02001498,44.4,14.8,29.5,11.3
E02001499,35,19.6,31.6,13.8
E02001500,38.6,17.5,30.5,13.5
E02001501,41.4,16.5,31.1,11.1
E02001502,42.7,16,28.8,12.4
E02001503,35.7,19.9,32.6,11.7
E02001504,34.7,18,36,11.2
E02001505,42.7,19.3,25.4,12.6
E02001506,28.2,21,41.5,9.3
E02001507,37.1,22.5,30.3,10.1
E02001508,37.7,25.3,24.2,12.9
E02002633,48.2,12,21.3,18.5
E02002634,49,12,22.2,16.8
E02002635,47.9,11.2,24.6,16.3
E02002636,50.9,10.5,21.8,16.9
E02002637,51.5,11,21.7,15.8
E02002638,49.8,9.7,25.3,15.2
E02002639,63.7,7.9,11.6,16.9
E02002640,61.1,11.7,11.5,15.7
E02002641,57.3,10,18.2,14.5
E02002642,55.5,7.8,23,13.7
E02002643,56.5,8.6,16.2,18.6
E02002644,52,8.9,21.9,17.1
E02002645,49.3,8.9,26.8,14.9
E02002646,55,9.6,17.6,17.8
E02002647,58.8,9,14,18.2
E02002648,58.8,9.2,14.8,17.2
E02002649,48.4,11.9,22.5,17.2
E02002650,49.7,10.2,22.7,17.4
E02002651,49.1,11.2,23.5,16.3
E02003794,28.5,25.6,33.1,12.8
E02003795,34.1,23.5,30.5,11.8
E02003796,39.7,16.9,31,12.4
E02003797,35.8,18.8,37,8.5
E02003798,56.7,13.2,14.9,15.3
E02003799,54.9,14.5,15.5,15
E02003801,33,19.9,37.2,9.8
E02003802,38.7,19.2,33.2,8.9
E02003803,41.3,19.3,30.4,9.1
E02003804,32.1,20.7,37.3,9.9
E02003805,22.5,23.3,43.5,10.6
E02003806,24.6,24.2,42.7,8.5
E02003807,28.4,21.4,42,8.2
E02003808,39.4,20.5,27.4,12.8
E02003841,27.6,28.8,32,11.5
E02003842,18.9,30.4,39.5,11.2
E02003843,42.1,24.2,19.7,14
E02003844,25.8,29.8,30.7,13.7
E02003845,45,23.7,16.7,14.6
E02003846,48,21.8,16.3,13.9
E02003847,33.8,23.7,31.2,11.3
E02003848,49.4,20.8,16.4,13.5
E02003849,47.5,21.5,15.9,15
E02003850,47.3,19.9,19.7,13.1
E02003851,40.3,22.3,26,11.4
E02003852,40.9,20.9,26.2,11.9
E02003978,59.3,8.1,19.6,13.1
E02003979,55.9,9,27.1,8.1
E02003980,62.9,10.6,13.3,13.3
E02003981,59.3,9.1,22.5,9
E02003982,55.7,9.5,25.7,9.1
E02003983,62.2,10.2,14.5,13.1
E02003984,63.6,11.8,12,12.6
E02003985,61.6,9.9,17,11.5
E02003986,61.6,9.9,17.5,11
E02005203,37.2,18.3,30.9,13.5
E02005204,33.9,23.5,27.8,14.9
E02005205,28.9,24.9,31.7,14.5
E02005206,44.3,15,26,14.7
E02005207,41.1,13.4,33.9,11.6
E02005208,39.3,14.2,32.9,13.5
E02005209,29.4,26.9,29.8,13.9
E02005210,35.1,15.1,38.2,11.5
E02005211,33,18.5,36.8,11.7
E02005224,47.3,12.1,25.4,15.3
E02005226,57.4,13.4,14.3,14.9
E02005228,53.1,12.5,14.3,20.1
E02005229,52,13.7,16,18.3
E02005230,54.6,13.9,13.5,17.9
E02005236,47.5,15.7,21.1,15.6
E02005304,24.7,32,28.9,14.4
E02005305,29.1,26.6,27.3,17
E02005306,27.5,24.7,29.8,18
E02005307,31.7,27.2,26.4,14.7
E02005309,30.7,28.8,27.7,12.8
E02005310,30.8,35.5,23.2,10.5
E02005311,24.1,28.6,32.8,14.4
E02005315,23.9,27.8,36.8,11.6
E02005319,43,22.3,16,18.7
E02005320,38.9,22.1,19.4,19.7
E02005321,42,20,19.8,18.1
E02005322,31.3,25,25.7,18.1
E02005323,43.2,19.4,20.1,17.4
E02005326,43.4,14,24.1,18.5
E02005327,21.2,28.9,32.8,17.1
E02005328,42.6,15.8,27.2,14.4
E02005329,45,14.5,24.4,16.2
E02005330,40.7,13.8,29.8,15.7
E02005331,41.5,12.8,31.3,14.4
E02005332,43.2,12.7,30.4,13.7
E02006017,23.4,35.6,26.6,14.4
E02006023,36.1,27.2,21.5,15.2
E02006024,43.3,28.1,13.4,15.2
E02006025,35.8,32.7,18.4,13.2
E02006026,24,34,26.3,15.8
E02006027,21.9,30,30.5,17.5
E02006028,26.6,27.4,30.2,15.7
E02006039,23.1,31.8,27.4,17.7
E02006041,16.3,30,33.9,19.7
E02006871,51.2,13.3,19,16.4
E02006932,46.3,19.1,27.7,6.8
E02006933,46.2,12.9,33.9,6.9
E02006934,40.9,13.7,39.7,5.7
W02000001,20.2,40.6,20.8,18.4
W02000002,14.7,36.4,31,17.9
W02000003,43.5,27.9,12.2,16.4
W02000004,31.1,29.4,23.6,15.9
W02000005,29.7,26.2,28.8,15.3
W02000006,35.1,33.4,17.4,14.1
W02000007,26.4,34.6,22.5,16.5
W02000008,42.4,21.4,24,12.3
W02000009,31.6,25.7,26.7,16
W02000010,38.9,28.4,21.5,11.2
W02000011,44.5,24.4,18.6,12.5
W02000012,33.5,26.3,23.5,16.7
W02000013,41.1,20.6,25,13.3
W02000014,35.3,23.1,24.4,17.3
W02000015,39.3,28.4,19.4,12.9
W02000016,30.3,31.2,24.6,14
W02000017,25,36.8,22.7,15.6
W02000018,26,36.7,19.1,18.3
W02000019,34,27,22.4,16.6
W02000020,27,32.3,24.6,16.1
W02000021,35.2,25.9,20.7,18.2
W02000022,28.4,28.4,25.4,17.9
W02000023,16,25.6,33.6,24.7
W02000024,22.9,27.8,31.6,17.8
W02000025,30.9,26.7,24.3,18.1
W02000026,27.9,27.6,25.8,18.7
W02000027,46.1,14.9,25.3,13.7
W02000028,50.6,18.9,15.9,14.6
W02000029,41,23.2,22.1,13.7
W02000030,41.9,20.4,24.3,13.4
W02000031,45.3,24.7,14.9,15.1
W02000032,39.4,21.5,23.6,15.6
W02000033,46,19.9,18.6,15.5
W02000034,35.7,23.8,27.3,13.2
W02000035,33.1,29.4,20.7,16.8
W02000036,38.1,29.1,18.5,14.2
W02000037,45.1,21,18.5,15.4
W02000038,31.4,23.9,29.1,15.6
W02000039,24,31.7,27.8,16.6
W02000040,13.5,33.4,34.2,18.9
W02000041,22.4,31.3,27.9,18.4
W02000042,42.6,25.9,16.8,14.6
W02000043,38.6,27.7,20.1,13.6
W02000044,44.3,25.1,17.6,13
W02000045,50.3,20.8,13.5,15.4
W02000047,57.4,19.1,9.2,14.3
W02000049,36.9,24.2,24.4,14.6
W02000050,45.6,24.2,16.9,13.3
W02000051,37.4,22.3,26.5,13.8
W02000052,34.9,35.1,16.6,13.5
W02000053,27.9,34.1,24.6,13.4
W02000054,17.1,32.8,35.8,14.4
W02000055,27.6,34.8,20.9,16.7
W02000056,19.3,32.7,30.7,17.3
W02000057,21.6,35.7,26.6,16
W02000058,22.2,42.3,19.8,15.6
W02000059,21.7,42.3,22.4,13.6
W02000060,31.6,40.1,13,15.2
W02000061,46,28.3,13.7,12
W02000062,43.2,26.4,18.9,11.5
W02000063,18,35.3,31.6,15.1
W02000064,53.6,23.4,11.8,11.2
W02000065,46.7,23.6,18.3,11.5
W02000066,55.1,18.3,14,12.6
W02000067,36.7,26.2,26.1,11
W02000068,52.2,18.3,16.6,12.9
W02000069,31.3,27.3,29.8,11.5
W02000070,34.2,25,30.4,10.4
W02000071,36.3,28.4,22.9,12.5
W02000072,44.4,22.6,22.1,10.9
W02000073,32.6,32.7,23.6,11.1
W02000074,39.6,27.3,20.7,12.4
W02000075,28.9,27.8,32.6,10.8
W02000076,23.4,36.1,26.9,13.5
W02000077,33.5,30.1,23.8,12.5
W02000080,49.8,21.5,15.8,13
W02000081,51,20,16.9,12.1
W02000082,51.3,20.5,15.6,12.6
W02000083,47,23.9,16.9,12.2
W02000085,53.2,19.4,17.1,10.3
W02000087,63.3,15.4,7,14.3
W02000088,57.2,17.6,15,10.1
W02000089,61.7,17.9,9.7,10.7
W02000090,38.9,29.6,17.2,14.2
W02000091,50.8,19.2,15.4,14.6
W02000092,49.6,23,13.1,14.3
W02000093,40.5,22.4,23,14.1
W02000094,36.6,34,14.7,14.7
W02000095,20.1,32.6,33.9,13.4
W02000096,31,36.5,19.7,12.9
W02000097,14.8,31.4,35.8,18
W02000098,19.4,36.9,28.7,15
W02000099,42.5,25.9,17.1,14.6
W02000100,15.9,31.2,36.2,16.7
W02000101,22.4,33.2,28.8,15.6
W02000102,18.4,30.5,33.4,17.7
W02000103,25.8,28,30.8,15.4
W02000104,44.3,21.9,18.1,15.6
W02000105,51.7,21,12.1,15.2
W02000419,49.7,21.8,15.5,13
W02000424,37.8,21.9,28.5,11.9
W02000425,31.2,21.7,34.2,12.9
W02000426,53.1,19.1,16.7,11
