areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02001327,93,7
E02001328,97.2,2.8
E02001329,93.8,6.2
E02001330,94.4,5.6
E02001331,95.9,4.1
E02001332,90.4,9.6
E02001334,90.3,9.7
E02001336,93.4,6.6
E02001337,95.5,4.5
E02001338,96,4
E02001340,96.7,3.3
E02001341,96.6,3.4
E02001342,97.2,2.8
E02001343,96.9,3.1
E02001344,95.6,4.4
E02001345,96.1,3.9
E02001346,95.2,4.8
E02001347,92.2,7.8
E02001348,95.5,4.5
E02001349,95.5,4.5
E02001350,87.2,12.8
E02001351,88.6,11.4
E02001352,90.4,9.6
E02001353,93.3,6.7
E02001354,91.7,8.3
E02001355,89.5,10.5
E02001356,82,18
E02001357,90.2,9.8
E02001358,82.9,17.1
E02001359,92.3,7.7
E02001360,80.7,19.3
E02001361,91.1,8.9
E02001362,94.8,5.2
E02001363,88.3,11.7
E02001364,79.4,20.6
E02001365,74,26
E02001366,85.3,14.7
E02001367,94.9,5.1
E02001368,84.4,15.6
E02001369,81.2,18.8
E02001370,77.1,22.9
E02001371,86.1,13.9
E02001372,92,8
E02001373,87.9,12.1
E02001374,66.5,33.5
E02001375,92.2,7.8
E02001376,65.6,34.4
E02001377,70.6,29.4
E02001378,90.3,9.7
E02001380,94.2,5.8
E02001381,71.2,28.8
E02001382,93.7,6.3
E02001383,71,29
E02001384,84.1,15.9
E02001385,58.8,41.2
E02001386,94.6,5.4
E02001387,92,8
E02001388,91.4,8.6
E02001389,75.7,24.3
E02001390,77,23
E02001391,95.7,4.3
E02001392,93.5,6.5
E02001393,91.4,8.6
E02001394,87.9,12.1
E02001395,91.8,8.2
E02001396,87.6,12.4
E02001397,93.6,6.4
E02001398,88.4,11.6
E02001399,94.7,5.3
E02001400,90.7,9.3
E02001401,93.3,6.7
E02001402,91.7,8.3
E02001403,90.4,9.6
E02001404,91.1,8.9
E02001405,88.6,11.4
E02001429,95.3,4.7
E02001430,96.3,3.7
E02001431,92.7,7.3
E02001432,74.5,25.5
E02001433,91.6,8.4
E02001434,91.4,8.6
E02001435,84.9,15.1
E02001436,91.8,8.2
E02001437,94.4,5.6
E02001438,95.2,4.8
E02001439,94.7,5.3
E02001440,95.3,4.7
E02001441,95.9,4.1
E02001442,95.6,4.4
E02001443,95.2,4.8
E02001444,96,4
E02001445,97.6,2.4
E02001446,97.7,2.3
E02001447,97.3,2.7
E02001448,97.7,2.3
E02001449,97.1,2.9
