areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02001327,88.1,3.4,3.6,4.9
E02001328,89,4.5,2.6,3.9
E02001329,88.3,3.5,3.5,4.7
E02001330,89,3.5,3.3,4.1
E02001331,87.7,4.2,3.3,4.8
E02001332,89,3.3,3,4.8
E02001334,88.6,3,3.2,5.1
E02001336,88.9,2.7,3.2,5.2
E02001337,88.5,4,3.2,4.3
E02001338,88.5,4.3,3.1,4.1
E02001340,89.7,4.9,2,3.4
E02001341,88.5,4.3,3.1,4.1
E02001342,88.3,5.8,2.4,3.5
E02001343,87.9,6.2,2.6,3.3
E02001344,88.9,5,2.6,3.5
E02001345,88.5,5.1,2.8,3.6
E02001346,88.3,4,3.6,4.2
E02001347,88.3,4.3,3.1,4.2
E02001348,89.4,4.4,2.7,3.6
E02001349,89.2,4.7,2.6,3.5
E02001350,88.7,3.6,3.3,4.4
E02001351,88.6,3.6,3.1,4.6
E02001352,90.4,3.5,2.8,3.2
E02001353,87.6,5.7,3,3.7
E02001354,87.5,4,3.5,4.9
E02001355,88.6,4.3,3.5,3.6
E02001356,90.9,2.8,2.6,3.7
E02001357,87.8,3.6,3.7,4.9
E02001358,90.6,2.9,3.1,3.4
E02001359,87.8,4.7,3.2,4.3
E02001360,89.4,3.4,3.5,3.7
E02001361,88.6,4.3,2.6,4.5
E02001362,86.8,5.3,3.1,4.9
E02001363,89.1,3.3,3.3,4.3
E02001364,91.1,2.6,2.8,3.5
E02001365,91.5,2.9,2.5,3.1
E02001366,89.3,4.3,2.6,3.8
E02001367,88.1,6,2.8,3.1
E02001368,89.5,2.8,3.6,4.1
E02001369,88.6,3.2,3.6,4.6
E02001370,89.5,3.1,3.5,3.9
E02001371,89.8,3.6,3.1,3.5
E02001372,89.2,4.3,2.6,3.8
E02001373,89.6,4.1,2.7,3.6
E02001374,92.1,2.7,2,3.1
E02001375,88,4.6,3,4.4
E02001376,93.1,2,2.1,2.7
E02001377,95,2.2,1.1,1.6
E02001378,88.9,4.7,2.9,3.5
E02001380,88.2,5.6,2.4,3.7
E02001381,92.2,2.9,2.3,2.6
E02001382,88.5,6.3,2,3.1
E02001383,94.5,2.7,1.5,1.3
E02001384,94.4,2.6,1.6,1.5
E02001385,92.2,2.3,2.6,2.9
E02001386,87.3,4,3.2,5.5
E02001387,89.6,6,2,2.5
E02001388,92.5,4.2,1.6,1.7
E02001389,93.2,3.5,1.7,1.6
E02001390,90.4,3,3,3.5
E02001391,87.9,4,3.2,4.8
E02001392,88.7,5.6,2.2,3.5
E02001393,90,6.3,1.7,2.1
E02001394,91.7,4.5,1.7,2.1
E02001395,90.2,5.4,1.7,2.8
E02001396,91.5,3.4,2.5,2.7
E02001397,89.4,5.2,2,3.4
E02001398,91.3,4.1,2.1,2.4
E02001399,88.6,5.7,2.1,3.6
E02001400,88.6,4.6,2.9,3.9
E02001401,89.5,4.9,2,3.6
E02001402,90.3,5.3,1.8,2.6
E02001403,89.5,4.1,2.5,3.9
E02001404,89.3,3.8,2.9,4.1
E02001405,89.6,2.9,3.1,4.4
E02001429,88.6,5.2,2.5,3.7
E02001430,88.8,5.8,1.8,3.6
E02001431,89.6,5.2,1.8,3.4
E02001432,91.6,3.2,2.5,2.7
E02001433,89.7,5.2,2,3.1
E02001434,89.2,5.2,2.6,3
E02001435,89.7,4.4,2.8,3.2
E02001436,88.9,5.2,2.2,3.7
E02001437,89.8,5.3,2,2.9
E02001438,88.9,5.5,2.4,3.2
E02001439,89.7,4.6,2.3,3.5
E02001440,87.9,5.9,2.4,3.8
E02001441,89.5,5.8,1.7,3
E02001442,90.1,4.8,1.8,3.4
E02001443,88.9,5.5,2,3.6
E02001444,88.7,6.2,2.2,2.9
E02001445,88.5,6.2,2.1,3.3
E02001446,89.4,5.4,2.1,3.1
E02001447,88.6,5.7,2.5,3.3
E02001448,88.9,5.7,2.2,3.1
E02001449,87.8,6,2.5,3.8
E02001450,89.5,6,1.9,2.6
E02001451,88.2,3.9,3.4,4.5
E02001452,87.8,4.2,3.3,4.7
E02001453,89.4,5.7,2.1,2.8
E02001454,88.2,5.3,2.5,4
E02001455,87.7,5.9,2.8,3.7
E02001456,88.8,5.6,2.4,3.3
E02001457,88.5,4.3,2.9,4.3
E02001458,90.1,4.7,2.2,3
E02001459,87.7,4.7,2.8,4.7
E02001460,89.2,3.9,3.2,3.7
E02001461,89.3,5.1,2.3,3.3
E02001462,89.9,3.1,3,4
E02001463,87.9,4.3,3.3,4.5
E02001464,89.3,4,2.8,3.9
E02001465,89.6,3.2,3.1,4.2
E02001466,89.5,3.4,2.8,4.3
E02001467,88.3,5.6,2.4,3.7
E02001468,89.3,5.1,2.2,3.3
E02001469,88.4,6,2.5,3.2
E02001470,88.9,5.7,2.1,3.2
E02001471,88.4,5,2.6,4
E02001472,87.8,5,2.7,4.4
E02001473,89.2,4.7,2.4,3.7
E02001474,89.6,3.4,2.7,4.4
E02001475,88,4,2.7,5.3
E02001476,88.8,3.4,3.5,4.3
E02001477,88.4,3.3,3.4,4.9
E02001478,87.8,5.1,2.6,4.6
E02001479,88.4,6,2.3,3.2
E02001480,89,6.1,1.9,3
E02001481,89.3,4.8,2.7,3.2
E02001482,89.5,3.3,3.7,3.6
E02001483,88,5.7,2.6,3.7
E02001484,89.2,5.1,2.1,3.6
E02001485,88.5,3.9,3.2,4.5
E02001486,90.5,5.1,1.9,2.4
E02001487,89.2,4.2,2.7,3.9
E02001488,89.6,4.4,2.6,3.4
E02001489,88.3,6.5,1.9,3.3
E02001490,89,5.1,2.4,3.6
E02001491,89.9,3.4,2.8,3.9
E02001492,89.6,6,1.6,2.8
E02001493,88.9,3.7,3.1,4.3
E02001494,89.3,6.4,1.7,2.5
E02001495,88.7,4.7,3.1,3.4
E02001496,88.6,5.9,2.4,3.2
E02001497,89.4,3.9,2.8,3.9
E02001498,89.2,5.3,2.1,3.4
E02001499,88.8,6,1.8,3.4
E02001500,88.2,6.1,2.2,3.5
E02001501,88.6,6.2,1.8,3.4
E02001502,90,4.7,2.2,3
E02001503,89.5,5.7,1.8,3
E02001504,89.5,5.8,1.8,2.9
E02001505,88.5,5.1,2.5,3.9
E02001506,90.4,5.8,1.3,2.5
E02001507,89.3,5.9,1.9,2.8
E02001508,88.1,4.9,2.5,4.5
E02002633,88.6,4.8,2.5,4.1
E02002634,88.6,4.9,2.2,4.3
E02002635,88.1,5.3,2.5,4.1
E02002636,88.8,4.7,2.6,4
E02002637,88.9,5,1.9,4.1
E02002638,89.9,3.8,2.5,3.9
E02002639,88.2,3.8,3.2,4.8
E02002640,89.7,3.4,3.1,3.9
E02002641,90.4,4.1,2.5,3
E02002642,89.8,3,3.3,3.9
E02002643,89.8,3.5,2.8,4
E02002644,89.4,5.5,2,3.1
E02002645,90.3,2.7,2.7,4.2
E02002646,87.8,4.6,3,4.6
E02002647,89.4,3.8,3.1,3.7
E02002648,88.9,4,2.6,4.5
E02002649,88.7,5.1,2.8,3.3
E02002650,88.5,4.9,2.4,4.1
E02002651,88.6,5.3,2.4,3.7
E02003794,89.2,5.9,1.9,3
E02003795,90.1,5.3,1.8,2.8
E02003796,90.9,4.5,1.8,2.8
E02003797,91.2,5.4,1.5,2
E02003798,89.7,3.7,2.6,3.9
E02003799,89.3,4.4,2.5,3.7
E02003801,89.8,5,1.8,3.4
E02003802,93.5,3.7,1.5,1.3
E02003803,94.5,3.4,1,1.1
E02003804,91.4,4.8,1.6,2.2
E02003805,90.3,5.9,1.4,2.4
E02003806,91.9,4.8,1.4,2
E02003807,90.4,5.1,1.7,2.9
E02003808,91,3.9,2.4,2.7
E02003841,89.7,5.5,1.8,3
E02003842,89.7,5.7,1.5,3.2
E02003843,88.3,4.9,2.4,4.4
E02003844,88.4,6,1.9,3.7
E02003845,91.3,3.3,2.3,3.1
E02003846,90.4,3.2,2.6,3.8
E02003847,89.4,6.4,1.6,2.6
E02003848,89.4,4.2,2.6,3.8
E02003849,90,3.4,2.7,3.9
E02003850,89.7,4.6,1.9,3.8
E02003851,89.9,5.5,1.9,2.7
E02003852,89.3,5.4,1.8,3.6
E02003978,90.7,4.5,1.7,3.2
E02003979,89.8,5.1,2,3.2
E02003980,90.1,3.6,2.8,3.5
E02003981,90.6,4.8,1.9,2.6
E02003982,90.9,4.7,1.6,2.7
E02003983,89,4.3,2.9,3.8
E02003984,91.1,3.6,2.3,3
E02003985,89.4,4.4,2.2,4
E02003986,89.9,4.7,2.3,3.1
E02005203,89.6,5.5,2.1,2.8
E02005204,90.4,4.9,1.7,3
E02005205,90,5.5,1.4,3.1
E02005206,89.1,5.3,2.4,3.3
E02005207,89.2,5.4,2,3.4
E02005208,90,4.9,2,3
E02005209,89.7,4.8,2.1,3.4
E02005210,89.9,5.3,1.9,2.9
E02005211,89.8,5.8,1.7,2.7
E02005224,88.8,5.4,1.9,3.9
E02005226,89.1,4.3,3,3.6
E02005228,88.7,4.5,3,3.8
E02005229,90,3.8,2.3,3.9
E02005230,88.6,4.3,2.7,4.3
E02005236,89.5,4.6,2.2,3.6
E02005304,89.4,5.8,1.7,3.1
E02005305,88.4,5.5,2.3,3.8
E02005306,89,5.7,2,3.3
E02005307,90,5.2,2,2.9
E02005309,89.5,5.5,1.8,3.2
E02005310,93.5,3.6,1.3,1.7
E02005311,90.6,5.6,1.5,2.3
E02005315,88.6,6.5,1.7,3.2
E02005319,89,4.3,3.1,3.6
E02005320,88.5,5.1,2.6,3.8
E02005321,87.2,4.4,2.7,5.7
E02005322,88.3,5.3,2,4.4
E02005323,88.8,4.5,2.5,4.2
E02005326,87.7,4.8,2.8,4.6
E02005327,88.3,5.8,2.1,3.8
E02005328,87.2,6.3,2.4,4.2
E02005329,89.5,5.3,1.9,3.4
E02005330,88.6,5.9,2,3.5
E02005331,90.1,5.1,1.8,3
