areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02001327,22.5,32,22,23.5
E02001328,27.8,32.3,20.3,19.6
E02001329,38.8,26.4,17.2,17.6
E02001330,32.4,31.2,19.1,17.3
E02001331,32.2,30.2,18.4,19.2
E02001332,35.6,29.4,17.8,17.2
E02001334,30.9,30.6,21.3,17.3
E02001336,34.9,28.2,20.1,16.8
E02001337,30.2,29,20,20.7
E02001338,31.3,32,18.7,18
E02001340,25.6,34.1,19.2,21.2
E02001341,35.6,30.6,17,16.8
E02001342,24.4,37.7,17.9,19.9
E02001343,26.2,36.1,18.4,19.3
E02001344,35.2,28.6,18.5,17.7
E02001345,28.7,35.7,17.3,18.3
E02001346,35.2,28.6,17.8,18.5
E02001347,31.4,30.5,19,19.1
E02001348,35.4,30,17.7,16.9
E02001349,32.8,31.7,17,18.5
E02001350,34.5,27.7,18.4,19.3
E02001351,31.5,30,18.8,19.7
E02001352,37.7,29.7,17,15.7
E02001353,26.2,33.7,18.4,21.7
E02001354,33.4,28.8,19,18.7
E02001355,39.6,28.8,17.2,14.4
E02001356,24.2,29,23.6,23.1
E02001357,27.5,27.1,21.7,23.7
E02001358,40.3,30.1,15.4,14.2
E02001359,29.5,32.1,18.5,19.8
E02001360,41.7,27.6,15.3,15.4
E02001361,35.9,30.4,18.6,15
E02001362,31.4,29.4,18.7,20.5
E02001363,36.1,27.3,18.1,18.5
E02001364,39.3,25.5,16.2,19
E02001365,38.3,27.9,15.4,18.4
E02001366,37.1,29.5,16.8,16.5
E02001367,31.1,31.5,16.3,21.1
E02001368,42.4,29.1,14.8,13.7
E02001369,43.7,29.8,13.4,13.1
E02001370,43.1,26.4,15.4,15.1
E02001371,31.9,29.5,19.6,19
E02001372,38.9,27.8,16.4,16.9
E02001373,35.9,29.8,18.3,16
E02001374,46.1,24.9,12.1,16.8
E02001375,36.1,30.4,16.4,17
E02001376,33.1,25.4,17,24.5
E02001377,40.6,25.5,13.8,20.1
E02001378,40.3,28.6,16,15.1
E02001380,25.3,34,19.8,20.9
E02001381,36.6,30.2,14.8,18.4
E02001382,21.9,33.6,21.6,22.9
E02001383,57.3,24,8.4,10.4
E02001384,30.3,21.7,14.4,33.6
E02001385,39,22,13.1,25.9
E02001386,38.6,30.3,15.5,15.7
E02001387,26.7,32.3,16.7,24.3
E02001388,29.2,33.7,16.2,20.8
E02001389,54.5,28.3,8,9.2
E02001390,40.3,27.9,14.5,17.3
E02001391,32.8,29.2,18.8,19.2
E02001392,30.1,37.4,14.8,17.7
E02001393,23.8,35.8,16.2,24.1
E02001394,48.1,29.8,9.7,12.4
E02001395,28.6,33.6,17.5,20.3
E02001396,41.3,34.1,13.5,11.1
E02001397,44.5,30.4,12.1,13
E02001398,43.5,31.4,12.5,12.7
E02001399,24.3,33.6,18.8,23.3
E02001400,32.2,29.2,19.1,19.6
E02001401,30.5,33.3,17.8,18.4
E02001402,32.2,33,14.6,20.1
E02001403,35.9,30.7,17.8,15.5
E02001404,32.6,31.2,19.1,17.1
E02001405,33,28.9,20.3,17.8
E02001429,31,40.7,14.8,13.5
E02001430,28.1,39.8,15,17.2
E02001431,45.4,34.5,10.3,9.8
E02001432,56.6,26.5,9.3,7.7
E02001433,28.2,34.2,17.6,19.9
E02001434,26,34.7,18.9,20.4
E02001435,35.9,29.9,17.1,17
E02001436,28.7,35.5,17,18.7
E02001437,38.3,36.7,12,13
E02001438,27.8,34.7,18.9,18.6
E02001439,34.1,30.9,16.6,18.4
E02001440,25.3,45.3,13.5,15.9
E02001441,25,43.4,12.9,18.7
E02001442,34.4,35.3,13.2,17
E02001443,24.7,38.9,15.2,21.2
E02001444,29.7,34.7,17.3,18.3
E02001445,28.7,36.9,15.7,18.7
E02001446,28.7,34.9,17.4,19
E02001447,31.9,35.5,15.3,17.4
E02001448,27.6,35.8,15.3,21.3
E02001449,27.9,37.4,16.2,18.5
E02001450,32.2,35.2,14.2,18.4
E02001451,34.5,30.1,18.5,16.9
E02001452,38.4,31,16.1,14.5
E02001453,25.9,34.1,18.5,21.5
E02001454,26.4,32.9,20,20.7
E02001455,27.3,34.7,18.2,19.9
E02001456,32.6,33.3,16.3,17.8
E02001457,35.4,28.2,18.9,17.4
E02001458,36.5,29,16.4,18.1
E02001459,28.6,32.5,18.8,20.1
E02001460,48.1,25.8,13,13.2
E02001461,30.7,31.5,19.1,18.7
E02001462,39.5,28.9,16.4,15.3
E02001463,28.6,30.1,20.1,21.2
E02001464,40.1,28.7,15.2,16
E02001465,48.7,25,14.2,12
E02001466,33.2,27.2,20.1,19.6
E02001467,46.9,30,12,11
E02001468,37.4,31.5,14.9,16.3
E02001469,35.6,33.9,14.5,16
E02001470,25.8,35.5,17.5,21.2
E02001471,41,27.1,15,16.9
E02001472,26.9,34.1,19.1,19.9
E02001473,34.3,33.1,15.9,16.7
E02001474,39.8,25.7,16.8,17.7
E02001475,36.8,28.3,16,18.9
E02001476,36.9,30.8,17.1,15.2
E02001477,35.5,27.6,19,17.9
E02001478,33.7,33.7,15.6,17
E02001479,27.6,36.5,17,18.9
E02001480,35.8,33.5,14.6,16.1
E02001481,31.6,34.8,16.1,17.5
E02001482,55.7,23.3,10.7,10.3
E02001483,30,38,16,16.1
E02001484,34.1,33.2,16.6,16.1
E02001485,29.8,31.6,17.3,21.3
E02001486,53.6,28.1,8.7,9.6
E02001487,42.4,28,14.2,15.4
E02001488,39.3,31.5,14.7,14.5
E02001489,29.9,39.1,15.6,15.5
E02001490,24.7,36.9,19.6,18.8
E02001491,39.6,25.5,18.7,16.3
E02001492,38,32.6,13.1,16.3
E02001493,42,27.2,16.6,14.3
E02001494,26.3,39.3,15.1,19.4
E02001495,34.8,29.7,17,18.5
E02001496,28.1,34.6,16.6,20.6
E02001497,36.5,31.2,15.7,16.5
E02001498,27.6,33.3,19.1,20.1
E02001499,28.8,38.3,15.7,17.2
E02001500,29.1,37.8,16.1,17
E02001501,27.4,34.4,17.5,20.6
E02001502,32.6,34.7,16.2,16.5
E02001503,36.8,34.5,14.5,14.2
E02001504,26.9,41.9,14.1,17.1
E02001505,31.5,34.7,17.1,16.7
E02001506,24.8,42.4,14.6,18.1
E02001507,27.4,39.1,14.4,19.1
E02001508,29.1,35.3,16.8,18.7
E02002633,35.7,36.9,14,13.4
E02002634,41.2,35.2,13.1,10.5
E02002635,36.7,36.7,13.8,12.8
E02002636,34.7,34.7,16.7,13.9
E02002637,28.3,36.8,18.7,16.3
E02002638,52.2,24.3,10.4,13.2
E02002639,40.2,26.4,15.3,18.1
E02002640,43.1,27.7,14.2,15.1
E02002641,33.1,35.4,17.3,14.3
E02002642,51.4,25.9,10.6,12.1
E02002643,35,31.5,16.1,17.4
