areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02001327,33.1,41.6,4.8,18.2,2.3
E02001328,23.2,44.2,5.9,24.9,1.8
E02001329,33,42.8,4.9,17.3,1.9
E02001330,30,43,5.5,19.1,2.4
E02001331,32.7,41,5.1,18.8,2.4
E02001332,30.9,40.9,6,20.1,2.1
E02001334,34.3,40,4,19.2,2.5
E02001336,33.4,40.8,5.5,18.3,2
E02001337,26.9,41,5.2,24.6,2.3
E02001338,25.7,42.5,5.6,23.7,2.5
E02001340,18.1,41.8,6.7,31.3,2.2
E02001341,29.9,42.8,5.4,19.7,2.3
E02001342,18.2,40.3,6.2,33,2.3
E02001343,18.2,42.2,6,31.3,2.4
E02001344,22.9,42.2,5.6,26.6,2.7
E02001345,19.3,44.6,6,27.3,2.7
E02001346,27.9,42.7,5.5,21.7,2.2
E02001347,25.4,42.2,5,25.2,2.1
E02001348,22.3,46.4,5.4,24.2,1.7
E02001349,19.9,47.1,5.4,25.3,2.2
E02001350,32.2,39.6,5.1,20.6,2.5
E02001351,30,41.6,4.8,21,2.5
E02001352,28.8,42.8,5,21.3,2.1
E02001353,19.9,43.8,5.9,28.4,2
E02001354,29.9,42.6,5.3,19.8,2.5
E02001355,29.1,41.9,5.9,20.5,2.5
E02001356,25.3,41.1,5.5,25.3,2.8
E02001357,31.2,41.9,5.2,19.4,2.3
E02001358,30.2,40.5,5.9,20.7,2.7
E02001359,24.7,39.7,6.2,26.8,2.5
E02001360,34.5,38,5,19.6,2.8
E02001361,31,39.8,6.3,20.1,2.8
E02001362,25.2,42.5,5.5,24.6,2.2
E02001363,28.7,41.6,4.8,22.8,2.1
E02001364,30.9,38.9,5.4,20.7,4.1
E02001365,27.6,38.4,5.5,23.4,5.2
E02001366,25,41.4,5.6,25.3,2.7
E02001367,19.2,39.2,6,33.7,1.9
E02001368,35.2,33.3,4.6,24.9,2
E02001369,32.6,35.1,4.4,25.7,2.3
E02001370,33.9,35.8,5.2,22,3
E02001371,29.6,40.8,4.9,22.3,2.4
E02001372,25.7,39.7,5,26.6,3
E02001373,23.7,41.3,5.6,27.1,2.3
E02001374,27.1,34.5,4.4,30.9,3.1
E02001375,25.9,42.8,5.2,24.4,1.7
E02001376,26.1,41.5,4,25.8,2.6
E02001377,15.5,52.6,2.1,27.4,2.5
E02001378,24.9,40,4.2,29,2
E02001380,15.5,38.8,5.1,38.5,2.2
E02001381,23.6,38.9,3.6,31.2,2.7
E02001382,15.2,38.1,5.2,39.9,1.6
E02001383,14.8,42.4,2.4,38.2,2.1
