areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00127606,14.3,53.3,5.7,24.6,2
E00127607,12.4,28.9,8.7,46.3,3.7
E00127608,20.7,37.8,8.5,29.3,3.7
E00127609,31.5,40,6,20,2.5
E00127610,13.7,40,4.7,38,3.5
E00127611,13.7,39,8.4,36.9,2
E00127612,4.7,25.6,0.8,67.4,1.6
E00127613,14.9,22.5,2.7,57.4,2.4
E00127614,6.6,36.6,1.4,52.1,3.3
E00127615,9.4,36.9,5.6,46.3,1.9
E00127616,9.6,32.4,2.7,53.9,1.3
E00127618,7.1,28.4,5.7,55.3,3.5
E00127619,9.1,30.6,9.1,47.5,3.7
E00127620,14,34.1,1.3,47.6,3.1
E00127621,9.7,39.3,5.3,42.9,2.8
E00127622,18.2,31.2,4.5,44.2,1.9
E00127623,15,36.9,5,40.4,2.7
E00127624,14.6,36.5,3.2,44.3,1.4
E00127625,6.7,43,2.6,44.8,2.9
E00127626,10.8,42.3,3.1,40.4,3.5
E00127627,8.1,54,2.4,34.6,0.9
E00127628,11.9,47,4.6,36.1,0.5
E00127629,12.6,44.4,3.3,38.5,1.1
E00127630,25.8,34.5,6.1,31,2.6
E00127631,9.3,37.1,4.2,46.8,2.5
E00127632,8.5,40.4,4.3,44.1,2.7
E00127633,8.2,35.6,3.9,49.8,2.6
E00127642,21.4,47.3,3.2,26.3,1.8
E00127643,10.4,51.7,4.8,32.6,0.4
E00127644,19.2,41,9.2,28.5,2.1
E00127645,15,41.6,6,32.6,4.7
E00127646,10.4,50.4,4.6,32.3,2.3
E00127647,23.4,43,5.1,26,2.6
E00127648,11.2,49.3,5.4,31.9,2.2
E00127649,21.5,46.8,6.3,25.3,0
E00127650,22.5,48.1,3.5,23.2,2.8
E00127651,22.6,43.8,8,23.9,1.8
E00127652,40.9,31.1,5.3,17.4,5.3
E00127653,15.2,56.3,4.3,21.9,2.3
E00127654,15.5,48.9,5.3,28.8,1.5
E00127655,20.7,39.6,8.2,25.7,5.7
E00127656,28.3,44.6,4.8,16.9,5.4
E00127657,22,37,5.5,35,0.5
