areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00045374,15.9,48.9,35.2
E00045375,15.6,44.8,39.6
E00045376,13.4,49.6,37
E00045377,9.3,46.7,44
E00045378,6.9,60.3,32.8
E00045379,10.1,42.6,47.3
E00045380,14.2,56.6,29.2
E00045413,5.7,60.7,33.6
E00045414,14.5,46.1,39.5
E00045415,19,54.4,26.6
E00045421,11.2,68.4,20.4
E00045459,6.3,49.2,44.5
E00045460,13.3,57.1,29.6
E00045461,9.4,55.2,35.4
E00045462,10.5,48.6,41
E00045463,10.1,49.6,40.3
E00045465,13.8,49.4,36.8
E00045466,15.2,54.5,30.3
E00045467,10.5,48.6,41
E00045468,4.8,66.7,28.6
E00045469,20.2,45.5,34.3
E00045470,26.3,57.5,16.3
E00045520,11.6,66.3,22.1
E00045521,8.4,71.4,20.2
E00045583,7.1,49.4,43.5
E00045585,16.5,61.9,21.6
E00045586,11.5,26.2,62.3
E00045587,15,62.5,22.5
E00045588,18.1,23.9,58
E00045589,8.2,70.4,21.4
E00045590,16.4,42.8,40.9
E00045593,32.9,37.6,29.4
E00045594,24.9,37.3,37.8
E00045607,32.8,30.3,36.9
E00045609,8.2,50,41.8
E00045610,32.4,39.6,28.1
E00045611,22.7,55.7,21.6
E00045612,22.5,52.8,24.7
E00045614,7.1,68.1,24.8
E00045618,13,55.1,31.9
E00045620,34.5,38.1,27.4
E00045623,21.7,38.3,40
E00045624,16.4,52.2,31.3
E00045625,11.9,34.4,53.8
E00045630,9.8,33.3,56.8
E00045631,14.6,39.4,46
E00045632,18.8,47.1,34.1
E00045633,12.4,37.3,50.3
E00045635,6.7,37.4,55.9
E00045636,15.8,50,34.2
E00045637,13.2,59.3,27.5
E00045638,14.4,42.5,43.2
E00045639,17.3,40.2,42.5
E00045640,3.6,49.3,47.1
E00045641,12.4,57.1,30.5
E00045643,15.8,53.6,30.6
E00045644,11.1,51.5,37.4
E00045647,9.8,52.6,37.6
E00045649,15.3,34.7,50
