areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00045374,71.5,28.5
E00045375,77.6,22.4
E00045376,79,21
E00045377,77.4,22.6
E00045378,71.1,28.9
E00045379,73.9,26.1
E00045380,76.6,23.4
E00045413,89.1,10.9
E00045414,82,18
E00045415,83.6,16.4
E00045421,79.6,20.4
E00045459,82.2,17.8
E00045460,83.4,16.6
E00045461,86.4,13.6
E00045462,85.1,14.9
E00045463,82.9,17.1
E00045465,82.9,17.1
E00045466,86.1,13.9
E00045467,87.9,12.1
E00045468,91.3,8.7
E00045469,86.8,13.2
E00045470,81.7,18.3
E00045520,85.5,14.5
E00045521,81.3,18.8
E00045583,62.8,37.2
E00045585,61.7,38.3
E00045586,58,42
E00045587,72.6,27.4
E00045588,46.1,53.9
E00045589,65.7,34.3
E00045590,63.4,36.6
E00045593,59.4,40.6
E00045594,65.5,34.5
E00045607,46.7,53.3
E00045609,64.5,35.5
E00045610,52.9,47.1
E00045611,59.8,40.2
E00045612,59.8,40.2
E00045614,79.3,20.7
E00045618,61.3,38.7
E00045620,67,33
E00045623,60.4,39.6
E00045624,54.8,45.2
E00045625,68.2,31.8
E00045630,66.1,33.9
E00045631,69.5,30.5
E00045632,67.3,32.7
E00045633,58.8,41.2
E00045635,59.8,40.2
E00045636,66.2,33.8
E00045637,73,27
E00045638,53.6,46.4
E00045639,56.8,43.2
E00045640,34.6,65.4
E00045641,60.4,39.6
E00045643,60.4,39.6
E00045644,51.8,48.2
E00045647,54.1,45.9
E00045649,61.4,38.6
E00045651,52,48
E00045652,37,63
E00045654,49.7,50.3
E00045655,52.7,47.3
E00045661,72.9,27.1
E00045755,61.6,38.4
E00045792,57.4,42.6
E00045803,57.8,42.2
E00045808,57.5,42.5
E00045810,60,40
E00045811,58.3,41.7
E00045816,54.2,45.8
E00045820,63,37
E00045822,72.5,27.5
E00045841,61.9,38.1
E00045842,63.6,36.4
E00045843,59.6,40.4
E00045844,59.6,40.4
E00045845,65.8,34.2
E00045846,63.1,36.9
E00045847,61.1,38.9
E00045849,68.6,31.4
E00045850,68.6,31.4
E00045851,69.7,30.3
E00045853,68.3,31.7
E00045854,68.1,31.9
E00045855,76.1,23.9
E00045857,84.5,15.5
E00045859,70.9,29.1
E00045861,73.9,26.1
E00045864,72.7,27.3
E00045868,78.7,21.3
E00045872,76.3,23.7
E00046344,58.4,41.6
E00046347,57.7,42.3
E00046348,57.4,42.6
E00046357,58.7,41.3
E00046358,54.3,45.7
E00046368,53.2,46.8
E00046370,52.1,47.9
E00046371,54.7,45.3
E00046374,48.8,51.2
E00046381,51.4,48.6
E00046383,56.6,43.4
E00046386,58.4,41.6
E00046387,52.9,47.1
E00046390,56.2,43.8
E00046391,61.1,38.9
E00046393,56.3,43.7
E00046395,53.9,46.1
E00046397,46.1,53.9
E00046400,52.7,47.3
E00046408,57.6,42.4
E00046533,52.1,47.9
E00046534,66.3,33.7
E00046535,57.8,42.2
E00046536,78.5,21.5
E00046537,78.9,21.1
E00046538,76.4,23.6
E00046539,84.7,15.3
E00046540,85.9,14.1
E00046541,86.7,13.3
E00046542,82.5,17.5
