areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02001678,27.1,17.3,47.3,8.4
E02001679,44.7,16.3,24.2,14.8
E02001680,55.4,13.3,14.5,16.9
E02001681,30.8,18.8,39.7,10.8
E02001827,24,28.2,37,10.7
E02001828,24.1,25.3,40,10.5
E02001829,22,25.8,42.7,9.5
E02001830,24.8,24.8,42.5,7.9
E02001831,35.8,23.7,26.7,13.8
E02001832,31.4,20.4,37.3,10.9
E02001833,35.6,17.5,30.5,16.4
E02001834,51,17.4,15.3,16.3
E02001835,29.7,19.1,41.6,9.7
E02001836,34.6,16.9,37,11.5
E02001837,51.8,20.4,12.7,15.1
E02001838,31.8,20.7,36.9,10.6
E02001839,46.8,14.8,21.2,17.2
E02001840,50.6,18.1,16.4,14.9
E02001841,30,14.8,45.7,9.6
E02001842,44,14.7,27.2,14.1
E02001843,47.4,15.3,21.1,16.2
E02001844,36.9,15.7,36.4,11
E02001845,49.2,15.1,22.8,12.8
E02001846,49.3,17,18.2,15.5
E02001847,38.4,18.6,28.7,14.3
E02001848,48.6,17.5,17.7,16.2
E02001849,46.4,16.1,23.9,13.6
E02001850,45.6,14.7,25,14.8
E02001851,45.1,14.1,27.2,13.5
E02001852,47.4,15.8,20,16.8
E02001855,58.9,15.7,13.4,12
E02001856,46.8,17,19.4,16.8
E02001857,48.8,15.1,20.5,15.6
E02001858,44.5,15.8,26.5,13.2
E02001859,49.3,15.9,17.8,16.9
E02001860,51.1,15,14.2,19.7
E02001861,47.7,13.7,19.8,18.8
E02001862,49.2,16.4,17.2,17.2
E02001863,46.5,17.6,15.9,20
E02001865,50.5,14.9,15.7,18.9
E02001866,47,15.6,15.9,21.5
E02001867,46.3,18.3,16.5,18.9
E02001868,49.4,13.9,18.8,17.9
E02001869,51.3,16.1,12.3,20.3
E02001870,52.5,10.7,15.2,21.6
E02001871,54.5,15.3,16.1,14.1
E02001872,53,16.9,14.9,15.2
E02001873,47.1,16.2,18.9,17.8
E02001874,50.3,13.7,13.5,22.5
E02001875,44.2,15.2,26.5,14.1
E02001876,42,21.2,23.2,13.6
E02001877,51.7,13.2,13.7,21.4
E02001878,52.1,13.2,17.8,16.8
E02001879,45.8,16.6,20.2,17.4
E02001880,54.2,13.5,14.1,18.3
E02001881,52.3,11.1,14.2,22.4
E02002000,53.4,13.9,15.2,17.5
E02002001,47.9,13.8,20.4,17.9
E02002002,42.8,16.1,26.8,14.3
E02002003,50.3,13,18.5,18.2
E02002004,53.7,11.9,17.1,17.4
E02002005,54,14.7,14.3,17
E02002006,52,13,18,16.9
E02002007,51.6,13.4,19,16
E02002008,46.8,13.9,26.3,13.1
E02002009,50.8,15.9,15.3,18.1
E02002010,51.2,13.6,18.1,17.2
E02002011,42.9,18.5,24.8,13.8
E02002012,58.7,13.7,12.7,14.9
E02002013,38.7,18.4,28.2,14.7
E02002014,51.3,14.1,16.7,17.9
E02002015,48.1,14.1,20.8,17.1
E02002016,56.4,13.7,11.6,18.3
E02002017,54.8,13.9,15.1,16.3
E02002018,42.3,17.6,26,14.1
E02002019,55.9,13.6,13.5,17.1
E02002020,42.9,18.6,23.2,15.3
E02002043,51.6,16,15.7,16.6
E02002044,45.9,17.3,22.3,14.4
E02002045,53.9,15.2,16.1,14.8
E02002046,57,15.2,10.1,17.7
E02002047,52.8,13.6,17.3,16.3
E02002048,40.5,15.9,31,12.6
E02002049,55.1,15.6,13.8,15.5
E02002051,59,12.5,12.5,16
E02002052,55.4,14.5,13.6,16.4
E02002053,44.2,16.7,24.3,14.8
E02002054,45.6,16,24.4,14
E02002055,52.4,15.6,16,16
E02002056,58.3,13.7,13.5,14.5
E02002057,49.7,16.8,17.9,15.6
E02002058,49.8,16.7,19.4,14.1
E02002059,56,14.6,16.2,13.2
E02002060,56.1,15.3,12.3,16.4
E02002061,56.9,13.5,13.7,15.9
E02002062,55,15.8,14.3,14.9
E02002063,49.8,14.1,20.6,15.4
E02002064,51.7,15.4,17.5,15.5
E02002065,51.8,16.7,14.6,16.9
E02002066,54.9,12.7,14.3,18.1
E02002067,46.8,14.8,22.6,15.7
E02002069,52,14.6,19,14.3
E02002070,50.9,16.8,14.4,17.9
E02002071,53.7,13.1,17,16.2
E02002072,50.3,12.7,21.6,15.4
E02002073,54.7,14.1,15.6,15.6
E02002081,41.6,16.2,27.2,15.1
E02002082,50.9,20.9,15.4,12.9
E02002083,42,16.5,26.7,14.8
E02002084,46.1,20.5,16.8,16.6
E02002085,50.8,18.2,17.1,13.8
E02002110,38.2,25,18,18.7
E02002111,42.5,25.2,13.9,18.3
E02002112,40.7,19.5,22.4,17.4
E02002113,39.5,25.9,17.3,17.4
E02002114,40.6,19.7,21.9,17.8
E02002115,50.1,18.1,14.1,17.7
E02002116,35.4,25,24.4,15.2
E02002117,46.6,16.3,21.2,15.9
E02002118,55.2,14.7,11,19.1
E02002119,40.7,23.7,18.6,17
E02002120,48.8,15.7,19.8,15.7
E02002121,50.6,17.5,13.2,18.7
E02002122,48.9,22.2,12.2,16.7
E02002123,51.9,17.1,14.3,16.7
E02002124,39.9,23.5,21.7,14.9
E02002125,40.3,22,21.1,16.6
